Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,55,46,169,146,14,33,8,2,4,19,3,1,20,51,0.226,0.314,0.39,0.704,57,1,0,0,3,0,1,0.309,100,98,19
Season Totals,Last 7 days,3,3,12,10,1,4,0,0,0,2,1,0,2,1,0.4,0.5,0.4,0.9,4,0,0,0,0,0,0,0.444,162,170,4
Season Totals,Last 14 days,7,6,24,20,2,5,0,0,0,2,1,0,4,9,0.25,0.375,0.25,0.625,5,0,0,0,0,0,0,0.455,84,84,5
Season Totals,Last 28 days,17,12,48,41,3,10,2,0,0,4,2,1,6,14,0.244,0.333,0.293,0.626,12,0,0,0,1,0,0,0.357,81,77,8
Season Totals,Last 365 days,55,46,169,146,14,33,8,2,4,19,3,1,20,51,0.226,0.314,0.39,0.704,57,1,0,0,3,0,1,0.309,100,,19
Platoon Splits,vs RHP,52,,140,122,11,26,8,1,3,17,3,1,15,40,0.213,0.293,0.369,0.662,45,1,0,0,3,0,1,0.281,88,87,14
Platoon Splits,vs LHP,17,,29,24,3,7,0,1,1,2,0,0,5,11,0.292,0.414,0.5,0.914,12,0,0,0,0,0,0,0.5,160,156,5
Platoon Splits,vs RHP as LHB,52,,140,122,,26,8,1,3,17,0,0,15,40,0.213,0.293,0.369,0.662,45,1,0,0,3,0,1,0.281,88,80,14
Platoon Splits,vs LHP as LHB,17,,29,24,,7,0,1,1,2,0,0,5,11,0.292,0.414,0.5,0.914,12,0,0,0,0,0,0,0.5,160,173,5
Platoon Splits,vs RH Starter,43,40,139,120,13,28,7,0,4,17,3,1,16,44,0.233,0.317,0.392,0.708,47,1,0,0,3,0,0,0.32,102,99,17
Platoon Splits,vs LH Starter,12,6,30,26,1,5,1,2,0,2,0,0,4,7,0.192,0.3,0.385,0.685,10,0,0,0,0,0,1,0.263,94,92,2
Home or Away,Home,26,21,76,67,6,17,5,0,2,11,3,1,8,21,0.254,0.329,0.418,0.747,28,1,0,0,1,0,1,0.333,112,107,10
