Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,75,62,273,237,31,51,13,0,8,23,0,0,31,52,0.215,0.308,0.371,0.679,88,2,2,0,3,0,2,0.239,100,91,30
Season Totals,Last 7 days,5,4,17,15,0,1,0,0,0,0,0,0,2,6,0.067,0.177,0.067,0.243,1,1,0,0,0,0,1,0.111,-25,-25,1
Season Totals,Last 14 days,9,6,29,25,3,3,0,0,1,3,0,0,4,8,0.12,0.241,0.24,0.481,6,1,0,0,0,0,1,0.125,43,38,2
Season Totals,Last 28 days,14,10,45,39,4,9,0,0,2,5,0,0,6,10,0.231,0.333,0.385,0.718,15,1,0,0,0,0,1,0.259,112,99,7
Season Totals,Last 365 days,81,68,297,255,36,57,15,0,10,26,0,0,35,55,0.224,0.323,0.4,0.723,102,2,4,0,3,0,2,0.244,113,,32
Platoon Splits,vs RHP,61,,200,178,22,37,11,0,7,18,0,0,18,38,0.208,0.285,0.388,0.673,69,1,2,0,2,0,1,0.222,97,89,19
Platoon Splits,vs LHP,37,,73,59,9,14,2,0,1,5,0,0,13,14,0.237,0.37,0.322,0.692,19,1,0,0,1,0,1,0.289,107,97,11
Platoon Splits,vs RHP as RHB,61,,200,178,,37,11,0,7,18,0,0,18,38,0.208,0.285,0.388,0.673,69,1,2,0,2,0,1,0.222,97,94,19
Platoon Splits,vs LHP as RHB,37,,73,59,,14,2,0,1,5,0,0,13,14,0.237,0.37,0.322,0.692,19,1,0,0,1,0,1,0.289,107,93,11
Platoon Splits,vs RH Starter,57,46,206,183,23,40,11,0,7,21,0,0,19,39,0.219,0.296,0.393,0.69,72,1,2,0,2,0,1,0.237,102,93,22
Platoon Splits,vs LH Starter,18,16,67,54,8,11,2,0,1,2,0,0,12,13,0.204,0.343,0.296,0.64,16,1,0,0,1,0,1,0.244,91,83,8
Home or Away,Home,36,32,135,117,16,25,2,0,6,16,0,0,14,31,0.214,0.304,0.385,0.688,45,2,2,0,2,0,0,0.232,103,91,17
Home or Away,Away,39,30,138,120,15,26,11,0,2,7,0,0,17,21,0.217,0.312,0.358,0.67,43,0,0,0,1,0,2,0.245,98,92,13
First or Second Half,1st Half,57,48,212,184,27,41,13,0,6,17,0,0,24,37,0.223,0.316,0.391,0.707,72,1,2,0,2,0,1,0.245,108,100,22
First or Second Half,2nd Half,18,14,61,53,4,10,0,0,2,6,0,0,7,15,0.189,0.279,0.302,0.581,16,1,0,0,1,0,1,0.216,72,62,8
Months,April/March,9,8,31,26,4,7,3,0,2,2,0,0,5,4,0.269,0.387,0.615,1.003,16,0,0,0,0,0,0,0.25,191,183,2
Months,May,21,18,85,75,15,22,7,0,3,11,0,0,9,14,0.293,0.365,0.507,0.871,38,0,0,0,1,0,0,0.322,155,150,12
Months,June,20,16,71,62,4,8,3,0,0,3,0,0,6,14,0.129,0.225,0.177,0.403,11,0,2,0,1,0,1,0.163,21,15,5
Months,July,13,12,49,42,4,9,0,0,1,3,0,0,6,12,0.214,0.306,0.286,0.592,12,1,0,0,1,0,0,0.267,76,65,8
Months,August,12,8,37,32,4,5,0,0,2,4,0,0,5,8,0.156,0.27,0.344,0.614,11,1,0,0,0,0,1,0.136,80,70,3
Game Outcome for Team,in Wins,29,27,126,110,18,29,10,0,4,17,0,0,13,20,0.264,0.341,0.464,0.805,51,0,1,0,2,0,1,0.284,136,93,15
Game Outcome for Team,in Losses,46,35,147,127,13,22,3,0,4,6,0,0,18,32,0.173,0.279,0.291,0.57,37,2,1,0,1,0,1,0.196,69,95,15
Starter or Substitute,as Starter,62,62,262,229,31,51,13,0,8,21,0,0,29,49,0.223,0.313,0.384,0.697,88,2,2,0,2,0,2,0.247,105,96,30
Starter or Substitute,as Sub,13,0,11,8,0,0,0,0,0,2,0,0,2,3,0.0,0.182,0.0,0.182,0,0,0,0,1,0,0,0.0,-41,-40,0
Defensive Positions,as C,61,,249,218,29,46,12,0,8,21,0,0,27,49,0.211,0.301,0.376,0.677,82,1,2,0,2,0,2,0.233,99,97,26
Defensive Positions,as DH,6,,19,15,2,5,1,0,0,1,0,0,3,0,0.333,0.421,0.4,0.821,6,1,0,0,1,0,0,0.313,145,124,4
Defensive Positions,as PH,7,,7,5,,0,0,0,0,2,0,0,1,3,0.0,0.143,0.0,0.143,0,0,0,0,1,0,0,0.0,-54,-52,0
Defensive Positions,as PH for DH,2,,2,1,,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,39,,54,47,,9,2,0,2,2,,,6,7,0.192,0.296,0.362,0.658,17,0,1,0,0,0,0,0.184,94,89,5
Batting Order Positions,Batting 1st,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Batting Order Positions,Batting 2nd,18,18,84,72,10,14,3,0,1,7,0,0,11,12,0.194,0.31,0.278,0.587,20,1,1,0,0,0,1,0.22,76,59,10
Batting Order Positions,Batting 3rd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Batting Order Positions,Batting 4th,4,3,15,13,1,2,0,0,0,1,0,0,1,5,0.154,0.2,0.154,0.354,2,0,0,0,1,0,0,0.222,6,0,2
Batting Order Positions,Batting 5th,20,20,83,71,13,14,3,0,4,8,0,0,11,15,0.197,0.301,0.409,0.71,29,0,0,0,1,0,0,0.189,108,96,7
Batting Order Positions,Batting 6th,9,8,31,28,5,9,3,0,3,4,0,0,2,5,0.321,0.355,0.75,1.105,21,0,0,0,1,0,1,0.286,217,213,3
Batting Order Positions,Batting 7th,18,13,57,50,2,12,4,0,0,3,0,0,6,13,0.24,0.333,0.32,0.653,16,1,1,0,0,0,0,0.324,94,93,8
Batting Order Positions,Batting 8th,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Batting Order Positions,Batting 9th,3,0,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,36,,48,42,,9,4,0,2,8,,,5,4,0.214,0.292,0.452,0.744,19,1,0,0,1,0,0,0.189,117,110,3
Swung or Took First Pitch of PA,Took 1st Pitch,70,,225,195,,42,9,0,6,15,,,26,48,0.215,0.311,0.354,0.665,69,1,2,0,2,0,2,0.252,96,86,27
Count/Balls-Strikes,First Pitch,17,,17,17,8,4,3,0,1,3,0,0,0,0,0.235,0.235,0.588,0.824,10,1,0,0,0,0,0,0.188,135,74,0
Count/Balls-Strikes,1-0 Count,16,,16,15,5,5,1,0,1,2,0,0,0,0,0.333,0.375,0.6,0.975,9,0,1,0,0,0,0,0.286,184,115,3
Count/Balls-Strikes,2-0 Count,5,,5,4,1,1,0,0,1,2,0,0,0,0,0.25,0.2,1.0,1.2,4,1,0,0,1,0,1,0.0,235,120,0
Count/Balls-Strikes,3-0 Count,4,,4,0,,0,0,0,0,0,0,0,4,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,21,,25,24,3,9,1,0,1,2,0,0,0,0,0.375,0.4,0.542,0.942,13,0,1,0,0,0,1,0.348,176,127,7
Count/Balls-Strikes,1-1 Count,23,,29,28,2,7,2,0,1,4,0,0,0,0,0.25,0.241,0.429,0.67,12,0,0,0,1,0,0,0.214,94,56,4
Count/Balls-Strikes,2-1 Count,15,,17,17,4,5,2,0,1,4,0,0,0,0,0.294,0.294,0.588,0.882,10,0,0,0,0,0,0,0.25,154,87,2
Count/Balls-Strikes,3-1 Count,12,,13,6,,1,0,0,0,0,0,0,7,0,0.167,0.615,0.167,0.782,1,0,0,0,0,0,0,0.167,145,14,1
Count/Balls-Strikes,0-2 Count,17,,21,21,1,5,2,0,0,0,0,0,0,11,0.238,0.238,0.333,0.571,7,0,0,0,0,0,0,0.5,67,199,3
Count/Balls-Strikes,1-2 Count,24,,27,26,3,3,0,0,1,2,0,0,0,10,0.115,0.111,0.231,0.342,6,0,0,0,1,0,0,0.125,-2,60,2
Count/Balls-Strikes,2-2 Count,32,,41,41,1,1,0,0,0,0,0,0,0,18,0.024,0.024,0.024,0.049,1,0,0,0,0,0,0,0.044,-86,-78,1
Count/Balls-Strikes,Full Count,39,,58,38,3,10,2,0,1,4,0,0,20,13,0.263,0.517,0.395,0.912,15,0,0,0,0,0,0,0.375,174,133,7
Count/Balls-Strikes,After 1-0,62,,101,79,,17,4,0,3,9,,,20,14,0.215,0.376,0.38,0.756,30,1,1,0,1,0,1,0.222,125,89,10
Count/Balls-Strikes,After 2-0,30,,36,22,,4,1,0,1,3,,,13,5,0.182,0.472,0.364,0.836,8,1,0,0,1,0,1,0.177,151,74,2
Count/Balls-Strikes,After 3-0,13,,13,6,,1,0,0,0,0,,,7,3,0.167,0.615,0.167,0.782,1,0,0,0,0,0,0,0.333,145,16,1
Count/Balls-Strikes,After 0-1,63,,155,141,,30,6,0,4,11,,,11,38,0.213,0.271,0.34,0.611,48,0,1,0,2,0,1,0.257,80,103,20
Count/Balls-Strikes,After 1-1,61,,117,101,,21,5,0,2,9,,,15,19,0.208,0.308,0.317,0.625,32,0,0,0,1,0,0,0.235,85,90,14
Count/Balls-Strikes,After 2-1,45,,66,51,,13,3,0,1,6,,,15,8,0.255,0.424,0.373,0.797,19,0,0,0,0,0,0,0.286,138,103,9
Count/Balls-Strikes,After 3-1,25,,29,16,,4,1,0,0,0,,,13,3,0.25,0.586,0.313,0.899,5,0,0,0,0,0,0,0.308,175,71,3
