Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,118,115,456,411,49,94,18,2,10,43,13,3,40,115,0.229,0.298,0.355,0.653,146,5,2,0,3,2,2,0.291,100,84,64
Season Totals,Last 7 days,6,6,22,20,4,5,1,0,1,2,3,0,2,6,0.25,0.318,0.45,0.768,9,0,0,0,0,0,0,0.308,134,123,3
Season Totals,Last 14 days,11,11,42,37,5,8,2,0,1,6,5,0,4,8,0.216,0.286,0.351,0.637,13,0,0,0,1,0,1,0.241,95,80,5
Season Totals,Last 28 days,24,24,92,81,12,22,5,1,1,12,6,0,9,17,0.272,0.337,0.395,0.732,32,0,0,0,2,0,1,0.323,124,102,15
Season Totals,Last 365 days,153,150,610,548,70,125,24,3,13,59,17,3,54,150,0.228,0.3,0.354,0.654,194,8,4,0,4,2,2,0.288,100,,85
Platoon Splits,vs RHP,111,,368,334,32,72,14,2,6,31,10,1,31,96,0.216,0.283,0.323,0.606,108,5,1,0,2,1,1,0.282,86,72,50
Platoon Splits,vs LHP,52,,88,77,17,22,4,0,4,12,3,2,9,19,0.286,0.364,0.494,0.857,38,0,1,0,1,1,1,0.327,161,138,14
Platoon Splits,vs RHP as RHB,111,,368,334,,72,14,2,6,31,0,0,31,96,0.216,0.283,0.323,0.606,108,5,1,0,2,1,1,0.282,86,77,50
Platoon Splits,vs LHP as RHB,52,,88,77,,22,4,0,4,12,0,0,9,19,0.286,0.364,0.494,0.857,38,0,1,0,1,1,1,0.327,161,132,14
Platoon Splits,vs RH Starter,96,93,368,334,36,73,13,2,7,31,10,1,31,89,0.219,0.288,0.332,0.62,111,4,2,0,1,2,1,0.276,90,75,51
Platoon Splits,vs LH Starter,22,22,88,77,13,21,5,0,3,12,3,2,9,26,0.273,0.341,0.455,0.795,35,1,0,0,2,0,1,0.36,143,122,13
Home or Away,Home,60,59,226,201,31,48,7,1,7,24,9,3,23,57,0.239,0.323,0.388,0.711,78,1,2,0,0,1,2,0.299,118,98,33
Home or Away,Away,58,56,230,210,18,46,11,1,3,19,4,0,17,58,0.219,0.274,0.324,0.598,68,4,0,0,3,1,0,0.283,83,71,31
First or Second Half,1st Half,87,84,337,306,37,65,13,1,9,31,5,3,28,91,0.212,0.282,0.35,0.632,107,4,2,0,1,1,1,0.271,93,79,42
First or Second Half,2nd Half,31,31,119,105,12,29,5,1,1,12,8,0,12,24,0.276,0.345,0.371,0.716,39,1,0,0,2,1,1,0.342,120,100,22
Months,April/March,30,29,119,107,19,25,3,1,3,11,3,2,10,33,0.234,0.303,0.365,0.667,39,1,1,0,1,0,1,0.306,104,91,18
Months,May,17,16,64,58,4,9,2,0,1,2,1,0,6,18,0.155,0.234,0.241,0.476,14,0,0,0,0,0,0,0.205,46,38,6
Months,June,27,26,104,93,8,22,7,0,4,14,1,1,10,26,0.237,0.317,0.441,0.758,41,3,1,0,0,1,0,0.286,131,110,11
Months,July,25,25,98,89,8,20,3,0,1,5,2,0,8,24,0.225,0.286,0.292,0.578,26,1,0,0,1,1,0,0.292,78,60,16
Months,August,19,19,71,64,10,18,3,1,1,11,6,0,6,14,0.281,0.338,0.406,0.744,26,0,0,0,1,0,1,0.34,128,107,13
Game Outcome for Team,in Wins,60,59,243,217,40,63,12,1,8,29,11,2,23,56,0.29,0.362,0.465,0.828,101,3,2,0,1,2,1,0.357,153,99,42
Game Outcome for Team,in Losses,58,56,213,194,9,31,6,1,2,14,2,1,17,59,0.16,0.225,0.232,0.457,45,2,0,0,2,0,1,0.215,41,56,22
Starter or Substitute,as Starter,115,115,454,409,49,94,18,2,10,43,13,3,40,114,0.23,0.3,0.357,0.657,146,5,2,0,3,2,2,0.292,101,85,64
Starter or Substitute,as Sub,3,0,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as SS,115,,454,409,49,94,18,2,10,43,13,3,40,114,0.23,0.3,0.357,0.657,146,5,2,0,3,2,2,0.292,101,79,64
Defensive Positions,as PH,2,,2,2,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,69,,98,90,,23,3,0,2,2,,,6,20,0.256,0.316,0.356,0.672,32,0,2,0,0,1,1,0.309,106,94,18
Batting Order Positions,Batting 1st,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
