Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,120,111,454,404,65,87,19,7,15,53,10,2,44,117,0.215,0.298,0.408,0.706,165,2,4,1,1,1,1,0.264,100,97,46
Season Totals,Last 7 days,6,6,26,24,5,8,1,1,0,2,0,0,1,5,0.333,0.385,0.458,0.843,11,0,1,0,0,0,0,0.421,141,147,6
Season Totals,Last 14 days,12,12,54,48,9,14,2,1,2,6,0,0,4,9,0.292,0.37,0.5,0.87,24,0,2,0,0,0,0,0.324,147,145,9
Season Totals,Last 28 days,25,23,103,90,18,24,4,1,4,14,1,0,9,20,0.267,0.35,0.467,0.816,42,0,3,0,1,0,0,0.299,132,124,15
Season Totals,Last 365 days,153,139,568,508,78,109,23,9,19,67,11,4,53,143,0.215,0.295,0.408,0.702,207,3,5,1,1,1,3,0.259,99,,58
Platoon Splits,vs RHP,112,,365,324,48,63,13,7,12,42,5,2,35,105,0.194,0.28,0.389,0.669,126,2,4,1,1,1,1,0.245,89,87,31
Platoon Splits,vs LHP,52,,89,80,17,24,6,0,3,11,5,0,9,12,0.3,0.371,0.488,0.858,39,0,0,0,0,0,0,0.323,144,139,15
Platoon Splits,vs RHP as LHB,112,,365,324,,63,13,7,12,42,0,0,35,105,0.194,0.28,0.389,0.669,126,2,4,1,1,1,1,0.245,89,81,31
Platoon Splits,vs LHP as LHB,52,,89,80,,24,6,0,3,11,0,0,9,12,0.3,0.371,0.488,0.858,39,0,0,0,0,0,0,0.323,144,156,15
Platoon Splits,vs RH Starter,97,96,391,345,51,70,14,7,13,46,8,1,41,103,0.203,0.292,0.397,0.689,137,2,3,1,1,1,1,0.248,95,93,36
Platoon Splits,vs LH Starter,23,15,63,59,14,17,5,0,2,7,2,1,3,14,0.288,0.333,0.475,0.808,28,0,1,0,0,0,0,0.349,128,125,10
Home or Away,Home,63,58,234,209,37,47,11,4,9,32,3,2,22,58,0.225,0.303,0.445,0.748,93,2,2,0,1,0,1,0.266,111,105,23
Home or Away,Away,57,53,220,195,28,40,8,3,6,21,7,0,22,59,0.205,0.292,0.369,0.661,72,0,2,1,0,1,0,0.262,88,88,23
First or Second Half,1st Half,88,82,327,292,46,59,15,6,11,38,9,2,33,90,0.202,0.285,0.408,0.693,119,2,1,1,0,1,1,0.251,96,94,27
First or Second Half,2nd Half,32,29,127,112,19,28,4,1,4,15,1,0,11,27,0.25,0.331,0.411,0.741,46,0,3,0,1,0,0,0.293,112,105,19
Months,April/March,30,27,102,90,17,21,6,0,6,14,3,0,12,26,0.233,0.324,0.5,0.824,45,0,0,0,0,0,0,0.259,131,133,9
Months,May,22,22,96,86,14,15,3,1,4,16,2,0,10,24,0.174,0.26,0.372,0.633,32,1,0,0,0,0,0,0.19,78,81,7
Months,June,24,22,86,80,10,15,5,2,1,5,3,1,5,26,0.188,0.244,0.338,0.582,27,1,1,0,0,0,1,0.264,65,61,7
Months,July,25,22,88,76,10,15,2,3,2,11,1,1,10,24,0.197,0.287,0.382,0.669,29,0,0,1,1,1,0,0.255,90,82,8
Months,August,19,18,82,72,14,21,3,1,2,7,1,0,7,17,0.292,0.378,0.444,0.822,32,0,3,0,0,0,0,0.359,136,129,15
Game Outcome for Team,in Wins,57,51,222,193,49,50,12,3,10,36,6,1,25,56,0.259,0.348,0.508,0.856,98,1,2,1,1,1,0,0.313,141,104,25
Game Outcome for Team,in Losses,63,60,232,211,16,37,7,4,5,17,4,1,19,61,0.175,0.25,0.318,0.568,67,1,2,0,0,0,1,0.221,62,93,21
Starter or Substitute,as Starter,111,111,447,398,62,85,19,7,15,53,10,1,43,115,0.214,0.296,0.41,0.706,163,2,4,1,1,1,1,0.26,100,97,44
Starter or Substitute,as Sub,9,0,7,6,3,2,0,0,0,0,0,1,1,2,0.333,0.429,0.333,0.762,2,0,0,0,0,0,0,0.5,126,135,2
Defensive Positions,as LF,52,,183,166,24,37,8,4,7,21,5,0,16,50,0.223,0.291,0.446,0.737,74,1,0,1,0,1,0,0.275,107,106,18
Defensive Positions,as CF,71,,262,231,38,48,11,3,8,32,4,1,26,64,0.208,0.298,0.385,0.683,89,1,4,0,1,0,1,0.25,94,96,26
Defensive Positions,as RF,1,,5,4,0,1,0,0,0,0,1,0,1,1,0.25,0.4,0.25,0.65,1,0,0,0,0,0,0,0.333,96,87,1
Defensive Positions,as PH,4,,4,3,1,1,0,0,0,0,0,1,1,2,0.333,0.5,0.333,0.833,1,0,0,0,0,0,0,1.0,149,166,1
Defensive Positions,as PR,,,,,2,,,,,,0,0,,,,,,,,,,,,,,,,,
Leading Off Inning,1st Batter G,1,,1,1,,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,71,,98,90,,17,3,2,2,2,,,8,23,0.189,0.255,0.333,0.588,30,0,0,0,0,0,1,0.231,67,68,10
Batting Order Positions,Batting 1st,1,1,4,4,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 2nd,29,28,126,111,17,25,6,3,3,15,1,0,13,27,0.225,0.318,0.414,0.732,46,1,2,0,0,0,0,0.272,108,93,13
Batting Order Positions,Batting 3rd,1,1,4,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 4th,10,9,39,33,4,5,1,0,1,4,1,0,6,13,0.152,0.282,0.273,0.555,9,0,0,0,0,0,1,0.211,62,54,3
Batting Order Positions,Batting 5th,29,27,110,97,17,21,7,3,4,14,2,0,11,28,0.217,0.3,0.474,0.774,46,1,1,0,1,0,0,0.258,117,112,7
Batting Order Positions,Batting 6th,18,17,69,61,8,12,1,0,1,5,3,0,7,19,0.197,0.279,0.262,0.542,16,0,0,1,0,1,0,0.268,58,60,10
Batting Order Positions,Batting 7th,22,20,73,68,13,18,2,1,6,15,2,0,4,23,0.265,0.315,0.588,0.903,40,0,1,0,0,0,0,0.308,150,157,9
Batting Order Positions,Batting 8th,6,5,17,15,3,3,1,0,0,0,0,2,2,1,0.2,0.294,0.267,0.561,4,0,0,0,0,0,0,0.214,64,73,2
Batting Order Positions,Batting 9th,4,3,12,11,3,3,1,0,0,0,1,0,1,3,0.273,0.333,0.364,0.697,4,0,0,0,0,0,0,0.375,101,125,2
Swung or Took First Pitch of PA,Swung at 1st Pitch,96,,152,144,,35,7,3,5,21,,,7,40,0.243,0.283,0.438,0.72,63,0,1,0,0,0,1,0.303,102,104,20
Swung or Took First Pitch of PA,Took 1st Pitch,112,,302,260,,52,12,4,10,32,,,37,77,0.2,0.306,0.392,0.698,102,2,3,1,1,1,0,0.241,99,95,26
Count/Balls-Strikes,First Pitch,46,,53,51,10,19,3,1,3,11,4,1,0,0,0.373,0.396,0.647,1.043,33,0,2,0,0,0,1,0.333,192,131,12
Count/Balls-Strikes,1-0 Count,27,,29,28,7,3,0,0,2,6,0,1,0,0,0.107,0.107,0.321,0.429,9,2,0,1,0,0,0,0.039,15,-13,1
Count/Balls-Strikes,2-0 Count,9,,9,9,2,5,1,0,1,4,0,0,0,0,0.556,0.556,1.0,1.556,9,0,0,0,0,0,0,0.5,332,223,3
Count/Balls-Strikes,3-0 Count,7,,7,0,,0,0,0,0,0,0,0,7,0,,1.0,,,0,0,0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,33,,37,37,7,12,1,2,1,2,2,0,0,0,0.324,0.324,0.541,0.865,20,0,0,0,0,0,0,0.306,141,104,8
Count/Balls-Strikes,1-1 Count,24,,27,27,11,7,2,0,2,5,1,0,0,0,0.259,0.259,0.556,0.815,15,0,0,0,0,0,0,0.2,123,85,3
Count/Balls-Strikes,2-1 Count,22,,23,23,4,8,3,1,1,3,0,0,0,0,0.348,0.348,0.696,1.044,16,0,0,0,0,0,0,0.318,187,121,3
Count/Balls-Strikes,3-1 Count,21,,23,9,4,2,1,0,1,3,1,0,14,0,0.222,0.696,0.667,1.362,6,0,0,0,0,0,0,0.125,297,104,0
Count/Balls-Strikes,0-2 Count,30,,34,34,4,3,1,1,1,5,1,0,0,16,0.088,0.088,0.265,0.353,9,0,0,0,0,0,0,0.118,-6,74,0
Count/Balls-Strikes,1-2 Count,49,,69,69,9,11,3,1,3,10,0,0,0,40,0.159,0.159,0.362,0.522,25,0,0,0,0,0,0,0.308,42,141,4
Count/Balls-Strikes,2-2 Count,59,,77,76,5,11,2,1,0,0,1,0,0,40,0.145,0.156,0.197,0.353,15,0,1,0,0,0,0,0.306,1,60,8
Count/Balls-Strikes,Full Count,51,,66,41,2,6,2,0,0,4,0,0,23,21,0.146,0.455,0.195,0.65,8,0,1,0,1,0,0,0.286,101,59,4
Count/Balls-Strikes,After 1-0,92,,163,135,,27,9,1,7,19,,,27,38,0.2,0.333,0.437,0.77,59,2,0,1,0,1,0,0.222,119,91,10
Count/Balls-Strikes,After 2-0,49,,63,42,,11,4,1,2,7,,,21,11,0.262,0.508,0.548,1.056,23,0,0,0,0,1,0,0.31,205,120,4
Count/Balls-Strikes,After 3-0,21,,23,8,,2,1,0,1,3,,,15,3,0.25,0.739,0.75,1.489,6,0,0,0,0,1,0,0.25,332,148,0
Count/Balls-Strikes,After 0-1,111,,238,218,,41,7,5,5,23,,,17,79,0.188,0.252,0.335,0.587,73,0,2,0,1,0,0,0.267,67,94,24
Count/Balls-Strikes,After 1-1,102,,181,159,,31,8,1,5,19,,,19,56,0.195,0.287,0.352,0.64,56,0,2,0,1,0,0,0.263,83,93,17
Count/Balls-Strikes,After 2-1,71,,105,82,,16,6,1,1,4,,,21,23,0.195,0.371,0.329,0.701,27,0,2,0,0,0,0,0.259,105,78,8
Count/Balls-Strikes,After 3-1,41,,47,24,,4,2,0,1,4,,,23,9,0.167,0.575,0.375,0.95,9,0,0,0,0,0,0,0.214,185,83,1
Count/Balls-Strikes,After 0-2,65,,91,87,,11,3,2,2,8,,,4,50,0.126,0.165,0.276,0.441,24,0,0,0,0,0,0,0.257,23,92,4
Count/Balls-Strikes,After 1-2,84,,137,128,,20,4,2,3,13,,,8,75,0.156,0.204,0.289,0.494,37,0,0,0,1,0,0,0.333,39,97,11
Count/Balls-Strikes,After 2-2,76,,119,102,,15,3,1,0,3,,,14,52,0.147,0.261,0.196,0.457,20,0,2,0,1,0,0,0.294,36,57,11
Count/Balls-Strikes,Zero Balls,85,,124,122,21,34,5,4,5,18,7,1,0,16,0.279,0.29,0.508,0.799,62,0,2,0,0,0,1,0.287,122,119,20
Count/Balls-Strikes,Zero Strikes,75,,98,88,19,27,4,1,6,21,4,2,7,0,0.307,0.371,0.58,0.951,51,2,2,1,0,1,1,0.256,167,97,16
Count/Balls-Strikes,Three Balls,68,,96,50,6,8,3,0,1,7,1,0,44,21,0.16,0.552,0.28,0.832,14,0,1,0,1,1,0,0.241,154,73,4
Count/Balls-Strikes,Two Strikes,108,,246,220,20,31,8,3,4,19,2,0,23,117,0.141,0.228,0.259,0.487,57,0,2,0,1,0,0,0.27,40,90,16
Count/Balls-Strikes,Batter Ahead,93,,157,110,19,24,7,1,5,20,1,1,44,21,0.218,0.442,0.436,0.879,48,2,1,1,1,1,0,0.224,155,84,11
Count/Balls-Strikes,Even Count,87,,157,154,26,37,7,2,5,16,6,1,0,40,0.24,0.255,0.409,0.664,63,0,3,0,0,0,1,0.294,86,90,23
Count/Balls-Strikes,Pitcher Ahead,87,,140,140,20,26,5,4,5,17,3,0,0,56,0.186,0.186,0.386,0.571,54,0,0,0,0,0,0,0.266,57,114,12
Number of Outs in Inning,0 outs,93,,159,145,12,31,7,2,4,15,2,1,13,34,0.214,0.279,0.372,0.651,54,2,0,1,0,0,1,0.252,85,80,18
Number of Outs in Inning,1 out,95,,150,129,23,31,6,3,5,13,3,0,18,44,0.24,0.34,0.45,0.79,58,0,2,0,1,1,0,0.321,124,120,17
Number of Outs in Inning,2 outs,93,,145,130,30,25,6,2,6,25,5,1,13,39,0.192,0.276,0.408,0.684,53,0,2,0,0,0,0,0.224,93,94,11
Bases Occupied,RISP,68,,109,94,52,22,4,1,8,42,4,0,11,34,0.234,0.324,0.553,0.877,52,1,2,1,1,1,0,0.264,144,131,9
Bases Occupied,---,112,,265,241,4,47,12,5,4,4,0,0,23,66,0.195,0.268,0.336,0.604,81,0,1,0,0,0,1,0.252,72,76,26
Bases Occupied,Men On,97,,189,163,61,40,7,2,11,49,10,2,21,51,0.245,0.34,0.515,0.856,84,2,3,1,1,1,0,0.284,140,127,20
Bases Occupied,1--,63,,80,69,9,18,3,1,3,7,6,2,10,17,0.261,0.363,0.464,0.826,32,1,1,0,0,0,0,0.306,136,123,11
