Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,8,157.0,145,21.0,37,9,2,7,5,0,11,44,4.0,0.255,0.312,0.49,0.802,71.0,1.0,1.0,0,0,0,0,0.319,100,122,19
Season Totals,Last 7 days,2,37.0,35,5.0,9,4,0,0,3,0,2,11,5.5,0.257,0.297,0.371,0.669,13.0,0.0,0.0,0,0,0,0,0.375,71,95,5
Season Totals,Last 14 days,3,53.0,48,6.0,12,4,0,1,4,0,5,14,2.8,0.25,0.321,0.396,0.717,19.0,0.0,0.0,0,0,0,0,0.333,84,103,7
Season Totals,Last 28 days,5,91.0,82,8.0,17,5,0,2,4,0,8,29,3.63,0.207,0.286,0.342,0.627,28.0,1.0,1.0,0,0,0,0,0.294,61,73,10
Season Totals,Last 365 days,8,157.0,145,21.0,37,9,2,7,5,0,11,44,4.0,0.255,0.312,0.49,0.802,71.0,1.0,1.0,0,0,0,0,0.319,100,,19
Platoon Splits,vs RHB,8,67.0,63,12.0,18,5,0,3,1,0,4,19,4.75,0.286,0.328,0.508,0.836,32.0,1.0,0.0,0,0,0,0,0.366,109,134,10
Platoon Splits,vs LHB,8,90.0,82,9.0,19,4,2,4,4,0,7,25,3.57,0.232,0.3,0.476,0.776,39.0,0.0,1.0,0,0,0,0,0.283,93,112,9
Platoon Splits,vs RHB as RHP,8,67.0,63,12.0,18,5,0,3,1,0,4,19,4.75,0.286,0.328,0.508,0.836,32.0,1.0,0.0,0,0,0,0,0.366,109,139,10
Platoon Splits,vs LHB as RHP,8,90.0,82,9.0,19,4,2,4,4,0,7,25,3.57,0.232,0.3,0.476,0.776,39.0,0.0,1.0,0,0,0,0,0.283,93,108,9
Home or Away,Home,4,75.0,68,12.0,19,5,2,5,5,0,7,21,3.0,0.279,0.347,0.632,0.979,43.0,0.0,0.0,0,0,0,0,0.333,140,173,7
Home or Away,Away,4,82.0,77,9.0,18,4,0,2,0,0,4,23,5.75,0.234,0.281,0.364,0.644,28.0,1.0,1.0,0,0,0,0,0.308,64,78,12
First or Second Half,1st Half,2,47.0,46,12.0,16,1,2,4,1,0,1,8,8.0,0.348,0.362,0.717,1.079,33.0,0.0,0.0,0,0,0,0,0.353,162,197,9
First or Second Half,2nd Half,6,110.0,99,9.0,21,8,0,3,4,0,10,36,3.6,0.212,0.291,0.384,0.675,38.0,1.0,1.0,0,0,0,0,0.3,72,86,10
Months,June,1,23.0,22,5.0,7,1,0,1,0,0,1,2,2.0,0.318,0.348,0.5,0.848,11.0,0.0,0.0,0,0,0,0,0.316,114,134,5
Months,July,3,62.0,58,10.0,16,3,2,5,1,0,3,19,6.33,0.276,0.323,0.655,0.978,38.0,1.0,1.0,0,0,0,0,0.324,137,159,6
Months,August,4,72.0,65,6.0,14,5,0,1,4,0,7,23,3.29,0.215,0.292,0.339,0.63,22.0,0.0,0.0,0,0,0,0,0.317,63,76,8
Game Outcome for Pitcher,in Wins,2,42.0,39,5.0,9,2,0,1,0,0,3,11,3.67,0.231,0.286,0.359,0.645,14.0,0.0,0.0,0,0,0,0,0.296,65,146,6
Game Outcome for Pitcher,in Losses,3,59.0,55,12.0,15,2,2,4,4,0,3,17,5.67,0.273,0.322,0.6,0.922,33.0,1.0,1.0,0,0,0,0,0.324,126,86,7
Game Outcome for Pitcher,in No Dec.,3,56.0,51,4.0,13,5,0,2,1,0,5,16,3.2,0.255,0.321,0.471,0.792,24.0,0.0,0.0,0,0,0,0,0.333,99,125,6
Game Outcome for Pitcher,in non-Sv,1,19.0,17,1.0,4,3,0,1,0,0,2,7,3.5,0.235,0.316,0.588,0.904,10.0,0.0,0.0,0,0,0,0,0.333,121,149,0
Pitching Role,as Starter,7,138.0,128,20.0,33,6,2,6,5,0,9,37,4.11,0.258,0.312,0.477,0.788,61.0,1.0,1.0,0,0,0,0,0.318,97,116,19
Pitching Role,as Reliever,1,19.0,17,1.0,4,3,0,1,0,0,2,7,3.5,0.235,0.316,0.588,0.904,10.0,0.0,0.0,0,0,0,0,0.333,121,153,0
Run Support,0-2 Runs Scored,3,59.0,55,12.0,15,2,2,4,4,0,3,17,5.67,0.273,0.322,0.6,0.922,33.0,1.0,1.0,0,0,0,0,0.324,126,141,7
Run Support,3-5 Runs Scored,3,56.0,51,3.0,11,3,0,1,1,0,5,18,3.6,0.216,0.286,0.333,0.619,17.0,0.0,0.0,0,0,0,0,0.313,60,75,7
Run Support,6+ Runs Scored,1,23.0,22,5.0,7,1,0,1,0,0,1,2,2.0,0.318,0.348,0.5,0.848,11.0,0.0,0.0,0,0,0,0,0.316,114,136,5
Batting Order Positions,Batting 1st,8,21.0,19,1.0,2,0,0,0,1,0,2,8,4.0,0.105,0.191,0.105,0.296,2.0,0.0,0.0,0,0,0,0,0.182,-18,-16,2
Batting Order Positions,Batting 2nd,8,19.0,18,2.0,6,1,1,2,0,0,1,6,6.0,0.333,0.368,0.833,1.202,15.0,0.0,0.0,0,0,0,0,0.4,188,206,2
