Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,98,75,332,282,39,75,14,1,12,45,4,1,37,69,0.266,0.366,0.45,0.816,127,12,9,0,3,4,2,0.309,100,129,48
Season Totals,Last 7 days,4,1,11,10,2,2,0,1,1,4,0,0,1,1,0.2,0.273,0.7,0.973,7,0,0,0,0,0,0,0.125,130,169,0
Season Totals,Last 14 days,10,7,33,30,4,6,0,1,3,7,0,0,2,5,0.2,0.273,0.567,0.839,17,1,1,0,0,0,0,0.136,101,126,2
Season Totals,Last 28 days,20,16,69,63,7,12,0,1,4,11,0,0,5,15,0.191,0.261,0.413,0.674,26,2,1,0,0,0,0,0.182,63,82,7
Season Totals,Last 365 days,113,79,354,299,41,78,17,1,12,47,4,1,39,73,0.261,0.365,0.445,0.81,133,12,12,0,3,4,2,0.304,99,,48
Platoon Splits,vs RHP,74,,196,177,20,44,8,1,4,18,2,1,11,39,0.249,0.308,0.373,0.681,66,8,5,0,2,0,1,0.294,67,92,31
Platoon Splits,vs LHP,69,,136,105,19,31,6,0,8,27,2,0,26,30,0.295,0.449,0.581,1.03,61,4,4,0,1,4,1,0.338,152,187,17
Platoon Splits,vs RHP as RHB,74,,196,177,,44,8,1,4,18,0,0,11,39,0.249,0.308,0.373,0.681,66,8,5,0,2,0,1,0.294,67,98,31
Platoon Splits,vs LHP as RHB,69,,136,105,,31,6,0,8,27,0,0,26,30,0.295,0.449,0.581,1.03,61,4,4,0,1,4,1,0.338,152,180,17
Platoon Splits,vs RH Starter,65,42,199,171,22,40,5,1,8,26,3,1,21,34,0.234,0.333,0.415,0.749,71,9,5,0,1,3,1,0.246,83,111,26
Platoon Splits,vs LH Starter,33,33,133,111,17,35,9,0,4,19,1,0,16,35,0.315,0.414,0.505,0.918,56,3,4,0,2,1,1,0.419,125,158,22
Home or Away,Home,42,35,145,122,20,32,4,0,6,19,2,0,18,37,0.262,0.372,0.443,0.815,54,2,4,0,1,2,2,0.325,100,127,22
Home or Away,Away,56,40,187,160,19,43,10,1,6,26,2,1,19,32,0.269,0.36,0.456,0.817,73,10,5,0,2,2,0,0.298,100,132,26
First or Second Half,1st Half,73,55,246,204,29,57,14,0,8,33,4,1,30,50,0.279,0.388,0.466,0.854,95,9,8,0,3,4,2,0.329,110,142,35
First or Second Half,2nd Half,25,20,86,78,10,18,0,1,4,12,0,0,7,19,0.231,0.302,0.41,0.713,32,3,1,0,0,0,0,0.255,74,96,13
Months,April/March,19,12,60,45,8,14,4,0,1,9,1,0,10,14,0.311,0.45,0.467,0.917,21,0,3,0,2,2,1,0.406,127,165,9
Months,May,21,17,76,60,19,23,1,0,7,18,3,0,13,11,0.383,0.513,0.75,1.263,45,2,3,0,0,1,0,0.381,207,260,15
