Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,64,46,182,167,24,44,9,0,6,23,1,0,13,35,0.264,0.324,0.425,0.749,71,3,2,0,0,0,2,0.302,100,110,29
Season Totals,Last 7 days,6,6,24,22,4,6,2,0,1,4,0,0,2,2,0.273,0.333,0.5,0.833,11,0,0,0,0,0,1,0.263,120,137,3
Season Totals,Last 14 days,13,12,48,44,8,15,5,0,3,9,0,0,4,8,0.341,0.396,0.659,1.055,29,0,0,0,0,0,1,0.364,177,188,7
Season Totals,Last 28 days,21,18,75,70,13,20,5,0,4,13,1,0,5,15,0.286,0.333,0.529,0.862,37,0,0,0,0,0,1,0.314,127,132,11
Season Totals,Last 365 days,95,70,281,259,36,63,18,0,6,33,2,0,18,53,0.243,0.299,0.382,0.681,99,6,3,0,1,0,4,0.284,82,,39
Platoon Splits,vs RHP,62,,168,156,22,41,8,0,6,22,1,0,12,32,0.263,0.316,0.43,0.745,67,3,0,0,0,0,2,0.297,98,109,27
Platoon Splits,vs LHP,10,,14,11,2,3,1,0,0,1,0,0,1,3,0.273,0.429,0.364,0.792,4,0,2,0,0,0,0,0.375,118,126,2
Platoon Splits,vs RHP as LHB,62,,168,156,,41,8,0,6,22,0,0,12,32,0.263,0.316,0.43,0.745,67,3,0,0,0,0,2,0.297,98,102,27
Platoon Splits,vs LHP as LHB,10,,14,11,,3,1,0,0,1,0,0,1,3,0.273,0.429,0.364,0.792,4,0,2,0,0,0,0,0.375,118,140,2
Platoon Splits,vs RH Starter,49,45,160,148,21,42,9,0,6,23,1,0,10,33,0.284,0.338,0.466,0.804,69,3,2,0,0,0,1,0.33,114,125,27
Platoon Splits,vs LH Starter,15,1,22,19,3,2,0,0,0,0,0,0,3,2,0.105,0.227,0.105,0.333,2,0,0,0,0,0,1,0.118,-5,-2,2
Home or Away,Home,31,25,89,81,8,20,4,0,3,13,0,0,6,13,0.247,0.315,0.407,0.722,33,3,2,0,0,0,0,0.262,93,100,13
Home or Away,Away,33,21,93,86,16,24,5,0,3,10,1,0,7,22,0.279,0.333,0.442,0.775,38,0,0,0,0,0,2,0.344,107,120,16
First or Second Half,1st Half,40,25,96,88,9,22,4,0,1,9,0,0,6,18,0.25,0.313,0.33,0.642,29,3,2,0,0,0,1,0.304,74,83,17
First or Second Half,2nd Half,24,21,86,79,15,22,5,0,5,14,1,0,7,17,0.279,0.337,0.532,0.869,42,0,0,0,0,0,1,0.298,129,137,12
Months,May,7,5,16,15,1,3,0,0,0,1,0,0,1,7,0.2,0.25,0.2,0.45,3,0,0,0,0,0,0,0.375,24,33,3
Months,June,22,11,50,43,5,9,2,0,0,3,0,0,5,6,0.209,0.32,0.256,0.576,11,1,2,0,0,0,1,0.243,59,65,7
Months,July,19,16,59,57,8,15,2,0,2,6,1,0,2,14,0.263,0.288,0.404,0.692,23,2,0,0,0,0,0,0.317,84,88,11
Months,August,16,14,57,52,10,17,5,0,4,13,0,0,5,8,0.327,0.386,0.654,1.04,34,0,0,0,0,0,1,0.325,173,182,8
Game Outcome for Team,in Wins,38,29,116,104,18,31,6,0,6,19,1,0,11,19,0.298,0.371,0.529,0.9,55,1,1,0,0,0,1,0.317,139,115,19
Game Outcome for Team,in Losses,26,17,66,63,6,13,3,0,0,4,0,0,2,16,0.206,0.242,0.254,0.496,16,2,1,0,0,0,1,0.277,35,70,10
Starter or Substitute,as Starter,46,46,162,149,23,41,9,0,6,23,1,0,11,32,0.275,0.333,0.456,0.79,68,3,2,0,0,0,2,0.315,110,120,26
Starter or Substitute,as Sub,18,0,20,18,1,3,0,0,0,0,0,0,2,3,0.167,0.25,0.167,0.417,3,0,0,0,0,0,0,0.2,17,31,3
Defensive Positions,as LF,4,,11,10,1,1,0,0,0,2,0,0,1,1,0.1,0.182,0.1,0.282,1,0,0,0,0,0,1,0.111,-20,-17,1
Defensive Positions,as RF,38,,129,122,19,36,7,0,6,19,1,0,7,25,0.295,0.333,0.5,0.833,61,3,0,0,0,0,1,0.33,120,126,23
Defensive Positions,as DH,12,,32,26,3,5,2,0,0,2,0,0,4,8,0.192,0.344,0.269,0.613,7,0,2,0,0,0,0,0.278,70,69,3
Defensive Positions,as PH,13,,13,12,1,2,0,0,0,0,0,0,1,3,0.167,0.231,0.167,0.398,2,0,0,0,0,0,0,0.222,11,27,2
Defensive Positions,as PH for DH,3,,3,3,,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,32,,40,37,,12,0,0,2,2,,,2,8,0.324,0.375,0.487,0.862,18,0,1,0,0,0,1,0.37,130,146,10
Batting Order Positions,Batting 2nd,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 3rd,3,0,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,0.5,172,161,1
Batting Order Positions,Batting 4th,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Batting Order Positions,Batting 5th,3,1,4,4,0,2,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0,2,0,0,0,0,0,0,0.667,172,182,2
Batting Order Positions,Batting 6th,12,11,39,34,4,9,2,0,0,3,0,0,3,8,0.265,0.359,0.324,0.683,11,1,2,0,0,0,0,0.346,87,103,7
Batting Order Positions,Batting 7th,33,33,119,111,18,30,7,0,6,20,1,0,8,23,0.27,0.319,0.496,0.815,55,2,0,0,0,0,2,0.293,115,134,17
