Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,108,86,370,321,39,64,18,0,10,37,4,0,40,111,0.199,0.292,0.349,0.641,112,1,4,0,5,0,0,0.263,100,80,36
Season Totals,Last 7 days,5,3,14,12,0,0,0,0,0,0,0,0,2,7,0.0,0.143,0.0,0.143,0,0,0,0,0,0,0,0.0,-51,-53,0
Season Totals,Last 14 days,9,6,25,22,1,0,0,0,0,0,0,0,3,12,0.0,0.12,0.0,0.12,0,0,0,0,0,0,0,0.0,-59,-62,0
Season Totals,Last 28 days,18,15,60,52,3,5,3,0,0,1,0,0,7,26,0.096,0.2,0.154,0.354,8,0,0,0,1,0,0,0.185,13,0,2
Season Totals,Last 365 days,134,110,475,407,57,85,29,1,15,51,5,0,56,141,0.209,0.312,0.396,0.707,161,2,7,0,5,0,1,0.273,120,,40
Platoon Splits,vs RHP,88,,263,228,30,47,15,0,7,25,2,0,30,72,0.206,0.308,0.364,0.672,83,1,4,0,1,0,0,0.267,110,90,25
Platoon Splits,vs LHP,52,,107,93,9,17,3,0,3,12,2,0,10,39,0.183,0.252,0.312,0.564,29,0,0,0,4,0,0,0.255,76,57,11
Platoon Splits,vs RHP as RHB,88,,263,228,,47,15,0,7,25,0,0,30,72,0.206,0.308,0.364,0.672,83,1,4,0,1,0,0,0.267,110,96,25
Platoon Splits,vs LHP as RHB,52,,107,93,,17,3,0,3,12,0,0,10,39,0.183,0.252,0.312,0.564,29,0,0,0,4,0,0,0.255,76,54,11
Platoon Splits,vs RH Starter,82,60,272,235,30,51,15,0,7,29,3,0,30,70,0.217,0.309,0.37,0.679,87,1,3,0,4,0,0,0.272,112,92,29
Platoon Splits,vs LH Starter,26,26,98,86,9,13,3,0,3,8,1,0,10,41,0.151,0.245,0.291,0.536,25,0,1,0,1,0,0,0.233,67,51,7
