Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,37,29,120,113,13,28,4,1,4,19,5,2,4,39,0.248,0.277,0.407,0.684,46,2,1,1,1,0,3,0.338,100,90,19
Season Totals,Last 7 days,6,6,25,23,1,5,1,0,0,2,0,0,0,8,0.217,0.25,0.261,0.511,6,0,1,1,0,0,0,0.333,54,51,4
Season Totals,Last 14 days,11,11,46,43,3,10,3,0,0,4,2,0,0,15,0.233,0.244,0.302,0.547,13,1,1,1,1,0,1,0.345,62,55,7
Season Totals,Last 28 days,19,17,69,64,8,16,4,1,1,14,3,1,2,24,0.25,0.279,0.391,0.67,25,1,1,1,1,0,1,0.375,97,83,10
Season Totals,Last 365 days,37,29,120,113,13,28,4,1,4,19,5,2,4,39,0.248,0.277,0.407,0.684,46,2,1,1,1,0,3,0.338,100,,19
Platoon Splits,vs RHP,24,,68,66,6,14,2,0,0,6,2,0,0,23,0.212,0.221,0.242,0.463,16,1,1,0,1,0,1,0.318,39,32,12
Platoon Splits,vs LHP,25,,52,47,7,14,2,1,4,13,3,2,4,16,0.298,0.353,0.638,0.991,30,1,0,1,0,0,2,0.37,184,171,7
Platoon Splits,vs RHP as RHB,24,,68,66,,14,2,0,0,6,0,0,0,23,0.212,0.221,0.242,0.463,16,1,1,0,1,0,1,0.318,39,35,12
Platoon Splits,vs LHP as RHB,25,,52,47,,14,2,1,4,13,0,0,4,16,0.298,0.353,0.638,0.991,30,1,0,1,0,0,2,0.37,184,164,7
Platoon Splits,vs RH Starter,22,15,69,67,5,14,2,0,0,6,2,1,0,25,0.209,0.217,0.239,0.456,16,1,1,0,1,0,2,0.326,37,29,12
Platoon Splits,vs LH Starter,15,14,51,46,8,14,2,1,4,13,3,1,4,14,0.304,0.36,0.652,1.012,30,1,0,1,0,0,1,0.357,190,178,7
Home or Away,Home,20,16,68,63,6,14,3,1,1,13,3,1,2,23,0.222,0.254,0.349,0.603,22,0,1,1,1,0,1,0.325,77,66,9
Home or Away,Away,17,13,52,50,7,14,1,0,3,6,2,1,2,16,0.28,0.308,0.48,0.788,24,2,0,0,0,0,2,0.355,129,122,10
First or Second Half,1st Half,15,10,44,42,5,11,0,0,3,5,2,1,2,13,0.262,0.296,0.476,0.772,20,1,0,0,0,0,2,0.308,124,115,8
First or Second Half,2nd Half,22,19,76,71,8,17,4,1,1,14,3,1,2,26,0.239,0.267,0.366,0.633,26,1,1,1,1,0,1,0.356,86,74,11
Months,May,4,2,10,9,1,2,0,0,0,0,1,1,1,2,0.222,0.3,0.222,0.522,2,1,0,0,0,0,2,0.286,63,55,2
Months,June,5,4,15,14,3,5,0,0,3,4,1,0,1,4,0.357,0.4,1.0,1.4,14,0,0,0,0,0,0,0.286,290,274,2
Months,July,12,8,33,32,4,7,0,1,0,3,0,0,1,11,0.219,0.242,0.281,0.524,9,0,0,0,0,0,0,0.333,56,44,6
Months,August,16,15,62,58,5,14,4,0,1,12,3,1,1,22,0.241,0.262,0.362,0.624,21,1,1,1,1,0,1,0.361,84,72,9
Game Outcome for Team,in Wins,14,11,45,44,9,13,1,1,3,10,1,1,1,13,0.296,0.311,0.568,0.879,25,0,0,0,0,0,2,0.357,152,106,8
Game Outcome for Team,in Losses,23,18,75,69,4,15,3,0,1,9,4,1,3,26,0.217,0.257,0.304,0.561,21,2,1,1,1,0,1,0.326,68,91,11
Starter or Substitute,as Starter,29,29,113,106,12,28,4,1,4,19,5,1,4,33,0.264,0.295,0.434,0.729,46,2,1,1,1,0,2,0.343,113,102,19
Starter or Substitute,as Sub,8,0,7,7,1,0,0,0,0,0,0,1,0,6,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,-100,-100,0
Defensive Positions,as LF,9,,29,27,1,6,1,0,1,6,0,1,1,11,0.222,0.25,0.37,0.62,10,0,0,1,0,0,0,0.333,81,73,4
Defensive Positions,as CF,16,,56,52,8,15,2,1,3,12,3,0,2,15,0.289,0.321,0.539,0.86,28,1,1,0,1,0,0,0.343,148,143,9
Defensive Positions,as RF,5,,16,15,2,5,0,0,0,0,1,0,1,4,0.333,0.375,0.333,0.708,5,1,0,0,0,0,1,0.455,117,99,5
