Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,65,50,185,166,20,33,7,0,8,17,1,0,17,52,0.199,0.27,0.386,0.656,64,5,0,0,2,2,2,0.232,100,83,18
Season Totals,Last 7 days,5,3,13,12,1,1,0,0,1,3,0,0,0,2,0.083,0.077,0.333,0.41,4,1,0,0,1,0,0,0.0,15,13,0
Season Totals,Last 14 days,10,6,26,24,2,3,2,0,1,3,0,0,1,8,0.125,0.154,0.333,0.487,8,2,0,0,1,0,0,0.125,43,33,0
Season Totals,Last 28 days,11,6,26,24,2,3,2,0,1,3,0,0,1,8,0.125,0.154,0.333,0.487,8,2,0,0,1,0,0,0.125,43,29,0
Season Totals,Last 365 days,93,70,268,248,29,50,14,0,11,27,1,0,18,68,0.202,0.254,0.391,0.645,97,7,0,0,2,2,3,0.228,95,,25
Platoon Splits,vs RHP,60,,171,153,19,33,7,0,8,17,1,0,16,44,0.216,0.287,0.418,0.705,64,5,0,0,2,2,2,0.243,115,97,18
Platoon Splits,vs LHP,14,,14,13,1,0,0,0,0,0,0,0,1,8,0.0,0.071,0.0,0.071,0,0,0,0,0,0,0,0.0,-74,-78,0
Platoon Splits,vs RHP as LHB,60,,171,153,,33,7,0,8,17,0,0,16,44,0.216,0.287,0.418,0.705,64,5,0,0,2,2,2,0.243,115,90,18
Platoon Splits,vs LHP as LHB,14,,14,13,,0,0,0,0,0,0,0,1,8,0.0,0.071,0.0,0.071,0,0,0,0,0,0,0,0.0,-74,-77,0
Platoon Splits,vs RH Starter,54,50,173,156,19,32,7,0,8,17,1,0,15,51,0.205,0.272,0.404,0.676,63,5,0,0,2,2,2,0.242,105,88,17
Platoon Splits,vs LH Starter,11,0,12,10,1,1,0,0,0,0,0,0,2,1,0.1,0.25,0.1,0.35,1,0,0,0,0,0,0,0.111,19,4,1
Home or Away,Home,32,25,90,81,8,14,4,0,3,7,1,0,9,25,0.173,0.256,0.333,0.589,27,1,0,0,0,2,2,0.208,81,63,7
Home or Away,Away,33,25,95,85,12,19,3,0,5,10,0,0,8,27,0.224,0.284,0.435,0.72,37,4,0,0,2,0,0,0.255,118,102,11
First or Second Half,1st Half,54,44,159,142,18,30,5,0,7,14,1,0,16,44,0.211,0.289,0.394,0.684,56,3,0,0,1,2,2,0.25,109,92,18
First or Second Half,2nd Half,11,6,26,24,2,3,2,0,1,3,0,0,1,8,0.125,0.154,0.333,0.487,8,2,0,0,1,0,0,0.125,43,30,0
Months,April/March,14,10,35,32,4,7,1,0,3,6,0,0,3,11,0.219,0.286,0.531,0.817,17,0,0,0,0,0,1,0.222,144,129,3
