Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,43,35,128,116,10,26,6,0,0,10,0,0,8,31,0.224,0.286,0.276,0.562,32,2,2,1,0,0,0,0.306,100,60,20
Season Totals,Last 7 days,6,6,21,19,2,5,1,0,0,1,0,0,1,2,0.263,0.3,0.316,0.616,6,1,0,0,0,0,0,0.294,119,79,4
Season Totals,Last 14 days,9,8,31,29,5,10,2,0,0,3,0,0,1,3,0.345,0.367,0.414,0.781,12,1,0,0,0,0,0,0.385,178,118,8
Season Totals,Last 28 days,15,12,44,41,6,13,2,0,0,4,0,0,2,5,0.317,0.349,0.366,0.715,15,1,0,0,0,0,0,0.361,155,98,11
Season Totals,Last 365 days,43,35,128,116,10,26,6,0,0,10,0,0,8,31,0.224,0.286,0.276,0.562,32,2,2,1,0,0,0,0.306,100,,20
Platoon Splits,vs RHP,39,,107,100,8,22,5,0,0,10,0,0,5,28,0.22,0.257,0.27,0.527,27,1,0,1,0,0,0,0.306,88,50,17
Platoon Splits,vs LHP,13,,21,16,2,4,1,0,0,0,0,0,3,3,0.25,0.429,0.313,0.741,5,1,2,0,0,0,0,0.308,163,114,3
Platoon Splits,vs RHP as LHB,39,,107,100,,22,5,0,0,10,0,0,5,28,0.22,0.257,0.27,0.527,27,1,0,1,0,0,0,0.306,88,45,17
Platoon Splits,vs LHP as LHB,13,,21,16,,4,1,0,0,0,0,0,3,3,0.25,0.429,0.313,0.741,5,1,2,0,0,0,0,0.308,163,126,3
Platoon Splits,vs RH Starter,35,31,109,101,8,21,4,0,0,8,0,0,7,27,0.208,0.266,0.248,0.514,25,1,1,0,0,0,0,0.284,83,47,17
Platoon Splits,vs LH Starter,8,4,19,15,2,5,2,0,0,2,0,0,1,4,0.333,0.412,0.467,0.879,7,1,1,1,0,0,0,0.455,213,147,3
Home or Away,Home,19,17,56,54,4,13,1,0,0,5,0,0,1,14,0.241,0.268,0.259,0.527,14,0,1,0,0,0,0,0.325,88,48,12
Home or Away,Away,24,18,72,62,6,13,5,0,0,5,0,0,7,17,0.21,0.3,0.29,0.59,18,2,1,1,0,0,0,0.289,110,71,8
First or Second Half,1st Half,28,23,84,75,4,13,4,0,0,6,0,0,6,26,0.173,0.253,0.227,0.48,17,1,2,1,0,0,0,0.265,71,38,9
First or Second Half,2nd Half,15,12,44,41,6,13,2,0,0,4,0,0,2,5,0.317,0.349,0.366,0.715,15,1,0,0,0,0,0,0.361,155,100,11
Months,April/March,20,18,66,59,3,12,4,0,0,6,0,0,4,20,0.203,0.277,0.271,0.548,16,1,2,1,0,0,0,0.308,95,59,8
Months,May,6,4,12,11,1,0,0,0,0,0,0,0,1,4,0.0,0.083,0.0,0.083,0,0,0,0,0,0,0,0.0,-71,-73,0
