Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,71,58,226,208,30,57,10,4,6,27,7,1,10,54,0.274,0.324,0.447,0.772,93,2,6,0,1,0,3,0.342,100,115,37
Season Totals,Last 7 days,4,3,12,12,1,3,0,0,0,1,1,0,0,2,0.25,0.25,0.25,0.5,3,1,0,0,0,0,0,0.3,33,46,3
Season Totals,Last 14 days,6,4,18,18,1,5,1,0,0,2,1,0,0,4,0.278,0.278,0.333,0.611,6,1,0,0,0,0,0,0.357,60,70,4
Season Totals,Last 28 days,12,7,31,31,2,8,1,0,1,5,2,0,0,8,0.258,0.258,0.387,0.645,12,1,0,0,0,0,0,0.318,66,75,6
Season Totals,Last 365 days,93,75,301,277,37,75,15,5,9,36,9,1,13,75,0.271,0.321,0.459,0.78,127,5,8,1,1,0,3,0.34,102,,46
Platoon Splits,vs RHP,54,,126,117,15,31,2,1,4,16,5,0,4,33,0.265,0.304,0.402,0.706,47,2,3,0,1,0,0,0.333,84,98,24
Platoon Splits,vs LHP,47,,100,91,15,26,8,3,2,11,2,1,6,21,0.286,0.35,0.506,0.856,46,0,3,0,0,0,3,0.353,121,136,13
Platoon Splits,vs RHP as RHB,54,,126,117,,31,2,1,4,16,0,0,4,33,0.265,0.304,0.402,0.706,47,2,3,0,1,0,0,0.333,84,104,24
Platoon Splits,vs LHP as RHB,47,,100,91,,26,8,3,2,11,0,0,6,21,0.286,0.35,0.506,0.856,46,0,3,0,0,0,3,0.353,121,131,13
Platoon Splits,vs RH Starter,31,20,87,83,11,18,0,2,3,10,3,0,2,29,0.217,0.244,0.374,0.618,31,2,1,0,0,0,0,0.294,59,72,13
Platoon Splits,vs LH Starter,40,38,139,125,19,39,10,2,3,17,4,1,8,25,0.312,0.374,0.496,0.87,62,0,5,0,1,0,3,0.367,126,143,24
Home or Away,Home,40,31,113,105,13,27,3,1,2,14,3,1,3,27,0.257,0.304,0.362,0.666,38,2,4,0,0,0,0,0.329,75,85,21
Home or Away,Away,31,27,113,103,17,30,7,3,4,13,4,0,7,27,0.291,0.345,0.534,0.879,55,0,2,0,1,0,3,0.356,126,147,16
First or Second Half,1st Half,57,49,185,168,26,46,8,4,5,22,4,1,9,44,0.274,0.332,0.458,0.79,77,1,6,0,1,0,2,0.342,105,122,29
First or Second Half,2nd Half,14,9,41,40,4,11,2,0,1,5,3,0,1,10,0.275,0.293,0.4,0.693,16,1,0,0,0,0,1,0.345,80,90,8
Months,April/March,7,6,18,16,2,5,1,0,1,2,0,0,1,4,0.313,0.389,0.563,0.951,9,0,1,0,0,0,0,0.364,146,170,3
Months,May,23,22,81,72,17,22,4,4,3,13,2,0,6,22,0.306,0.375,0.597,0.972,43,0,2,0,0,0,0,0.404,149,176,11
Months,June,20,17,68,64,6,14,2,0,1,5,1,0,2,14,0.219,0.265,0.297,0.562,19,0,2,0,0,0,1,0.265,48,58,11
Months,July,12,8,36,33,3,9,2,0,0,2,2,1,1,8,0.273,0.306,0.333,0.639,11,1,1,0,1,0,2,0.346,69,77,7
Months,August,9,5,23,23,2,7,1,0,1,5,2,0,0,6,0.304,0.304,0.478,0.783,11,1,0,0,0,0,0,0.375,101,113,5
Game Outcome for Team,in Wins,41,34,136,125,22,31,6,2,3,18,4,0,6,37,0.248,0.296,0.4,0.696,50,2,3,0,1,0,2,0.326,81,67,20
Game Outcome for Team,in Losses,30,24,90,83,8,26,4,2,3,9,3,1,4,17,0.313,0.367,0.518,0.885,43,0,3,0,0,0,1,0.365,129,199,17
Starter or Substitute,as Starter,58,58,215,197,30,55,10,4,6,27,7,1,10,49,0.279,0.332,0.462,0.794,91,2,6,0,1,0,3,0.343,106,121,35
Starter or Substitute,as Sub,13,0,11,11,0,2,0,0,0,0,0,0,0,5,0.182,0.182,0.182,0.364,2,0,0,0,0,0,0,0.333,-3,12,2
Defensive Positions,as 2B,12,,42,41,4,14,3,0,2,8,3,1,1,9,0.342,0.357,0.561,0.918,23,0,0,0,0,0,2,0.4,136,166,9
Defensive Positions,as 3B,10,,31,26,3,7,2,0,0,0,1,0,2,6,0.269,0.387,0.346,0.733,9,1,3,0,0,0,0,0.35,97,112,5
Defensive Positions,as SS,41,,147,135,23,35,5,4,4,19,3,0,7,34,0.259,0.308,0.444,0.753,60,1,3,0,1,0,1,0.316,94,102,22
Defensive Positions,as PH,6,,6,6,,1,0,0,0,0,0,0,0,5,0.167,0.167,0.167,0.333,1,0,0,0,0,0,0,1.0,-11,6,1
Leading Off Inning,Leadoff Inn.,39,,51,45,,14,1,0,2,2,,,4,8,0.311,0.392,0.467,0.859,21,0,2,0,0,0,0,0.343,126,147,11
Batting Order Positions,Batting 2nd,4,1,8,8,0,1,0,0,0,0,0,0,0,3,0.125,0.125,0.125,0.25,1,0,0,0,0,0,0,0.2,-34,-33,1
Batting Order Positions,Batting 3rd,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 4th,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 5th,3,3,13,11,2,3,1,0,0,1,0,0,0,2,0.273,0.308,0.364,0.671,4,0,1,0,1,0,1,0.3,77,87,2
Batting Order Positions,Batting 6th,21,19,77,73,8,21,5,2,1,6,3,1,3,17,0.288,0.325,0.452,0.777,33,0,1,0,0,0,2,0.364,101,125,13
Batting Order Positions,Batting 7th,19,18,67,60,14,19,4,2,1,6,1,0,5,12,0.317,0.388,0.5,0.888,30,2,2,0,0,0,0,0.383,132,158,12
