Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,70,54,228,198,31,43,7,0,7,17,6,0,29,81,0.217,0.32,0.359,0.679,71,1,1,0,0,0,1,0.327,100,92,29
Season Totals,Last 7 days,6,4,16,14,6,6,1,0,0,0,0,0,2,5,0.429,0.5,0.5,1.0,7,0,0,0,0,0,0,0.667,196,196,5
Season Totals,Last 14 days,7,5,19,17,6,6,1,0,0,0,0,0,2,7,0.353,0.421,0.412,0.833,7,0,0,0,0,0,0,0.6,146,139,5
Season Totals,Last 28 days,7,5,19,17,6,6,1,0,0,0,0,0,2,7,0.353,0.421,0.412,0.833,7,0,0,0,0,0,0,0.6,146,133,5
Season Totals,Last 365 days,103,84,359,300,52,64,11,0,13,32,6,0,58,127,0.213,0.343,0.38,0.723,114,5,1,0,0,0,1,0.319,113,,40
Platoon Splits,vs RHP,66,,202,174,29,38,6,0,6,16,6,0,27,68,0.218,0.327,0.356,0.683,62,1,1,0,0,0,1,0.32,101,94,26
Platoon Splits,vs LHP,20,,26,24,2,5,1,0,1,1,0,0,2,13,0.208,0.269,0.375,0.644,9,0,0,0,0,0,0,0.4,89,79,3
Platoon Splits,vs RHP as LHB,66,,202,174,,38,6,0,6,16,0,0,27,68,0.218,0.327,0.356,0.683,62,1,1,0,0,0,1,0.32,101,88,26
Platoon Splits,vs LHP as LHB,20,,26,24,,5,1,0,1,1,0,0,2,13,0.208,0.269,0.375,0.644,9,0,0,0,0,0,0,0.4,89,91,3
Platoon Splits,vs RH Starter,51,50,191,168,28,35,5,0,7,15,5,0,23,70,0.208,0.304,0.363,0.667,61,0,0,0,0,0,1,0.308,96,88,23
Platoon Splits,vs LH Starter,19,4,37,30,3,8,2,0,0,2,1,0,6,11,0.267,0.405,0.333,0.739,10,1,1,0,0,0,0,0.421,119,112,6
Home or Away,Home,35,29,118,101,16,22,2,0,6,12,4,0,16,41,0.218,0.331,0.416,0.746,42,0,1,0,0,0,0,0.296,119,107,14
Home or Away,Away,35,25,110,97,15,21,5,0,1,5,2,0,13,40,0.217,0.309,0.299,0.608,29,1,0,0,0,0,1,0.357,80,76,15
First or Second Half,1st Half,58,45,194,169,24,35,6,0,7,17,6,0,24,66,0.207,0.309,0.367,0.676,62,1,1,0,0,0,1,0.292,99,92,22
First or Second Half,2nd Half,12,9,34,29,7,8,1,0,0,0,0,0,5,15,0.276,0.382,0.31,0.693,9,0,0,0,0,0,0,0.571,106,97,7
Months,April/March,29,23,109,94,16,21,5,0,7,12,1,0,14,35,0.223,0.33,0.5,0.83,47,1,1,0,0,0,0,0.269,142,135,9
Months,May,27,21,81,72,7,13,1,0,0,5,5,0,9,30,0.181,0.272,0.194,0.466,14,0,0,0,0,0,1,0.31,39,39,12
Months,June,2,1,4,3,1,1,0,0,0,0,0,0,1,1,0.333,0.5,0.333,0.833,1,0,0,0,0,0,0,0.5,149,142,1
Months,July,5,4,15,12,1,2,0,0,0,0,0,0,3,8,0.167,0.333,0.167,0.5,2,0,0,0,0,0,0,0.5,51,45,2
Months,August,7,5,19,17,6,6,1,0,0,0,0,0,2,7,0.353,0.421,0.412,0.833,7,0,0,0,0,0,0,0.6,146,135,5
Game Outcome for Team,in Wins,38,28,125,107,23,31,5,0,6,15,4,0,17,44,0.29,0.392,0.505,0.897,54,1,1,0,0,0,1,0.439,163,116,20
Game Outcome for Team,in Losses,32,26,103,91,8,12,2,0,1,2,2,0,12,37,0.132,0.233,0.187,0.42,17,0,0,0,0,0,0,0.208,25,45,9
Starter or Substitute,as Starter,54,54,204,180,29,38,6,0,7,16,5,0,24,75,0.211,0.304,0.361,0.665,65,0,0,0,0,0,1,0.316,96,87,25
Starter or Substitute,as Sub,16,0,24,18,2,5,1,0,0,1,1,0,5,6,0.278,0.458,0.333,0.792,6,1,1,0,0,0,0,0.417,136,145,4
