Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,80,69,294,273,21,70,13,0,5,22,3,0,19,58,0.256,0.306,0.359,0.665,98,12,1,0,1,1,0,0.308,100,87,52
Season Totals,Last 7 days,6,5,19,19,2,3,2,0,0,2,0,0,0,4,0.158,0.158,0.263,0.421,5,0,0,0,0,0,0,0.2,25,19,1
Season Totals,Last 14 days,11,8,33,32,3,9,3,0,0,4,0,0,1,7,0.281,0.303,0.375,0.678,12,1,0,0,0,0,0,0.36,104,88,6
Season Totals,Last 28 days,21,16,65,63,4,20,5,0,0,6,0,0,1,16,0.318,0.339,0.397,0.735,25,3,1,0,0,0,0,0.426,121,102,15
Season Totals,Last 365 days,116,105,439,408,35,105,22,0,9,36,3,0,28,80,0.257,0.308,0.378,0.685,154,14,2,0,1,2,0,0.3,106,,74
Platoon Splits,vs RHP,73,,228,211,19,53,9,0,5,19,1,0,15,46,0.251,0.303,0.365,0.668,77,11,1,0,1,1,0,0.298,101,89,39
Platoon Splits,vs LHP,34,,66,62,2,17,4,0,0,3,2,0,4,12,0.274,0.318,0.339,0.657,21,1,0,0,0,0,0,0.34,98,85,13
Platoon Splits,vs RHP as RHB,73,,228,211,,53,9,0,5,19,0,0,15,46,0.251,0.303,0.365,0.668,77,11,1,0,1,1,0,0.298,101,94,39
Platoon Splits,vs LHP as RHB,34,,66,62,,17,4,0,0,3,0,0,4,12,0.274,0.318,0.339,0.657,21,1,0,0,0,0,0,0.34,98,81,13
Platoon Splits,vs RH Starter,61,50,221,203,17,51,8,0,4,18,1,0,16,45,0.251,0.308,0.35,0.658,71,11,1,0,1,1,0,0.303,98,86,39
Platoon Splits,vs LH Starter,19,19,73,70,4,19,5,0,1,4,2,0,3,13,0.271,0.301,0.386,0.687,27,1,0,0,0,0,0,0.321,106,92,13
Home or Away,Home,39,32,139,128,10,32,8,0,2,9,1,0,10,22,0.25,0.309,0.359,0.669,46,10,1,0,0,1,0,0.289,101,86,22
Home or Away,Away,41,37,155,145,11,38,5,0,3,13,2,0,9,36,0.262,0.303,0.359,0.662,52,2,0,0,1,0,0,0.327,99,89,30
First or Second Half,1st Half,55,49,214,197,17,47,7,0,5,16,3,0,16,38,0.239,0.294,0.35,0.645,69,9,0,0,1,1,0,0.271,94,82,35
First or Second Half,2nd Half,25,20,80,76,4,23,6,0,0,6,0,0,3,20,0.303,0.338,0.382,0.719,29,3,1,0,0,0,0,0.411,117,100,17
Months,April/March,18,17,73,67,8,16,1,0,3,9,1,0,6,17,0.239,0.301,0.388,0.69,26,2,0,0,0,0,0,0.277,106,97,12
Months,May,18,18,73,67,4,15,4,0,2,3,2,0,5,9,0.224,0.274,0.373,0.647,25,1,0,0,1,0,0,0.228,93,85,9
Months,June,7,6,27,25,2,7,2,0,0,1,0,0,2,4,0.28,0.333,0.36,0.693,9,3,0,0,0,0,0,0.333,109,95,5
Months,July,22,17,76,70,4,17,2,0,0,3,0,0,5,17,0.243,0.303,0.271,0.574,19,5,1,0,0,1,0,0.321,75,61,15
Months,August,15,11,45,44,3,15,4,0,0,6,0,0,1,11,0.341,0.356,0.432,0.787,19,1,0,0,0,0,0,0.455,137,119,11
Game Outcome for Team,in Wins,26,24,101,91,9,30,8,0,2,9,1,0,9,16,0.33,0.386,0.484,0.87,44,6,0,0,1,0,0,0.378,161,110,20
Game Outcome for Team,in Losses,54,45,193,182,12,40,5,0,3,13,2,0,10,42,0.22,0.264,0.297,0.561,54,6,1,0,0,1,0,0.27,69,91,32
Starter or Substitute,as Starter,69,69,281,263,21,69,13,0,5,21,3,0,17,52,0.262,0.306,0.369,0.675,97,12,0,0,1,1,0,0.309,103,90,51
Starter or Substitute,as Sub,11,0,13,10,0,1,0,0,0,1,0,0,2,6,0.1,0.308,0.1,0.408,1,0,1,0,0,0,0,0.25,29,31,1
Defensive Positions,as RF,1,,4,4,0,1,0,0,0,0,1,0,0,1,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,0.333,51,40,1
Defensive Positions,as DH,73,,284,264,21,69,13,0,5,21,2,0,19,54,0.261,0.31,0.367,0.677,97,12,0,0,1,1,0,0.311,104,82,51
Defensive Positions,as PH,11,,11,9,,1,0,0,0,1,0,0,1,5,0.111,0.273,0.111,0.384,1,0,1,0,0,0,0,0.25,20,25,1
Defensive Positions,as PH for DH,5,,5,4,,1,0,0,0,0,0,0,1,2,0.25,0.4,0.25,0.65,1,0,0,0,0,0,0,0.5,100,73,1
Leading Off Inning,Leadoff Inn.,52,,76,73,,18,4,0,2,2,,,3,11,0.247,0.276,0.384,0.66,28,0,0,0,0,0,0,0.267,97,88,12
Batting Order Positions,Batting 2nd,3,2,10,10,0,2,0,0,0,2,0,0,0,2,0.2,0.2,0.2,0.4,2,0,0,0,0,0,0,0.25,21,7,2
Batting Order Positions,Batting 3rd,13,13,52,51,3,10,2,0,1,3,2,0,1,9,0.196,0.212,0.294,0.506,15,0,0,0,0,0,0,0.22,51,29,7
Batting Order Positions,Batting 4th,35,30,133,118,11,29,5,0,4,10,1,0,14,24,0.246,0.323,0.39,0.713,46,10,0,0,1,0,0,0.275,114,95,20
Batting Order Positions,Batting 5th,20,19,76,72,6,23,4,0,0,4,0,0,4,15,0.319,0.355,0.375,0.73,27,1,0,0,0,1,0,0.404,121,105,19
Batting Order Positions,Batting 6th,3,3,12,12,0,3,1,0,0,1,0,0,0,4,0.25,0.25,0.333,0.583,4,0,0,0,0,0,0,0.375,75,69,2
Batting Order Positions,Batting 7th,2,2,7,7,1,3,1,0,0,2,0,0,0,2,0.429,0.429,0.571,1.0,4,1,0,0,0,0,0,0.6,199,190,2
Batting Order Positions,Batting 8th,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 9th,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0.0,0.5,0.0,0.5,0,0,1,0,0,0,0,,63,77,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,60,,110,106,,23,3,0,2,10,,,3,23,0.217,0.236,0.302,0.538,32,3,0,0,1,0,0,0.256,61,55,18
Swung or Took First Pitch of PA,Took 1st Pitch,75,,184,167,,47,10,0,3,12,,,16,35,0.281,0.348,0.395,0.743,66,9,1,0,0,1,0,0.341,124,108,34
Count/Balls-Strikes,First Pitch,37,,45,44,4,10,2,0,1,5,0,0,0,0,0.227,0.244,0.341,0.585,15,2,1,0,0,0,0,0.209,75,32,7
Count/Balls-Strikes,1-0 Count,23,,25,25,4,9,1,0,2,6,0,0,0,0,0.36,0.36,0.64,1.0,16,2,0,0,0,0,0,0.304,196,117,6
Count/Balls-Strikes,2-0 Count,7,,8,8,1,2,1,0,0,0,0,0,0,0,0.25,0.25,0.375,0.625,3,0,0,0,0,0,0,0.25,86,33,1
Count/Balls-Strikes,3-0 Count,1,,1,0,,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,27,,32,32,2,10,1,0,0,0,0,0,0,0,0.313,0.313,0.344,0.656,11,2,0,0,0,0,0,0.313,98,62,9
Count/Balls-Strikes,1-1 Count,21,,22,22,2,7,0,0,1,2,1,0,0,0,0.318,0.318,0.455,0.773,10,1,0,0,0,0,0,0.286,131,85,6
Count/Balls-Strikes,2-1 Count,9,,9,8,3,4,2,0,0,3,0,0,0,0,0.5,0.444,0.75,1.194,6,0,0,0,1,0,0,0.444,254,158,2
