Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,106,80,328,313,35,85,17,2,10,43,8,3,9,26,0.272,0.295,0.435,0.729,136,7,2,2,2,1,6,0.269,100,103,56
Season Totals,Last 7 days,6,6,25,23,3,5,1,0,3,7,0,0,2,4,0.217,0.28,0.652,0.932,15,1,0,0,0,0,0,0.125,145,164,1
Season Totals,Last 14 days,12,12,49,47,7,12,1,1,4,11,0,0,2,8,0.255,0.286,0.575,0.86,27,2,0,0,0,0,0,0.229,129,137,6
Season Totals,Last 28 days,25,25,105,100,11,30,4,1,4,17,4,1,4,9,0.3,0.333,0.48,0.813,48,3,1,0,0,1,1,0.299,124,122,21
Season Totals,Last 365 days,123,92,370,355,39,100,17,3,11,51,8,3,9,29,0.282,0.302,0.439,0.741,156,7,2,2,2,1,6,0.281,104,,69
Platoon Splits,vs RHP,77,,219,210,22,58,10,0,7,33,4,1,6,17,0.276,0.297,0.424,0.721,89,3,1,0,2,0,4,0.271,99,102,41
Platoon Splits,vs LHP,61,,109,103,13,27,7,2,3,10,4,2,3,9,0.262,0.29,0.456,0.746,47,4,1,2,0,1,2,0.264,104,106,15
Platoon Splits,vs RHP as RHB,77,,219,210,,58,10,0,7,33,0,0,6,17,0.276,0.297,0.424,0.721,89,3,1,0,2,0,4,0.271,99,107,41
Platoon Splits,vs LHP as RHB,61,,109,103,,27,7,2,3,10,0,0,3,9,0.262,0.29,0.456,0.746,47,4,1,2,0,1,2,0.264,104,100,15
Platoon Splits,vs RH Starter,79,54,230,219,24,61,12,0,7,30,5,1,7,15,0.279,0.304,0.429,0.734,94,6,2,0,2,1,2,0.271,102,104,42
Platoon Splits,vs LH Starter,27,26,98,94,11,24,5,2,3,13,3,2,2,11,0.255,0.271,0.447,0.718,42,1,0,2,0,0,4,0.263,95,98,14
Home or Away,Home,54,41,165,158,15,40,8,0,5,19,4,2,6,13,0.253,0.285,0.399,0.684,63,4,1,0,0,1,1,0.25,89,88,27
Home or Away,Away,52,39,163,155,20,45,9,2,5,24,4,1,3,13,0.29,0.304,0.471,0.775,73,3,1,2,2,0,5,0.288,112,118,29
First or Second Half,1st Half,74,49,199,190,23,51,12,1,6,23,4,2,4,15,0.268,0.284,0.437,0.721,83,4,1,2,2,0,5,0.263,97,101,32
First or Second Half,2nd Half,32,31,129,123,12,34,5,1,4,20,4,1,5,11,0.276,0.31,0.431,0.741,53,3,1,0,0,1,1,0.278,105,104,24
Months,April/March,24,14,57,53,9,14,3,0,2,6,2,0,1,6,0.264,0.286,0.434,0.72,23,2,1,1,1,0,0,0.261,97,104,9
Months,May,18,12,50,48,3,10,1,1,0,1,0,0,1,2,0.208,0.225,0.271,0.495,13,0,0,1,0,0,3,0.217,39,43,8
Months,June,20,11,45,44,5,14,5,0,1,6,1,1,1,5,0.318,0.333,0.5,0.833,22,1,0,0,0,0,0,0.342,128,129,8
Months,July,25,24,96,92,9,25,6,0,3,15,2,1,2,5,0.272,0.292,0.435,0.727,40,1,1,0,1,0,2,0.259,99,97,16
Months,August,19,19,80,76,9,22,2,1,4,15,3,1,4,8,0.29,0.325,0.5,0.825,38,3,0,0,0,1,1,0.281,126,126,15
Game Outcome for Team,in Wins,46,32,144,137,20,48,8,1,5,26,5,0,6,11,0.35,0.382,0.533,0.915,73,2,1,0,0,1,1,0.355,153,119,34
Game Outcome for Team,in Losses,60,48,184,176,15,37,9,1,5,17,3,3,3,15,0.21,0.225,0.358,0.583,63,5,1,2,2,0,5,0.203,59,96,22
Starter or Substitute,as Starter,80,80,309,296,32,81,16,2,9,41,8,3,8,25,0.274,0.293,0.432,0.726,128,6,1,2,2,1,6,0.273,99,101,54
Starter or Substitute,as Sub,26,0,19,17,3,4,1,0,1,2,0,0,1,1,0.235,0.316,0.471,0.786,8,1,1,0,0,0,0,0.2,116,137,2
Defensive Positions,as 2B,2,,10,9,3,3,2,0,0,1,0,1,0,0,0.333,0.3,0.556,0.856,5,0,0,0,1,0,1,0.3,130,147,1
Defensive Positions,as 3B,71,,248,238,21,64,13,1,6,31,4,2,6,19,0.269,0.289,0.408,0.696,97,3,1,2,1,0,5,0.271,92,96,44
