Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,125,124,503,445,63,104,24,2,19,74,2,1,41,138,0.234,0.306,0.425,0.731,189,6,9,0,8,0,2,0.287,100,104,59
Season Totals,Last 7 days,6,6,28,27,4,5,0,0,1,5,0,0,1,7,0.185,0.214,0.296,0.511,8,0,0,0,0,0,0,0.211,40,48,4
Season Totals,Last 14 days,12,12,53,50,9,13,4,0,2,11,0,0,2,11,0.26,0.302,0.46,0.762,23,0,1,0,0,0,1,0.297,107,113,7
Season Totals,Last 28 days,25,25,108,98,22,28,9,0,7,23,0,0,6,22,0.286,0.333,0.592,0.925,58,2,2,0,2,0,1,0.296,148,149,12
Season Totals,Last 365 days,160,158,648,573,80,133,34,2,23,90,2,1,55,186,0.232,0.306,0.419,0.724,240,8,10,0,10,0,3,0.294,99,,74
Platoon Splits,vs RHP,115,,351,314,38,76,21,2,14,59,2,1,23,91,0.242,0.305,0.455,0.76,143,3,8,0,6,0,2,0.288,107,112,39
Platoon Splits,vs LHP,64,,152,131,25,28,3,0,5,15,0,0,18,47,0.214,0.309,0.351,0.66,46,3,1,0,2,0,0,0.284,84,85,20
Platoon Splits,vs RHP as RHB,115,,351,314,,76,21,2,14,59,0,0,23,91,0.242,0.305,0.455,0.76,143,3,8,0,6,0,2,0.288,107,118,39
Platoon Splits,vs LHP as RHB,64,,152,131,,28,3,0,5,15,0,0,18,47,0.214,0.309,0.351,0.66,46,3,1,0,2,0,0,0.284,84,81,20
Platoon Splits,vs RH Starter,80,79,313,281,35,67,19,1,11,46,2,1,23,75,0.238,0.304,0.431,0.734,121,2,5,0,4,0,1,0.281,101,105,36
Platoon Splits,vs LH Starter,45,45,190,164,28,37,5,1,8,28,0,0,18,63,0.226,0.311,0.415,0.725,68,4,4,0,4,0,1,0.299,99,103,23
Home or Away,Home,59,58,229,204,33,54,7,2,12,38,0,1,17,61,0.265,0.332,0.495,0.827,101,2,5,0,3,0,1,0.313,125,127,33
Home or Away,Away,66,66,274,241,30,50,17,0,7,36,2,0,24,77,0.208,0.285,0.365,0.65,88,4,4,0,5,0,1,0.265,79,85,26
First or Second Half,1st Half,93,92,367,320,39,69,14,2,10,48,2,0,35,106,0.216,0.303,0.366,0.668,117,4,7,0,5,0,1,0.282,85,89,43
First or Second Half,2nd Half,32,32,136,125,24,35,10,0,9,26,0,1,6,32,0.28,0.316,0.576,0.892,72,2,2,0,3,0,1,0.299,139,141,16
Months,April/March,30,30,126,112,16,27,7,0,2,18,0,0,8,34,0.241,0.31,0.357,0.667,40,2,4,0,2,0,0,0.321,85,92,18
Months,May,26,25,96,87,5,15,3,0,2,8,2,0,6,29,0.172,0.229,0.276,0.505,24,1,1,0,2,0,1,0.224,40,46,10
Months,June,24,24,93,77,8,12,0,2,2,6,0,0,13,29,0.156,0.29,0.286,0.576,22,1,2,0,1,0,0,0.213,62,63,8
Months,July,25,25,103,90,21,30,6,0,10,27,0,1,10,26,0.333,0.398,0.733,1.131,66,0,1,0,2,0,0,0.357,203,201,14
Months,August,20,20,85,79,13,20,8,0,3,15,0,0,4,20,0.253,0.294,0.468,0.763,37,2,1,0,1,0,1,0.298,106,108,9
Game Outcome for Team,in Wins,71,70,294,254,46,69,18,2,13,51,1,1,28,70,0.272,0.354,0.512,0.866,130,1,7,0,5,0,1,0.318,136,107,36
Game Outcome for Team,in Losses,54,54,209,191,17,35,6,0,6,23,1,0,13,68,0.183,0.239,0.309,0.548,59,5,2,0,3,0,1,0.242,51,86,23
Starter or Substitute,as Starter,124,124,503,445,63,104,24,2,19,74,2,1,41,138,0.234,0.306,0.425,0.731,189,6,9,0,8,0,2,0.287,100,104,59
Starter or Substitute,as Sub,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Defensive Positions,as 3B,121,,493,437,62,104,24,2,19,74,2,1,39,134,0.238,0.308,0.433,0.741,189,5,9,0,8,0,2,0.291,102,108,59
Defensive Positions,as DH,3,,10,8,1,0,0,0,0,0,0,0,2,4,0.0,0.2,0.0,0.2,0,1,0,0,0,0,0,0.0,-35,-38,0
Leading Off Inning,Leadoff Inn.,80,,117,107,,24,4,0,6,7,,,8,31,0.224,0.291,0.43,0.721,46,0,2,0,0,0,0,0.257,96,104,14
Batting Order Positions,Batting 4th,2,2,10,10,5,6,0,0,3,5,0,0,0,1,0.6,0.6,1.5,2.1,15,0,0,0,0,0,0,0.5,449,444,3
Batting Order Positions,Batting 5th,21,21,91,81,11,13,2,0,2,10,0,0,6,32,0.161,0.242,0.259,0.501,21,2,3,0,1,0,0,0.229,40,41,9
Batting Order Positions,Batting 6th,47,47,186,164,17,35,11,0,6,23,1,0,14,53,0.213,0.28,0.39,0.67,64,3,3,0,5,0,1,0.264,83,94,18
Batting Order Positions,Batting 7th,55,54,216,190,30,50,11,2,8,36,1,1,21,52,0.263,0.343,0.468,0.811,89,1,3,0,2,0,1,0.318,122,135,29
Swung or Took First Pitch of PA,Swung at 1st Pitch,100,,159,152,,43,15,1,4,31,,,4,40,0.283,0.302,0.474,0.776,72,2,1,0,2,0,0,0.355,110,119,23
Swung or Took First Pitch of PA,Took 1st Pitch,121,,344,293,,61,9,1,15,43,,,37,98,0.208,0.308,0.399,0.707,117,4,8,0,6,0,2,0.247,95,97,36
Count/Balls-Strikes,First Pitch,50,,54,51,14,20,7,1,3,17,0,1,0,0,0.392,0.426,0.745,1.171,38,1,3,0,0,0,0,0.354,215,158,9
Count/Balls-Strikes,1-0 Count,17,,21,18,8,6,1,1,4,11,1,0,0,0,0.333,0.429,1.167,1.595,21,3,3,0,0,0,0,0.143,315,229,0
Count/Balls-Strikes,2-0 Count,9,,10,9,4,2,0,0,1,4,0,0,0,0,0.222,0.2,0.556,0.756,5,0,0,0,1,0,0,0.111,96,48,1
Count/Balls-Strikes,3-0 Count,7,,7,1,1,1,0,0,1,1,0,0,6,0,1.0,1.0,4.0,5.0,4,0,0,0,0,0,0,,1168,449,0
Count/Balls-Strikes,0-1 Count,29,,34,33,4,9,1,0,0,3,0,0,0,0,0.273,0.294,0.303,0.597,10,1,1,0,0,0,0,0.273,67,48,8
Count/Balls-Strikes,1-1 Count,40,,44,42,7,20,6,0,4,9,0,0,0,0,0.476,0.477,0.905,1.382,38,0,1,0,1,0,0,0.41,269,219,10
Count/Balls-Strikes,2-1 Count,29,,31,29,6,6,1,0,2,5,0,0,0,0,0.207,0.226,0.448,0.674,13,0,1,0,1,0,0,0.143,79,43,3
Count/Balls-Strikes,3-1 Count,13,,16,5,2,3,0,0,0,2,0,0,11,0,0.6,0.875,0.6,1.475,3,0,0,0,0,0,1,0.6,327,120,3
Count/Balls-Strikes,0-2 Count,47,,55,53,2,8,4,0,0,6,1,0,0,29,0.151,0.146,0.226,0.372,12,0,0,0,2,0,0,0.308,1,93,4
Count/Balls-Strikes,1-2 Count,58,,78,76,4,10,1,0,1,6,0,0,0,47,0.132,0.128,0.184,0.312,14,1,0,0,2,0,1,0.3,-15,50,8
Count/Balls-Strikes,2-2 Count,59,,75,75,6,10,1,0,1,4,0,0,0,37,0.133,0.133,0.187,0.32,14,0,0,0,0,0,0,0.243,-13,44,8
