Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,125,124,554,522,67,141,35,2,19,55,4,4,18,161,0.27,0.296,0.454,0.75,237,13,3,5,5,0,3,0.352,100,108,85
Season Totals,Last 7 days,5,5,21,19,2,4,2,0,0,0,0,0,2,9,0.211,0.286,0.316,0.602,6,1,0,0,0,0,0,0.4,66,77,2
Season Totals,Last 14 days,11,11,48,45,6,8,4,0,0,2,0,0,3,17,0.178,0.229,0.267,0.496,12,2,0,0,0,0,0,0.286,36,41,4
Season Totals,Last 28 days,24,24,105,99,14,21,7,0,2,5,0,1,4,34,0.212,0.24,0.343,0.584,34,3,0,1,1,0,0,0.297,57,59,12
Season Totals,Last 365 days,159,157,695,658,83,172,44,3,20,71,8,4,22,199,0.261,0.286,0.429,0.715,282,16,3,6,5,0,5,0.342,91,,105
Platoon Splits,vs RHP,120,,375,357,47,100,24,2,12,36,3,2,8,104,0.28,0.297,0.459,0.757,164,8,2,5,3,0,3,0.361,101,110,62
Platoon Splits,vs LHP,85,,179,165,20,41,11,0,7,19,1,2,10,57,0.249,0.292,0.442,0.735,73,5,1,0,2,0,0,0.33,96,103,23
Platoon Splits,vs RHP as RHB,120,,375,357,,100,24,2,12,36,0,0,8,104,0.28,0.297,0.459,0.757,164,8,2,5,3,0,3,0.361,101,116,62
Platoon Splits,vs LHP as RHB,85,,179,165,,41,11,0,7,19,0,0,10,57,0.249,0.292,0.442,0.735,73,5,1,0,2,0,0,0.33,96,98,23
Platoon Splits,vs RH Starter,84,83,367,350,46,91,21,2,14,35,3,3,7,106,0.26,0.276,0.451,0.728,158,9,2,4,3,0,2,0.331,93,101,54
Platoon Splits,vs LH Starter,41,41,187,172,21,50,14,0,5,20,1,1,11,55,0.291,0.333,0.459,0.793,79,4,1,1,2,0,1,0.395,114,121,31
Home or Away,Home,59,58,265,250,34,69,13,2,7,24,1,2,10,82,0.276,0.304,0.428,0.732,107,5,0,4,0,0,2,0.385,97,101,47
Home or Away,Away,66,66,289,272,33,72,22,0,12,31,3,2,8,79,0.265,0.288,0.478,0.766,130,8,3,1,5,0,1,0.323,103,115,38
First or Second Half,1st Half,95,94,419,394,46,108,28,2,14,42,4,3,14,119,0.274,0.302,0.462,0.764,182,8,3,4,3,0,3,0.356,104,113,64
First or Second Half,2nd Half,30,30,135,128,21,33,7,0,5,13,0,1,4,42,0.258,0.276,0.43,0.706,55,5,0,1,2,0,0,0.337,88,93,21
Months,April/March,29,29,125,114,13,32,7,0,3,12,2,0,7,39,0.281,0.331,0.421,0.752,48,2,2,1,1,0,1,0.397,105,115,22
Months,May,26,26,122,117,17,36,10,1,5,12,2,1,3,35,0.308,0.325,0.539,0.864,63,1,0,2,0,0,0,0.403,128,145,20
Months,June,27,26,114,110,12,29,7,1,4,13,0,1,3,25,0.264,0.281,0.455,0.735,50,3,0,0,1,0,1,0.305,95,102,17
Months,July,24,24,109,101,16,31,7,0,6,15,0,2,2,33,0.307,0.318,0.555,0.872,56,4,1,1,3,0,1,0.385,130,133,18
Months,August,19,19,84,80,9,13,4,0,1,3,0,0,3,29,0.163,0.193,0.25,0.443,20,3,0,1,0,0,0,0.24,20,23,8
Game Outcome for Team,in Wins,46,46,218,206,36,68,10,1,14,37,2,2,7,60,0.33,0.351,0.592,0.943,122,6,0,3,1,0,2,0.406,149,123,43
Game Outcome for Team,in Losses,79,78,336,316,31,73,25,1,5,18,2,2,11,101,0.231,0.261,0.364,0.624,115,7,3,2,4,0,1,0.318,68,111,42
Starter or Substitute,as Starter,124,124,553,521,67,141,35,2,19,55,4,4,18,160,0.271,0.296,0.455,0.751,237,13,3,5,5,0,3,0.352,100,108,85
Starter or Substitute,as Sub,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Defensive Positions,as SS,125,,554,522,67,141,35,2,19,55,4,4,18,161,0.27,0.296,0.454,0.75,237,13,3,5,5,0,3,0.352,100,101,85
Leading Off Inning,1st Batter G,37,,37,36,,7,2,0,1,1,,,1,14,0.194,0.216,0.333,0.55,12,0,0,0,0,0,1,0.286,46,51,4
Leading Off Inning,Leadoff Inn.,83,,130,125,,30,8,1,4,4,,,5,38,0.24,0.269,0.416,0.685,52,0,0,0,0,0,1,0.313,83,94,17
Batting Order Positions,Batting 1st,37,37,172,160,20,43,12,0,2,13,2,2,6,51,0.269,0.298,0.381,0.68,61,3,2,1,3,0,1,0.373,85,85,29
Batting Order Positions,Batting 2nd,72,72,320,304,38,80,20,1,12,27,1,2,9,96,0.263,0.286,0.454,0.74,138,9,1,4,1,0,1,0.345,97,93,47
Batting Order Positions,Batting 3rd,8,8,35,34,5,11,2,1,3,11,0,0,0,7,0.324,0.314,0.706,1.02,24,1,0,0,1,0,1,0.32,162,152,5
Batting Order Positions,Batting 7th,7,7,26,23,4,7,1,0,2,4,1,0,3,6,0.304,0.385,0.609,0.993,14,0,0,0,0,0,0,0.333,164,185,4
Batting Order Positions,Batting 9th,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,118,,277,266,,81,20,2,12,34,,,4,79,0.305,0.314,0.53,0.844,141,9,1,3,3,0,1,0.388,123,136,47
Swung or Took First Pitch of PA,Took 1st Pitch,123,,277,256,,60,15,0,7,21,,,14,82,0.234,0.277,0.375,0.652,96,4,2,2,2,0,2,0.314,76,81,38
Count/Balls-Strikes,First Pitch,62,,81,77,17,34,10,0,6,11,1,0,0,0,0.442,0.443,0.805,1.248,62,3,1,2,1,0,0,0.389,227,173,18
Count/Balls-Strikes,1-0 Count,35,,36,35,4,9,2,0,1,5,1,0,0,0,0.257,0.25,0.4,0.65,14,2,0,0,1,0,0,0.229,73,43,6
Count/Balls-Strikes,2-0 Count,5,,5,5,3,1,0,0,1,1,0,0,0,0,0.2,0.2,0.8,1.0,4,0,0,0,0,0,0,0.0,144,87,0
Count/Balls-Strikes,3-0 Count,1,,1,0,,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,45,,58,53,8,15,3,2,1,7,0,0,0,0,0.283,0.291,0.472,0.763,25,4,1,3,1,0,0,0.264,102,80,9
Count/Balls-Strikes,1-1 Count,42,,46,46,5,22,9,0,1,4,0,3,0,0,0.478,0.478,0.739,1.217,34,1,0,0,0,0,0,0.467,224,188,12
Count/Balls-Strikes,2-1 Count,15,,15,14,6,7,2,0,3,7,0,0,0,0,0.5,0.467,1.286,1.752,18,0,0,0,1,0,0,0.333,341,256,2
Count/Balls-Strikes,3-1 Count,11,,11,6,4,3,2,0,1,4,0,0,5,0,0.5,0.727,1.333,2.061,8,0,0,0,0,0,0,0.4,439,213,0
Count/Balls-Strikes,0-2 Count,61,,80,80,5,14,1,0,2,6,0,0,0,53,0.175,0.175,0.263,0.438,21,2,0,0,0,0,0,0.48,17,128,11
Count/Balls-Strikes,1-2 Count,79,,106,104,6,21,3,0,2,7,1,0,0,58,0.202,0.208,0.289,0.496,30,1,1,0,1,0,2,0.422,34,140,16
Count/Balls-Strikes,2-2 Count,53,,66,65,4,11,2,0,1,2,1,1,0,32,0.169,0.169,0.246,0.415,16,0,0,0,0,0,1,0.313,11,86,8
Count/Balls-Strikes,Full Count,37,,49,37,5,4,1,0,0,1,0,0,12,18,0.108,0.327,0.135,0.462,5,0,0,0,0,0,0,0.211,40,13,3
Count/Balls-Strikes,After 1-0,105,,179,163,,44,11,0,6,18,,,14,43,0.27,0.324,0.448,0.772,73,3,0,0,2,0,2,0.328,108,91,27
Count/Balls-Strikes,After 2-0,34,,39,27,,6,2,0,1,2,,,11,6,0.222,0.436,0.407,0.843,11,0,0,0,1,0,0,0.238,137,76,3
Count/Balls-Strikes,After 3-0,13,,13,6,,1,0,0,0,0,,,7,2,0.167,0.615,0.167,0.782,1,0,0,0,0,0,0,0.25,145,16,1
