Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,126,125,575,514,84,136,32,1,24,72,25,4,47,105,0.265,0.337,0.471,0.808,242,6,11,0,3,0,3,0.289,100,125,79
Season Totals,Last 7 days,7,7,32,29,7,9,2,1,2,5,1,0,3,8,0.31,0.375,0.655,1.03,19,0,0,0,0,0,0,0.368,150,191,4
Season Totals,Last 14 days,13,13,59,55,10,20,5,1,2,8,2,1,4,14,0.364,0.407,0.6,1.007,33,0,0,0,0,0,0,0.462,148,177,12
Season Totals,Last 28 days,26,26,119,111,18,33,5,1,5,17,5,1,7,29,0.297,0.345,0.496,0.84,55,1,1,0,0,0,0,0.364,108,128,22
Season Totals,Last 365 days,163,162,733,652,113,172,37,1,33,95,35,6,62,131,0.264,0.338,0.476,0.814,310,7,14,0,5,1,5,0.282,101,,101
Platoon Splits,vs RHP,119,,429,380,59,102,21,1,16,52,17,4,38,84,0.268,0.345,0.455,0.8,173,4,8,0,3,0,2,0.304,99,125,64
Platoon Splits,vs LHP,62,,146,134,25,34,11,0,8,20,8,0,9,21,0.254,0.315,0.515,0.83,69,2,3,0,0,0,1,0.248,103,128,15
Platoon Splits,vs RHP as RHB,2,,2,2,,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,0.5,155,194,1
Platoon Splits,vs RHP as LHB,119,,427,378,,101,21,1,16,52,0,0,38,84,0.267,0.344,0.455,0.799,172,4,8,0,3,0,2,0.303,99,117,63
Platoon Splits,vs LHP as RHB,62,,146,134,,34,11,0,8,20,0,0,9,21,0.254,0.315,0.515,0.83,69,2,3,0,0,0,1,0.248,103,122,15
Platoon Splits,vs RH Starter,91,90,414,366,58,96,21,1,18,59,18,4,37,79,0.262,0.341,0.473,0.813,173,3,8,0,3,0,3,0.287,102,128,56
