Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,118,118,515,434,69,126,30,2,17,72,6,2,65,79,0.29,0.39,0.486,0.877,211,10,10,0,6,8,2,0.317,100,146,77
Season Totals,Last 7 days,6,6,25,23,2,8,1,0,0,1,0,0,2,6,0.348,0.4,0.391,0.791,9,0,0,0,0,1,0,0.471,83,131,7
Season Totals,Last 14 days,12,12,51,47,6,15,3,0,1,5,1,0,4,8,0.319,0.373,0.447,0.819,21,0,0,0,0,1,0,0.368,88,128,11
Season Totals,Last 28 days,16,16,68,62,6,19,5,0,1,6,1,0,5,12,0.307,0.368,0.436,0.803,27,0,1,0,0,1,0,0.367,84,121,13
Season Totals,Last 365 days,156,156,685,584,98,175,44,2,23,91,13,2,80,106,0.3,0.394,0.5,0.894,292,16,15,0,6,11,2,0.33,104,,106
Platoon Splits,vs RHP,108,,344,288,54,90,22,1,12,52,3,2,49,55,0.313,0.416,0.521,0.937,150,4,4,0,3,7,2,0.348,114,164,55
Platoon Splits,vs LHP,81,,171,146,15,36,8,1,5,20,3,0,16,24,0.247,0.339,0.418,0.757,61,6,6,0,3,1,0,0.258,73,111,22
Platoon Splits,vs RHP as LHB,108,,344,288,,90,22,1,12,52,0,0,49,55,0.313,0.416,0.521,0.937,150,4,4,0,3,7,2,0.348,114,155,55
Platoon Splits,vs LHP as LHB,81,,171,146,,36,8,1,5,20,0,0,16,24,0.247,0.339,0.418,0.757,61,6,6,0,3,1,0,0.258,73,125,22
Platoon Splits,vs RH Starter,79,79,344,289,51,91,16,2,12,51,4,2,44,58,0.315,0.413,0.509,0.922,147,5,7,0,4,5,2,0.354,111,160,61
Platoon Splits,vs LH Starter,39,39,171,145,18,35,14,0,5,21,2,0,21,21,0.241,0.345,0.441,0.786,64,5,3,0,2,3,0,0.248,79,120,16
Home or Away,Home,62,62,262,223,40,67,16,2,10,41,4,1,30,39,0.3,0.397,0.525,0.922,117,4,7,0,2,4,0,0.324,110,155,39
Home or Away,Away,56,56,253,211,29,59,14,0,7,31,2,1,35,40,0.28,0.383,0.446,0.829,94,6,3,0,4,4,2,0.31,90,137,38
