Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,25,574.0,508,64.0,115,16,1,22,15,4,51,162,3.18,0.226,0.305,0.392,0.697,199.0,6.0,8.0,4,3,0,2,0.284,100,95,76
Season Totals,Last 7 days,1,22.0,20,1.0,4,0,0,1,3,1,2,3,1.5,0.2,0.273,0.35,0.623,7.0,0.0,0.0,0,0,0,0,0.188,79,79,3
Season Totals,Last 14 days,2,47.0,42,5.0,9,0,0,3,3,1,4,7,1.75,0.214,0.283,0.429,0.711,18.0,0.0,0.0,1,0,0,0,0.188,102,96,6
Season Totals,Last 28 days,5,120.0,104,16.0,26,4,0,8,4,1,13,24,1.85,0.25,0.331,0.519,0.85,54.0,4.0,0.0,2,1,0,2,0.247,141,130,14
Season Totals,Last 365 days,31,697.0,627,76.0,138,18,1,29,16,4,55,204,3.71,0.22,0.29,0.391,0.681,245.0,7.0,8.0,4,3,0,3,0.275,95,,90
Platoon Splits,vs RHB,25,283.0,249,39.0,60,7,0,13,8,2,23,81,3.52,0.241,0.32,0.426,0.746,106.0,4.0,7.0,2,2,0,2,0.299,114,111,40
Platoon Splits,vs LHB,25,291.0,259,24.0,55,9,1,9,7,2,28,81,2.89,0.212,0.291,0.359,0.65,93.0,2.0,1.0,2,1,0,0,0.271,87,80,36
Platoon Splits,vs RHB as RHP,25,283.0,249,39.0,60,7,0,13,8,2,23,81,3.52,0.241,0.32,0.426,0.746,106.0,4.0,7.0,2,2,0,2,0.299,114,115,40
Platoon Splits,vs LHB as RHP,25,291.0,259,24.0,55,9,1,9,7,2,28,81,2.89,0.212,0.291,0.359,0.65,93.0,2.0,1.0,2,1,0,0,0.271,87,77,36
Home or Away,Home,13,305.0,274,37.0,64,9,1,14,10,2,21,84,4.0,0.234,0.3,0.427,0.727,117.0,4.0,6.0,2,2,0,2,0.281,107,106,40
Home or Away,Away,12,269.0,234,27.0,51,7,0,8,5,2,30,78,2.6,0.218,0.311,0.35,0.661,82.0,2.0,2.0,2,1,0,0,0.289,91,84,36
First or Second Half,1st Half,19,432.0,384,48.0,87,12,1,14,11,3,36,130,3.61,0.227,0.305,0.372,0.677,143.0,2.0,8.0,2,2,0,0,0.302,95,92,60
First or Second Half,2nd Half,6,142.0,124,16.0,28,4,0,8,4,1,15,32,2.13,0.226,0.307,0.452,0.759,56.0,4.0,0.0,2,1,0,2,0.235,116,107,16
Months,April/March,6,132.0,117,12.0,20,3,0,4,2,1,9,45,5.0,0.171,0.252,0.299,0.551,35.0,0.0,4.0,1,1,0,0,0.232,59,58,13
Months,May,5,120.0,107,13.0,26,4,0,4,2,2,11,37,3.36,0.243,0.319,0.393,0.712,42.0,0.0,1.0,1,0,0,0,0.333,105,105,18
Months,June,6,136.0,120,16.0,27,2,1,4,4,0,13,38,2.92,0.225,0.309,0.358,0.667,43.0,1.0,2.0,0,1,0,0,0.291,93,87,20
Months,July,5,116.0,102,14.0,25,4,0,6,4,0,12,29,2.42,0.245,0.33,0.461,0.791,47.0,3.0,1.0,1,0,0,2,0.284,126,115,15
Months,August,3,70.0,62,9.0,17,3,0,4,3,1,6,13,2.17,0.274,0.333,0.516,0.849,32.0,2.0,0.0,1,1,0,0,0.283,141,132,10
Game Outcome for Pitcher,in Wins,8,173.0,159,13.0,28,4,0,7,5,2,10,58,5.8,0.176,0.231,0.333,0.565,53.0,2.0,2.0,0,2,0,0,0.219,61,113,17
Game Outcome for Pitcher,in Losses,7,174.0,152,28.0,46,8,1,10,5,2,16,38,2.38,0.303,0.38,0.566,0.946,86.0,3.0,3.0,3,0,0,1,0.346,169,94,27
Game Outcome for Pitcher,in No Dec.,10,227.0,197,23.0,41,4,0,5,5,0,25,66,2.64,0.208,0.305,0.305,0.61,60.0,1.0,3.0,1,1,0,1,0.284,78,77,32
Pitching Role,as Starter,25,574.0,508,64.0,115,16,1,22,15,4,51,162,3.18,0.226,0.305,0.392,0.697,199.0,6.0,8.0,4,3,0,2,0.284,100,93,76
Run Support,0-2 Runs Scored,9,215.0,189,20.0,42,5,0,9,8,3,22,51,2.32,0.222,0.307,0.392,0.698,74.0,3.0,1.0,3,0,0,2,0.256,101,88,28
Run Support,3-5 Runs Scored,7,159.0,142,23.0,38,5,1,7,4,0,14,46,3.29,0.268,0.346,0.465,0.811,66.0,1.0,3.0,0,0,0,0,0.348,132,128,25
Run Support,6+ Runs Scored,9,200.0,177,21.0,35,6,0,6,3,1,15,65,4.33,0.198,0.271,0.333,0.605,59.0,2.0,4.0,1,3,0,0,0.266,74,70,23
Batting Order Positions,Batting 1st,25,75.0,67,9.0,12,2,0,4,1,0,7,20,2.86,0.179,0.267,0.388,0.655,26.0,1.0,1.0,0,0,0,0,0.186,87,77,6
Batting Order Positions,Batting 2nd,25,72.0,66,15.0,15,2,1,5,2,0,5,18,3.6,0.227,0.292,0.515,0.807,34.0,1.0,1.0,0,0,0,1,0.233,127,107,7
Batting Order Positions,Batting 3rd,25,71.0,62,9.0,15,3,0,2,3,0,9,18,2.0,0.242,0.338,0.387,0.725,24.0,2.0,0.0,0,0,0,1,0.31,110,87,10
Batting Order Positions,Batting 4th,25,69.0,58,11.0,14,1,0,4,2,1,10,17,1.7,0.241,0.348,0.466,0.813,27.0,0.0,0.0,0,1,0,0,0.263,133,121,9
Batting Order Positions,Batting 5th,25,66.0,59,8.0,15,4,0,4,1,0,4,22,5.5,0.254,0.303,0.525,0.828,31.0,0.0,1.0,0,2,0,0,0.314,133,125,7
Batting Order Positions,Batting 6th,25,59.0,49,2.0,7,0,0,0,2,0,8,16,2.0,0.143,0.288,0.143,0.431,7.0,0.0,2.0,0,0,0,0,0.212,31,32,7
Batting Order Positions,Batting 7th,25,56.0,52,4.0,11,1,0,2,3,1,4,20,5.0,0.212,0.268,0.346,0.614,18.0,2.0,0.0,0,0,0,0,0.3,76,78,8
Batting Order Positions,Batting 8th,25,53.0,47,3.0,11,3,0,0,0,0,3,18,6.0,0.234,0.294,0.298,0.592,14.0,0.0,1.0,2,0,0,0,0.379,72,82,8
Batting Order Positions,Batting 9th,25,53.0,48,2.0,15,0,0,1,1,2,1,13,13.0,0.313,0.353,0.375,0.728,18.0,0.0,2.0,2,0,0,0,0.412,111,135,14
Batting Order Positions,"Bat1-2,non-P",25,147.0,133,24.0,27,4,1,9,3,0,12,38,3.17,0.203,0.279,0.451,0.73,60.0,2.0,2.0,0,0,0,1,0.209,107,92,13
Batting Order Positions,"Bat3-6,non-P",25,265.0,228,30.0,51,8,0,10,8,1,31,73,2.35,0.224,0.321,0.39,0.711,89.0,2.0,3.0,0,3,0,1,0.277,105,95,33
Batting Order Positions,"Bat7-9,non-P",25,162.0,147,9.0,37,4,0,3,4,3,8,51,6.38,0.252,0.304,0.34,0.644,50.0,2.0,3.0,4,0,0,0,0.366,86,97,30
Swung or Took First Pitch of PA,Swung at 1st Pitch,25,188.0,168,23.0,48,4,1,8,,,14,50,3.57,0.286,0.337,0.464,0.801,78.0,1.0,0.0,4,2,0,1,0.357,129,129,35
Swung or Took First Pitch of PA,Took 1st Pitch,25,386.0,340,39.0,67,12,0,14,,,37,112,3.03,0.197,0.29,0.356,0.646,121.0,5.0,8.0,0,1,0,1,0.247,86,80,41
Count/Balls-Strikes,First Pitch,25,71.0,66,13.0,26,2,1,5,,,0,0,,0.394,0.403,0.682,1.085,45.0,0.0,1.0,4,0,0,1,0.344,206,140,18
Count/Balls-Strikes,1-0 Count,16,29.0,27,5.0,8,3,0,1,,,0,0,,0.296,0.345,0.519,0.863,14.0,1.0,2.0,0,0,0,0,0.269,146,92,4
Count/Balls-Strikes,2-0 Count,9,13.0,13,4.0,3,0,0,2,,,0,0,,0.231,0.231,0.692,0.923,9.0,0.0,0.0,0,0,0,0,0.091,152,79,1
Count/Balls-Strikes,3-0 Count,9,9.0,3,3.0,2,0,0,1,,,5,0,0.0,0.667,0.889,1.667,2.556,5.0,0.0,1.0,0,0,0,0,0.5,617,178,1
Count/Balls-Strikes,0-1 Count,20,37.0,36,3.0,13,2,0,1,,,0,0,,0.361,0.378,0.5,0.878,18.0,0.0,1.0,0,0,0,0,0.343,152,112,10
Count/Balls-Strikes,1-1 Count,17,30.0,30,3.0,11,4,0,1,,,0,0,,0.367,0.367,0.6,0.967,18.0,1.0,0.0,0,0,0,0,0.345,173,126,6
Count/Balls-Strikes,2-1 Count,20,38.0,38,8.0,11,1,0,3,,,0,0,,0.29,0.29,0.553,0.842,21.0,0.0,0.0,0,0,0,0,0.229,136,79,7
Count/Balls-Strikes,3-1 Count,19,27.0,14,4.0,4,0,0,3,,,13,0,0.0,0.286,0.63,0.929,1.558,13.0,0.0,0.0,0,0,0,0,0.091,344,136,1
Count/Balls-Strikes,0-2 Count,21,36.0,36,1.0,7,1,0,1,,,0,19,,0.194,0.194,0.306,0.5,11.0,1.0,0.0,0,0,0,0,0.375,42,159,5
Count/Balls-Strikes,1-2 Count,24,80.0,78,6.0,6,1,0,1,,,0,48,,0.077,0.088,0.128,0.216,10.0,0.0,1.0,0,1,0,0,0.167,-39,4,4
Count/Balls-Strikes,2-2 Count,24,96.0,93,6.0,13,1,0,1,,,0,52,,0.14,0.156,0.183,0.339,17.0,1.0,2.0,0,1,0,1,0.293,-2,55,11
Count/Balls-Strikes,Full Count,25,108.0,74,6.0,11,1,0,2,,,33,43,1.3,0.149,0.407,0.243,0.651,18.0,2.0,0.0,0,1,0,0,0.3,95,63,8
Count/Balls-Strikes,After 1-0,25,220.0,186,22.0,34,6,0,6,,,29,58,2.0,0.183,0.309,0.312,0.621,58.0,4.0,5.0,0,0,0,1,0.23,81,56,22
Count/Balls-Strikes,After 2-0,24,77.0,56,9.0,13,0,0,4,,,19,15,0.79,0.232,0.442,0.446,0.888,25.0,1.0,2.0,0,0,0,0,0.243,159,85,9
Count/Balls-Strikes,After 3-0,15,21.0,12,4.0,3,0,0,2,,,8,2,0.25,0.25,0.571,0.75,1.321,9.0,1.0,1.0,0,0,0,0,0.125,279,125,1
Count/Balls-Strikes,After 0-1,25,282.0,256,27.0,55,8,0,11,,,21,104,4.95,0.215,0.277,0.375,0.652,96.0,2.0,2.0,0,3,0,0,0.306,87,115,36
Count/Balls-Strikes,After 1-1,25,233.0,204,25.0,40,6,0,8,,,25,79,3.16,0.196,0.288,0.343,0.631,70.0,2.0,2.0,0,2,0,1,0.269,82,90,26
Count/Balls-Strikes,After 2-1,25,144.0,115,14.0,24,1,0,6,,,26,39,1.5,0.209,0.361,0.374,0.735,43.0,1.0,2.0,0,1,0,1,0.254,114,87,17
Count/Balls-Strikes,After 3-1,23,48.0,29,4.0,7,0,0,3,,,19,8,0.42,0.241,0.542,0.552,1.093,16.0,1.0,0.0,0,0,0,0,0.222,219,118,4
Count/Balls-Strikes,After 0-2,25,126.0,119,7.0,15,3,0,3,,,6,68,11.33,0.126,0.167,0.227,0.394,27.0,2.0,0.0,0,1,0,0,0.245,13,73,9
Count/Balls-Strikes,After 1-2,25,192.0,173,15.0,20,3,0,3,,,16,102,6.38,0.116,0.193,0.185,0.378,32.0,1.0,1.0,0,2,0,0,0.243,11,53,14
Count/Balls-Strikes,After 2-2,25,182.0,152,12.0,21,2,0,3,,,26,87,3.35,0.138,0.269,0.211,0.48,32.0,2.0,2.0,0,2,0,1,0.281,42,65,16
Count/Balls-Strikes,Zero Balls,25,144.0,138,18.0,46,5,1,7,,,0,19,,0.333,0.343,0.536,0.879,74.0,1.0,2.0,4,0,0,1,0.348,149,144,33
Count/Balls-Strikes,Zero Strikes,25,122.0,109,26.0,39,5,1,9,,,5,0,0.0,0.358,0.407,0.67,1.077,73.0,1.0,4.0,4,0,0,1,0.3,204,122,24
Count/Balls-Strikes,Three Balls,25,144.0,91,13.0,17,1,0,6,,,51,43,0.84,0.187,0.479,0.396,0.875,36.0,2.0,1.0,0,1,0,0,0.256,158,89,10
Count/Balls-Strikes,Two Strikes,25,320.0,281,19.0,37,4,0,5,,,33,162,4.91,0.132,0.228,0.199,0.427,56.0,4.0,3.0,0,3,0,1,0.274,26,68,28
Count/Balls-Strikes,Batter Ahead,25,224.0,169,30.0,39,5,0,12,,,51,43,0.84,0.231,0.415,0.473,0.889,80.0,3.0,3.0,0,1,0,0,0.235,157,85,22
Count/Balls-Strikes,Even Count,25,197.0,189,22.0,50,7,1,7,,,0,52,,0.265,0.275,0.423,0.698,80.0,2.0,3.0,4,1,0,2,0.328,98,101,35
Count/Balls-Strikes,Pitcher Ahead,25,153.0,150,10.0,26,4,0,3,,,0,67,,0.173,0.183,0.26,0.443,39.0,1.0,2.0,0,1,0,0,0.284,26,71,19
Leading Off Inning,First Batter,25,25.0,22,2.0,4,1,0,2,,,3,7,2.33,0.182,0.28,0.5,0.78,11.0,0.0,0.0,0,0,0,0,0.154,119,120,1
Leading Off Inning,Leadoff Inn.,25,141.0,130,5.0,25,4,0,5,,,10,43,4.3,0.192,0.255,0.339,0.594,44.0,0.0,1.0,0,0,0,1,0.244,70,69,16
Opposition Defensive Position,vs. Non-P,25,574.0,508,63.0,115,16,1,22,15,4,51,162,3.18,0.226,0.305,0.392,0.697,199.0,6.0,8.0,4,3,0,2,0.284,100,95,76
Number of Outs in Inning,0 outs,25,192.0,176,15.0,37,5,1,8,0,1,11,57,5.18,0.21,0.265,0.386,0.651,68.0,3.0,2.0,3,0,0,1,0.261,85,79,23
Number of Outs in Inning,1 out,25,192.0,167,25.0,39,5,0,7,5,2,17,52,3.06,0.234,0.314,0.389,0.703,65.0,3.0,4.0,1,3,0,0,0.288,102,96,27
Number of Outs in Inning,2 outs,25,190.0,165,23.0,39,6,0,7,10,1,23,53,2.3,0.236,0.337,0.4,0.737,66.0,0.0,2.0,0,0,0,1,0.305,113,111,26
Bases Occupied,RISP,23,113.0,98,37.0,26,4,0,4,4,0,10,39,3.9,0.265,0.33,0.429,0.759,42.0,1.0,1.0,1,3,0,1,0.379,118,103,18
Bases Occupied,---,25,364.0,326,13.0,69,10,0,13,0,0,32,95,2.97,0.212,0.294,0.362,0.656,118.0,0.0,6.0,0,0,0,1,0.257,89,91,46
Bases Occupied,Men On,25,210.0,182,50.0,46,6,1,9,15,4,19,67,3.53,0.253,0.325,0.445,0.77,81.0,6.0,2.0,4,3,0,1,0.339,120,106,30
Bases Occupied,1--,25,97.0,84,13.0,20,2,1,5,11,4,9,28,3.11,0.238,0.319,0.464,0.783,39.0,5.0,1.0,3,0,0,0,0.294,123,109,12
Bases Occupied,-2-,16,41.0,33,4.0,8,2,0,0,1,0,6,14,2.33,0.242,0.375,0.303,0.678,10.0,0.0,1.0,1,0,0,0,0.421,100,87,6
Bases Occupied,--3,7,7.0,6,7.0,3,0,0,2,0,0,0,1,,0.5,0.429,1.5,1.929,9.0,0.0,0.0,0,1,0,0,0.25,423,375,1
Bases Occupied,12-,18,38.0,34,14.0,10,2,0,2,0,0,4,11,2.75,0.294,0.368,0.529,0.898,18.0,1.0,0.0,0,0,0,0,0.381,156,149,6
Bases Occupied,1-3,12,12.0,11,6.0,3,0,0,0,3,0,0,6,,0.273,0.25,0.273,0.523,3.0,0.0,0.0,0,1,0,0,0.5,52,31,3
Bases Occupied,-23,8,9.0,8,2.0,1,0,0,0,0,0,0,5,,0.125,0.111,0.125,0.236,1.0,0.0,0.0,0,1,0,0,0.25,-32,-41,1
Bases Occupied,123,4,6.0,6,4.0,1,0,0,0,0,0,0,2,,0.167,0.167,0.167,0.333,1.0,0.0,0.0,0,0,0,1,0.25,-3,-5,1
Bases Occupied,"on 1st,",24,89.0,78,24.0,20,2,1,5,0,1,6,29,4.83,0.256,0.314,0.5,0.814,39.0,6.0,1.0,3,1,0,0,0.333,131,112,12
Bases Occupied,"on 3rd,",10,16.0,13,11.0,5,0,0,1,0,0,0,4,,0.385,0.313,0.615,0.928,8.0,0.0,0.0,0,3,0,0,0.364,160,112,4
Bases Occupied,"on 3rd, 2 out",16,18.0,18,7.0,3,0,0,1,0,0,0,10,,0.167,0.167,0.333,0.5,6.0,0.0,0.0,0,0,0,1,0.286,40,36,2
