Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,25,510.0,473,53.0,103,17,2,16,15,1,30,176,5.87,0.218,0.271,0.364,0.634,172.0,6.0,5.0,0,2,0,5,0.307,100,77,68
Season Totals,Last 7 days,1,16.0,16,1.0,4,1,0,0,0,0,0,9,,0.25,0.25,0.313,0.563,5.0,0.0,0.0,0,0,0,0,0.571,78,62,3
Season Totals,Last 14 days,2,32.0,32,8.0,13,1,1,4,0,0,0,14,,0.406,0.406,0.875,1.281,28.0,0.0,0.0,0,0,0,0,0.643,290,244,7
Season Totals,Last 28 days,4,66.0,61,14.0,20,2,1,6,3,0,5,19,3.8,0.328,0.379,0.689,1.067,42.0,1.0,0.0,0,0,0,1,0.389,229,185,11
Season Totals,Last 365 days,28,522.0,481,54.0,105,17,2,16,15,1,32,179,5.59,0.218,0.273,0.362,0.634,174.0,6.0,5.0,1,3,0,5,0.308,100,,70
Platoon Splits,vs RHB,25,427.0,397,44.0,85,17,0,15,12,1,23,141,6.13,0.214,0.265,0.37,0.635,147.0,5.0,5.0,0,2,0,4,0.288,99,79,53
Platoon Splits,vs LHB,18,83.0,76,7.0,18,0,2,1,3,0,7,35,5.0,0.237,0.301,0.329,0.63,25.0,1.0,0.0,0,0,0,1,0.425,102,76,15
Platoon Splits,vs RHB as LHP,25,427.0,397,44.0,85,17,0,15,12,1,23,141,6.13,0.214,0.265,0.37,0.635,147.0,5.0,5.0,0,2,0,4,0.288,99,72,53
Platoon Splits,vs LHB as LHP,18,83.0,76,7.0,18,0,2,1,3,0,7,35,5.0,0.237,0.301,0.329,0.63,25.0,1.0,0.0,0,0,0,1,0.425,102,88,15
Home or Away,Home,14,291.0,273,30.0,62,8,2,8,12,1,13,108,8.31,0.227,0.268,0.359,0.627,98.0,4.0,3.0,0,2,0,3,0.34,98,78,44
Home or Away,Away,11,219.0,200,23.0,41,9,0,8,3,0,17,68,4.0,0.205,0.274,0.37,0.644,74.0,2.0,2.0,0,0,0,2,0.266,103,78,24
First or Second Half,1st Half,20,426.0,396,37.0,79,15,1,10,10,1,23,150,6.52,0.2,0.251,0.318,0.569,126.0,5.0,5.0,0,2,0,4,0.29,80,61,53
First or Second Half,2nd Half,5,84.0,77,16.0,24,2,1,6,5,0,7,26,3.71,0.312,0.369,0.597,0.966,46.0,1.0,0.0,0,0,0,1,0.4,200,162,15
Months,April/March,7,143.0,131,23.0,29,7,0,7,3,0,9,47,5.22,0.221,0.28,0.435,0.715,57.0,2.0,2.0,0,1,0,1,0.282,123,102,15
Months,May,5,108.0,103,3.0,16,3,1,2,2,0,5,38,7.6,0.155,0.194,0.262,0.457,27.0,0.0,0.0,0,0,0,0,0.222,44,31,10
Months,June,6,148.0,139,9.0,29,5,0,1,5,1,6,56,9.33,0.209,0.25,0.266,0.516,37.0,3.0,2.0,0,1,0,3,0.337,65,45,23
Months,July,4,63.0,56,9.0,15,1,0,1,5,0,6,19,3.17,0.268,0.349,0.339,0.689,19.0,0.0,1.0,0,0,0,1,0.389,122,92,13
Months,August,3,48.0,44,9.0,14,1,1,5,0,0,4,16,4.0,0.318,0.375,0.727,1.102,32.0,1.0,0.0,0,0,0,0,0.391,238,197,7
Game Outcome for Pitcher,in Wins,6,135.0,127,4.0,19,2,1,2,5,0,7,45,6.43,0.15,0.2,0.228,0.428,29.0,0.0,1.0,0,0,0,1,0.213,36,63,14
Game Outcome for Pitcher,in Losses,9,182.0,167,37.0,52,10,1,10,7,1,12,61,5.08,0.311,0.363,0.563,0.926,94.0,2.0,2.0,0,1,0,1,0.433,189,89,31
Game Outcome for Pitcher,in No Dec.,10,193.0,179,12.0,32,5,0,4,3,0,11,70,6.36,0.179,0.233,0.274,0.507,49.0,4.0,2.0,0,1,0,3,0.264,61,45,23
Pitching Role,as Starter,25,510.0,473,53.0,103,17,2,16,15,1,30,176,5.87,0.218,0.271,0.364,0.634,172.0,6.0,5.0,0,2,0,5,0.307,100,76,68
Run Support,0-2 Runs Scored,11,209.0,189,23.0,41,7,0,6,7,1,17,72,4.24,0.217,0.287,0.349,0.636,66.0,4.0,2.0,0,1,0,0,0.313,102,71,28
Run Support,3-5 Runs Scored,11,238.0,224,21.0,45,10,0,6,5,0,11,78,7.09,0.201,0.244,0.326,0.57,73.0,2.0,2.0,0,1,0,4,0.277,80,60,29
Run Support,6+ Runs Scored,3,63.0,60,9.0,17,0,2,4,3,0,2,26,13.0,0.283,0.318,0.55,0.868,33.0,0.0,1.0,0,0,0,1,0.433,168,139,11
Batting Order Positions,Batting 1st,25,66.0,61,4.0,11,2,0,1,1,0,4,28,7.0,0.18,0.227,0.262,0.49,16.0,0.0,0.0,0,1,0,1,0.303,56,34,8
Batting Order Positions,Batting 2nd,25,65.0,58,9.0,13,2,0,2,1,0,3,18,6.0,0.224,0.308,0.362,0.67,21.0,0.0,4.0,0,0,0,1,0.29,113,77,9
Batting Order Positions,Batting 3rd,25,65.0,61,2.0,14,2,0,1,1,0,4,20,5.0,0.23,0.277,0.312,0.588,19.0,0.0,0.0,0,0,0,1,0.325,88,52,11
Batting Order Positions,Batting 4th,25,58.0,52,3.0,12,1,0,1,1,1,6,17,2.83,0.231,0.31,0.308,0.618,16.0,1.0,0.0,0,0,0,0,0.324,99,71,10
Batting Order Positions,Batting 5th,25,57.0,55,10.0,16,2,0,4,0,0,2,19,9.5,0.291,0.316,0.546,0.861,30.0,1.0,0.0,0,0,0,0,0.375,166,134,10
Batting Order Positions,Batting 6th,25,55.0,51,7.0,12,4,0,4,4,0,4,22,5.5,0.235,0.291,0.549,0.84,28.0,0.0,0.0,0,0,0,0,0.32,158,139,4
Batting Order Positions,Batting 7th,24,53.0,49,8.0,11,1,1,2,4,0,4,15,3.75,0.225,0.283,0.408,0.691,20.0,1.0,0.0,0,0,0,2,0.281,117,99,7
Batting Order Positions,Batting 8th,24,46.0,43,3.0,8,2,1,0,1,0,2,17,8.5,0.186,0.217,0.279,0.497,12.0,3.0,0.0,0,1,0,0,0.296,57,50,5
Batting Order Positions,Batting 9th,24,45.0,43,5.0,6,1,0,1,2,0,1,20,20.0,0.14,0.178,0.233,0.41,10.0,0.0,1.0,0,0,0,0,0.227,30,32,4
Batting Order Positions,"Bat1-2,non-P",25,131.0,119,13.0,24,4,0,3,2,0,7,46,6.57,0.202,0.267,0.311,0.578,37.0,0.0,4.0,0,1,0,2,0.296,84,56,17
Batting Order Positions,"Bat3-6,non-P",25,235.0,219,22.0,54,9,0,10,6,1,16,78,4.88,0.247,0.298,0.425,0.723,93.0,2.0,0.0,0,0,0,1,0.336,127,96,35
Batting Order Positions,"Bat7-9,non-P",24,144.0,135,16.0,25,4,2,3,7,0,7,52,7.43,0.185,0.229,0.311,0.54,42.0,4.0,1.0,0,1,0,2,0.272,70,64,16
Swung or Took First Pitch of PA,Swung at 1st Pitch,25,191.0,186,15.0,38,5,0,4,,,1,65,65.0,0.204,0.215,0.296,0.51,55.0,3.0,2.0,0,2,0,1,0.286,61,46,29
Swung or Took First Pitch of PA,Took 1st Pitch,25,319.0,287,33.0,65,12,2,12,,,29,111,3.83,0.227,0.304,0.408,0.712,117.0,3.0,3.0,0,0,0,4,0.323,124,98,39
Count/Balls-Strikes,First Pitch,20,52.0,50,9.0,17,1,0,2,,,0,0,,0.34,0.346,0.48,0.826,24.0,3.0,1.0,0,1,0,0,0.306,160,87,14
Count/Balls-Strikes,1-0 Count,14,23.0,23,4.0,10,0,0,2,,,0,0,,0.435,0.435,0.696,1.131,16.0,0.0,0.0,0,0,0,0,0.381,252,149,8
Count/Balls-Strikes,2-0 Count,7,9.0,9,0.0,4,1,0,0,,,0,0,,0.444,0.444,0.556,1.0,5.0,0.0,0.0,0,0,0,1,0.444,217,118,3
Count/Balls-Strikes,3-0 Count,6,6.0,0,0.0,0,0,0,0,,,6,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,17,29.0,29,6.0,10,3,0,3,,,0,0,,0.345,0.345,0.759,1.103,22.0,0.0,0.0,0,0,0,1,0.269,236,153,4
Count/Balls-Strikes,1-1 Count,19,31.0,31,3.0,12,2,2,1,,,0,0,,0.387,0.387,0.677,1.065,21.0,0.0,0.0,0,0,0,0,0.367,229,148,7
Count/Balls-Strikes,2-1 Count,11,15.0,15,0.0,6,3,0,0,,,0,0,,0.4,0.4,0.6,1.0,9.0,0.0,0.0,0,0,0,1,0.4,212,119,3
Count/Balls-Strikes,3-1 Count,13,19.0,7,3.0,5,2,0,2,,,11,0,0.0,0.714,0.895,1.857,2.752,13.0,1.0,1.0,0,0,0,0,0.6,740,320,1
Count/Balls-Strikes,0-2 Count,25,76.0,75,0.0,5,0,0,0,,,0,45,,0.067,0.079,0.067,0.146,5.0,0.0,1.0,0,0,0,0,0.167,-52,-20,5
Count/Balls-Strikes,1-2 Count,25,106.0,104,9.0,15,1,0,4,,,0,64,,0.144,0.151,0.269,0.42,28.0,2.0,1.0,0,1,0,0,0.297,30,99,10
Count/Balls-Strikes,2-2 Count,24,86.0,85,7.0,13,3,0,1,,,0,46,,0.153,0.163,0.224,0.386,19.0,0.0,1.0,0,0,0,0,0.316,22,74,9
Count/Balls-Strikes,Full Count,23,58.0,45,7.0,6,1,0,1,,,13,21,1.62,0.133,0.328,0.222,0.55,10.0,0.0,0.0,0,0,0,2,0.217,82,39,4
Count/Balls-Strikes,After 1-0,25,184.0,157,25.0,47,6,2,10,,,26,47,1.81,0.299,0.402,0.554,0.956,87.0,3.0,1.0,0,0,0,3,0.37,201,137,29
Count/Balls-Strikes,After 2-0,23,65.0,45,9.0,15,4,0,4,,,20,11,0.55,0.333,0.539,0.689,1.227,31.0,0.0,0.0,0,0,0,2,0.367,288,157,7
Count/Balls-Strikes,After 3-0,18,22.0,9,1.0,4,1,0,1,,,13,4,0.31,0.444,0.773,0.889,1.662,8.0,0.0,0.0,0,0,0,0,0.75,430,179,2
Count/Balls-Strikes,After 0-1,25,274.0,266,14.0,39,10,0,4,,,4,129,32.25,0.147,0.168,0.229,0.397,61.0,0.0,3.0,0,1,0,2,0.261,25,31,25
Count/Balls-Strikes,After 1-1,25,193.0,182,19.0,41,9,2,5,,,8,78,9.75,0.225,0.264,0.379,0.643,69.0,3.0,2.0,0,1,0,2,0.36,102,92,25
Count/Balls-Strikes,After 2-1,24,86.0,72,9.0,16,6,0,3,,,13,27,2.08,0.222,0.349,0.431,0.779,31.0,1.0,1.0,0,0,0,2,0.31,147,98,7
Count/Balls-Strikes,After 3-1,19,40.0,22,5.0,6,2,0,2,,,17,10,0.59,0.273,0.6,0.636,1.236,14.0,1.0,1.0,0,0,0,1,0.4,296,146,2
Count/Balls-Strikes,After 0-2,25,148.0,144,1.0,10,0,0,0,,,2,87,43.5,0.069,0.095,0.069,0.164,10.0,0.0,2.0,0,0,0,0,0.175,-46,-25,10
Count/Balls-Strikes,After 1-2,25,182.0,175,16.0,25,3,0,4,,,4,100,25.0,0.143,0.17,0.229,0.399,40.0,2.0,2.0,0,1,0,1,0.292,26,60,18
Count/Balls-Strikes,After 2-2,24,123.0,115,12.0,18,4,0,2,,,7,57,8.14,0.157,0.211,0.244,0.455,28.0,0.0,1.0,0,0,0,1,0.286,45,56,12
Count/Balls-Strikes,Zero Balls,25,157.0,154,18.0,32,4,0,5,,,0,45,,0.208,0.217,0.331,0.548,51.0,3.0,2.0,0,1,0,1,0.257,71,53,23
Count/Balls-Strikes,Zero Strikes,24,90.0,82,16.0,31,2,0,4,,,6,0,0.0,0.378,0.422,0.549,0.971,45.0,3.0,1.0,0,1,0,1,0.342,207,105,25
Count/Balls-Strikes,Three Balls,23,83.0,52,10.0,11,3,0,3,,,30,21,0.7,0.212,0.506,0.442,0.948,23.0,1.0,1.0,0,0,0,2,0.286,208,106,5
