Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,39,32,128,111,16,26,7,0,2,8,4,2,16,41,0.234,0.336,0.351,0.687,39,1,1,0,0,0,1,0.353,100,95,17
Season Totals,Last 7 days,6,6,23,20,2,4,1,0,0,1,1,1,3,6,0.2,0.304,0.25,0.554,5,0,0,0,0,0,0,0.286,62,64,3
Season Totals,Last 14 days,13,12,47,39,7,6,1,0,1,2,2,1,7,19,0.154,0.298,0.256,0.554,10,0,1,0,0,0,0,0.263,62,58,4
Season Totals,Last 28 days,24,20,77,67,12,16,4,0,1,4,2,2,9,27,0.239,0.338,0.343,0.681,23,0,1,0,0,0,0,0.385,98,90,11
Season Totals,Last 365 days,42,35,139,118,17,27,8,0,2,9,4,3,19,43,0.229,0.338,0.348,0.686,41,1,1,0,1,0,1,0.338,100,,17
Platoon Splits,vs RHP,36,,104,88,14,21,6,0,2,7,4,2,15,32,0.239,0.356,0.375,0.731,33,1,1,0,0,0,1,0.352,113,108,13
Platoon Splits,vs LHP,12,,24,23,2,5,1,0,0,1,0,0,1,9,0.217,0.25,0.261,0.511,6,0,0,0,0,0,0,0.357,49,44,4
Platoon Splits,vs RHP as LHB,36,,104,88,,21,6,0,2,7,0,0,15,32,0.239,0.356,0.375,0.731,33,1,1,0,0,0,1,0.352,113,102,13
Platoon Splits,vs LHP as LHB,12,,24,23,,5,1,0,0,1,0,0,1,9,0.217,0.25,0.261,0.511,6,0,0,0,0,0,0,0.357,49,54,4
Platoon Splits,vs RH Starter,28,27,102,87,14,21,6,0,2,7,4,2,14,29,0.241,0.353,0.379,0.732,33,1,1,0,0,0,1,0.339,113,107,13
Platoon Splits,vs LH Starter,11,5,26,24,2,5,1,0,0,1,0,0,2,12,0.208,0.269,0.25,0.519,6,0,0,0,0,0,0,0.417,51,48,4
Home or Away,Home,20,16,58,50,6,11,3,0,1,3,3,2,7,19,0.22,0.328,0.34,0.668,17,0,1,0,0,0,0,0.333,95,87,7
Home or Away,Away,19,16,70,61,10,15,4,0,1,5,1,0,9,22,0.246,0.343,0.361,0.704,22,1,0,0,0,0,1,0.368,105,103,10
First or Second Half,1st Half,10,7,33,26,2,5,1,0,1,4,1,0,7,7,0.192,0.364,0.346,0.71,9,0,0,0,0,0,1,0.222,107,104,3
First or Second Half,2nd Half,29,25,95,85,14,21,6,0,1,4,3,2,9,34,0.247,0.326,0.353,0.679,30,1,1,0,0,0,0,0.4,98,89,14
