Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,69,50,213,187,24,45,7,1,8,32,0,0,19,55,0.241,0.324,0.417,0.741,78,7,5,0,2,0,1,0.294,100,108,29
Season Totals,Last 7 days,5,3,13,12,2,3,1,1,0,4,0,0,1,4,0.25,0.308,0.5,0.808,6,1,0,0,0,0,0,0.375,115,133,1
Season Totals,Last 14 days,10,6,26,20,3,6,1,1,0,4,0,0,5,5,0.3,0.462,0.45,0.912,9,1,1,0,0,0,0,0.4,151,162,4
Season Totals,Last 28 days,16,10,46,38,6,13,1,1,1,10,0,0,7,8,0.342,0.457,0.5,0.957,19,3,1,0,0,0,0,0.414,161,166,10
Season Totals,Last 365 days,79,57,245,217,27,53,9,1,11,38,0,0,20,64,0.244,0.322,0.447,0.769,97,7,6,0,2,0,1,0.292,107,,32
Platoon Splits,vs RHP,53,,131,116,13,28,6,1,3,17,0,0,10,36,0.241,0.321,0.388,0.709,45,5,4,0,1,0,1,0.321,92,100,18
Platoon Splits,vs LHP,41,,82,71,11,17,1,0,5,15,0,0,9,19,0.239,0.329,0.465,0.794,33,2,1,0,1,0,0,0.25,113,120,11
Platoon Splits,vs RHP as RHB,53,,131,116,,28,6,1,3,17,0,0,10,36,0.241,0.321,0.388,0.709,45,5,4,0,1,0,1,0.321,92,106,18
Platoon Splits,vs LHP as RHB,41,,82,71,,17,1,0,5,15,0,0,9,19,0.239,0.329,0.465,0.794,33,2,1,0,1,0,0,0.25,113,115,11
Platoon Splits,vs RH Starter,43,25,117,102,11,24,5,0,4,15,0,0,9,37,0.235,0.325,0.402,0.727,41,4,5,0,1,0,1,0.323,97,104,15
Platoon Splits,vs LH Starter,26,25,96,85,13,21,2,1,4,17,0,0,10,18,0.247,0.323,0.435,0.758,37,3,0,0,1,0,0,0.266,104,112,14
