Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,108,93,387,355,44,90,18,2,10,45,4,2,29,85,0.254,0.313,0.4,0.713,142,6,2,0,1,0,2,0.307,100,100,60
Season Totals,Last 7 days,7,7,28,25,6,10,3,0,3,4,0,0,3,6,0.4,0.464,0.88,1.344,22,0,0,0,0,0,0,0.438,268,278,4
Season Totals,Last 14 days,13,12,52,48,7,15,4,0,4,9,0,0,3,12,0.313,0.365,0.646,1.011,31,0,1,0,0,0,0,0.344,178,175,7
Season Totals,Last 28 days,25,22,94,81,13,28,7,0,5,16,0,1,10,23,0.346,0.426,0.617,1.043,50,0,2,0,1,0,0,0.426,190,183,16
Season Totals,Last 365 days,108,93,387,355,44,90,18,2,10,45,4,2,29,85,0.254,0.313,0.4,0.713,142,6,2,0,1,0,2,0.307,100,,60
Platoon Splits,vs RHP,106,,346,317,41,84,18,2,10,43,4,2,27,72,0.265,0.324,0.429,0.753,136,6,1,0,1,0,2,0.314,111,111,54
Platoon Splits,vs LHP,32,,41,38,3,6,0,0,0,2,0,0,2,13,0.158,0.22,0.158,0.377,6,0,1,0,0,0,0,0.24,10,9,6
Platoon Splits,vs RHP as LHB,106,,346,317,,84,18,2,10,43,0,0,27,72,0.265,0.324,0.429,0.753,136,6,1,0,1,0,2,0.314,111,105,54
Platoon Splits,vs LHP as LHB,32,,41,38,,6,0,0,0,2,0,0,2,13,0.158,0.22,0.158,0.377,6,0,1,0,0,0,0,0.24,10,15,6
Platoon Splits,vs RH Starter,86,85,335,305,40,81,17,2,10,42,3,2,27,73,0.266,0.328,0.433,0.761,132,5,2,0,1,0,1,0.318,113,113,52
Platoon Splits,vs LH Starter,22,8,52,50,4,9,1,0,0,3,1,0,2,12,0.18,0.212,0.2,0.412,10,1,0,0,0,0,1,0.237,18,17,8
Home or Away,Home,53,46,182,167,22,41,9,1,6,22,1,0,14,38,0.246,0.308,0.419,0.727,70,3,1,0,0,0,2,0.285,103,100,25
Home or Away,Away,55,47,205,188,22,49,9,1,4,23,3,2,15,47,0.261,0.317,0.383,0.7,72,3,1,0,1,0,0,0.326,97,100,35
First or Second Half,1st Half,78,66,277,258,28,55,8,2,3,24,3,1,19,57,0.213,0.267,0.295,0.562,76,6,0,0,0,0,2,0.263,59,60,42
First or Second Half,2nd Half,30,27,110,97,16,35,10,0,7,21,1,1,10,28,0.361,0.427,0.68,1.108,66,0,2,0,1,0,0,0.444,206,201,18
Months,April/March,23,19,83,77,11,14,2,0,0,5,1,0,6,19,0.182,0.241,0.208,0.449,16,1,0,0,0,0,1,0.241,29,31,12
Months,May,21,20,78,73,6,18,3,2,1,7,1,0,5,15,0.247,0.295,0.384,0.679,28,2,0,0,0,0,0,0.298,90,95,12
Months,June,22,18,80,76,9,18,3,0,1,9,1,0,4,17,0.237,0.275,0.316,0.591,24,3,0,0,0,0,0,0.293,67,66,14
Months,July,24,20,78,67,9,20,5,0,4,13,1,1,9,18,0.299,0.385,0.552,0.937,37,0,1,0,1,0,1,0.348,161,154,11
Months,August,18,16,68,62,9,20,5,0,4,11,0,1,5,16,0.323,0.382,0.597,0.979,37,0,1,0,0,0,0,0.381,171,167,11
Game Outcome for Team,in Wins,58,51,217,196,29,53,11,1,9,32,3,1,21,43,0.27,0.341,0.475,0.816,93,4,0,0,0,0,0,0.306,127,95,32
Game Outcome for Team,in Losses,50,42,170,159,15,37,7,1,1,13,1,1,8,42,0.233,0.277,0.308,0.585,49,2,2,0,1,0,2,0.308,65,99,28
Starter or Substitute,as Starter,93,93,364,333,42,88,18,2,10,45,3,2,28,80,0.264,0.324,0.42,0.745,140,6,2,0,1,0,1,0.32,109,108,58
Starter or Substitute,as Sub,15,0,23,22,2,2,0,0,0,0,1,0,1,5,0.091,0.13,0.091,0.221,2,0,0,0,0,0,1,0.118,-36,-31,2
Defensive Positions,as 2B,103,,374,343,43,89,18,2,10,45,3,2,28,82,0.26,0.318,0.411,0.729,141,6,2,0,1,0,1,0.314,104,113,59
Defensive Positions,as SS,1,,1,1,,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,470,451,1
Defensive Positions,as PH,12,,12,11,1,0,0,0,0,0,1,0,1,3,0.0,0.083,0.0,0.083,0,0,0,0,0,0,1,0.0,-74,-72,0
Leading Off Inning,Leadoff Inn.,64,,94,86,,15,4,1,5,5,,,8,16,0.174,0.245,0.419,0.663,36,0,0,0,0,0,0,0.154,83,86,5
