Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,112,98,402,360,30,85,24,1,8,39,1,2,36,86,0.236,0.311,0.375,0.686,135,4,4,0,2,1,2,0.287,100,93,52
Season Totals,Last 7 days,6,4,19,18,1,6,0,0,1,4,0,1,1,5,0.333,0.368,0.5,0.868,9,1,0,0,0,0,0,0.417,152,149,5
Season Totals,Last 14 days,11,9,39,38,3,17,5,0,1,8,0,1,1,9,0.447,0.462,0.658,1.119,25,1,0,0,0,0,0,0.571,224,208,11
Season Totals,Last 28 days,22,18,74,72,5,21,5,0,1,9,0,2,1,20,0.292,0.311,0.403,0.714,29,1,1,0,0,0,0,0.392,108,95,15
Season Totals,Last 365 days,142,123,491,441,34,98,27,1,9,52,2,2,42,103,0.222,0.293,0.349,0.643,154,6,4,0,4,1,4,0.267,87,,61
Platoon Splits,vs RHP,110,,347,311,29,76,22,0,7,30,1,2,33,70,0.244,0.323,0.383,0.705,119,3,3,0,0,1,2,0.295,106,100,47
Platoon Splits,vs LHP,35,,55,49,1,9,2,1,1,9,0,0,3,16,0.184,0.236,0.327,0.563,16,1,1,0,2,0,0,0.235,63,56,5
Platoon Splits,vs RHP as LHB,110,,347,311,,76,22,0,7,30,0,0,33,70,0.244,0.323,0.383,0.705,119,3,3,0,0,1,2,0.295,106,93,47
Platoon Splits,vs LHP as LHB,35,,55,49,,9,2,1,1,9,0,0,3,16,0.184,0.236,0.327,0.563,16,1,1,0,2,0,0,0.235,63,67,5
Platoon Splits,vs RH Starter,93,89,355,313,28,76,20,1,7,36,1,2,36,73,0.243,0.327,0.38,0.707,119,4,4,0,2,1,2,0.294,107,100,48
Platoon Splits,vs LH Starter,19,9,47,47,2,9,4,0,1,3,0,0,0,13,0.192,0.192,0.34,0.532,16,0,0,0,0,0,0,0.242,52,46,4
Home or Away,Home,55,49,199,176,16,42,10,1,5,24,0,1,20,41,0.239,0.322,0.392,0.714,69,2,2,0,1,1,0,0.282,108,98,26
Home or Away,Away,57,49,203,184,14,43,14,0,3,15,1,1,16,45,0.234,0.301,0.359,0.659,66,2,2,0,1,0,2,0.292,92,88,26
