Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,9,193,173,25.0,46,11,3,4,2,0,15,47,3.13,0.266,0.333,0.434,0.767,75.0,2.0,3.0,1,1,0,2,0.342,100,115,28
Season Totals,Last 7 days,1,21,18,5.0,6,1,2,1,1,0,2,5,2.5,0.333,0.429,0.778,1.206,14.0,0.0,1.0,0,0,0,0,0.417,208,240,2
Season Totals,Last 14 days,2,44,41,6.0,10,2,2,1,1,0,2,8,4.0,0.244,0.296,0.463,0.759,19.0,0.0,1.0,0,0,0,0,0.281,95,108,5
Season Totals,Last 28 days,5,110,100,15.0,26,5,2,4,1,0,7,33,4.71,0.26,0.312,0.47,0.782,47.0,1.0,1.0,1,1,0,1,0.344,102,112,15
Season Totals,Last 365 days,14,293,259,37.0,64,16,3,6,4,0,28,65,2.32,0.247,0.329,0.402,0.73,104.0,2.0,4.0,1,1,1,4,0.307,91,,39
Platoon Splits,vs RHB,9,87,80,12.0,22,4,2,2,2,0,6,20,3.33,0.275,0.333,0.45,0.783,36.0,1.0,1.0,0,0,0,2,0.345,104,121,14
Platoon Splits,vs LHB,9,106,93,13.0,24,7,1,2,0,0,9,27,3.0,0.258,0.333,0.419,0.753,39.0,1.0,2.0,1,1,0,0,0.339,97,108,14
Platoon Splits,vs RHB as RHP,9,87,80,12.0,22,4,2,2,2,0,6,20,3.33,0.275,0.333,0.45,0.783,36.0,1.0,1.0,0,0,0,2,0.345,104,126,14
Platoon Splits,vs LHB as RHP,9,106,93,13.0,24,7,1,2,0,0,9,27,3.0,0.258,0.333,0.419,0.753,39.0,1.0,2.0,1,1,0,0,0.339,97,105,14
Home or Away,Home,4,89,77,17.0,27,7,0,3,0,0,8,24,3.0,0.351,0.421,0.558,0.979,43.0,1.0,2.0,1,1,0,0,0.471,155,178,17
Home or Away,Away,5,104,96,8.0,19,4,3,1,2,0,7,23,3.29,0.198,0.26,0.333,0.593,32.0,1.0,1.0,0,0,0,2,0.25,55,64,11
First or Second Half,1st Half,3,62,56,7.0,14,5,1,0,1,0,6,9,1.5,0.25,0.323,0.375,0.698,21.0,1.0,0.0,0,0,0,1,0.298,83,98,8
First or Second Half,2nd Half,6,131,117,18.0,32,6,2,4,1,0,9,38,4.22,0.274,0.339,0.462,0.8,54.0,1.0,3.0,1,1,0,1,0.368,108,119,20
Months,July,6,127,114,13.0,28,6,1,1,1,0,11,31,2.82,0.246,0.323,0.342,0.665,39.0,2.0,2.0,0,0,0,2,0.329,76,84,20
Months,August,3,66,59,12.0,18,5,2,3,1,0,4,16,4.0,0.305,0.354,0.61,0.964,36.0,0.0,1.0,1,1,0,0,0.366,147,162,8
Game Outcome for Pitcher,in Wins,2,42,41,1.0,6,1,0,0,0,0,1,11,11.0,0.146,0.167,0.171,0.337,7.0,0.0,0.0,0,0,0,1,0.2,-10,29,5
Game Outcome for Pitcher,in Losses,5,110,95,22.0,33,8,2,4,1,0,10,29,2.9,0.347,0.422,0.6,1.022,57.0,1.0,3.0,1,1,0,0,0.46,165,111,19
Game Outcome for Pitcher,in No Dec.,2,41,37,2.0,7,2,1,0,1,0,4,7,1.75,0.189,0.268,0.297,0.566,11.0,1.0,0.0,0,0,0,1,0.233,49,63,4
Pitching Role,as Starter,9,193,173,25.0,46,11,3,4,2,0,15,47,3.13,0.266,0.333,0.434,0.767,75.0,2.0,3.0,1,1,0,2,0.342,100,112,28
Run Support,0-2 Runs Scored,5,111,102,12.0,27,6,0,1,0,0,7,24,3.43,0.265,0.324,0.353,0.677,36.0,1.0,2.0,0,0,0,0,0.338,79,84,20
Run Support,3-5 Runs Scored,4,82,71,13.0,19,5,3,3,2,0,8,23,2.88,0.268,0.346,0.549,0.895,39.0,1.0,1.0,1,1,0,2,0.348,130,148,8
Batting Order Positions,Batting 1st,9,27,25,3.0,7,2,0,0,0,0,2,5,2.5,0.28,0.333,0.36,0.693,9.0,1.0,0.0,0,0,0,0,0.35,83,90,5
Batting Order Positions,Batting 2nd,9,26,24,2.0,6,2,1,0,1,0,1,7,7.0,0.25,0.308,0.417,0.724,10.0,0.0,1.0,0,0,0,0,0.353,89,90,3
Batting Order Positions,Batting 3rd,9,25,20,4.0,7,0,0,1,0,0,4,6,1.5,0.35,0.48,0.5,0.98,10.0,0.0,1.0,0,0,0,0,0.462,159,155,6
Batting Order Positions,Batting 4th,9,21,17,1.0,2,1,0,0,0,0,3,7,2.33,0.118,0.286,0.177,0.462,3.0,0.0,1.0,0,0,0,0,0.2,26,33,1
Batting Order Positions,Batting 5th,9,20,19,5.0,5,0,0,1,1,0,0,4,,0.263,0.25,0.421,0.671,8.0,0.0,0.0,0,1,0,0,0.267,72,83,4
Batting Order Positions,Batting 6th,9,19,19,2.0,7,4,0,0,0,0,0,4,,0.368,0.368,0.579,0.947,11.0,0.0,0.0,0,0,0,0,0.467,144,173,3
Batting Order Positions,Batting 7th,9,19,16,1.0,3,2,0,0,0,0,2,4,2.0,0.188,0.278,0.313,0.59,5.0,1.0,0.0,1,0,0,1,0.25,56,72,1
