Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,120,116,502,447,62,98,17,2,17,51,13,1,49,96,0.219,0.299,0.38,0.68,170,16,3,0,2,0,5,0.241,100,91,62
Season Totals,Last 7 days,7,7,33,31,4,7,1,0,3,5,0,1,1,6,0.226,0.273,0.548,0.821,17,0,1,0,0,0,1,0.182,136,134,3
Season Totals,Last 14 days,12,12,54,49,6,9,1,1,3,9,0,1,4,10,0.184,0.259,0.429,0.688,21,2,1,0,0,0,1,0.167,100,91,4
Season Totals,Last 28 days,24,23,105,95,12,18,2,1,4,11,3,1,9,25,0.19,0.267,0.358,0.625,34,2,1,0,0,0,2,0.212,84,71,11
Season Totals,Last 365 days,154,150,659,586,84,134,23,2,23,73,17,2,65,125,0.229,0.308,0.393,0.7,230,19,3,0,3,1,5,0.252,106,,86
Platoon Splits,vs RHP,115,,386,350,50,80,15,2,14,43,11,1,31,72,0.229,0.296,0.403,0.699,141,11,3,0,1,0,4,0.249,105,96,49
Platoon Splits,vs LHP,59,,116,97,12,18,2,0,3,8,2,0,18,24,0.186,0.31,0.299,0.609,29,5,0,0,1,0,1,0.211,82,73,13
Platoon Splits,vs RHP as RHB,115,,386,350,,80,15,2,14,43,0,0,31,72,0.229,0.296,0.403,0.699,141,11,3,0,1,0,4,0.249,105,102,49
Platoon Splits,vs LHP as RHB,59,,116,97,,18,2,0,3,8,0,0,18,24,0.186,0.31,0.299,0.609,29,5,0,0,1,0,1,0.211,82,69,13
Platoon Splits,vs RH Starter,93,89,384,344,49,77,15,2,15,39,9,0,37,73,0.224,0.302,0.41,0.712,141,11,2,0,1,0,4,0.241,109,99,45
Platoon Splits,vs LH Starter,27,27,118,103,13,21,2,0,2,12,4,1,12,23,0.204,0.291,0.282,0.572,29,5,1,0,1,0,1,0.241,72,63,17
Home or Away,Home,61,59,247,221,32,49,7,0,11,32,7,0,22,54,0.222,0.301,0.403,0.704,89,7,3,0,0,0,2,0.244,107,94,31
Home or Away,Away,59,57,255,226,30,49,10,2,6,19,6,1,27,42,0.217,0.298,0.358,0.656,81,9,0,0,2,0,3,0.239,94,87,31
First or Second Half,1st Half,89,86,369,325,43,73,14,1,10,34,9,0,39,62,0.225,0.31,0.366,0.676,119,14,2,0,2,0,3,0.247,100,92,48
First or Second Half,2nd Half,31,30,133,122,19,25,3,1,7,17,4,1,10,34,0.205,0.271,0.418,0.689,51,2,1,0,0,0,2,0.222,101,88,14
