Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,65,62,256,226,40,65,15,1,2,25,5,1,20,38,0.288,0.348,0.389,0.737,88,4,3,3,4,0,1,0.332,100,108,47
Season Totals,Last 7 days,6,6,29,26,3,9,2,0,1,3,1,0,3,5,0.346,0.414,0.539,0.952,14,0,0,0,0,0,0,0.4,157,178,6
Season Totals,Last 14 days,12,12,55,48,8,15,3,0,1,4,2,1,7,8,0.313,0.4,0.438,0.838,21,0,0,0,0,0,0,0.359,128,139,11
Season Totals,Last 28 days,25,23,102,92,17,31,7,0,2,14,4,1,8,17,0.337,0.392,0.478,0.871,44,0,1,0,1,0,0,0.392,136,140,22
Season Totals,Last 365 days,100,89,361,310,57,78,16,2,2,32,8,2,35,60,0.252,0.332,0.336,0.668,104,4,5,6,5,0,2,0.3,82,,58
Platoon Splits,vs RHP,63,,178,155,30,44,14,0,2,18,3,1,16,29,0.284,0.354,0.413,0.767,64,4,3,0,4,0,1,0.328,108,117,28
Platoon Splits,vs LHP,44,,78,71,10,21,1,1,0,7,2,0,4,9,0.296,0.333,0.338,0.671,24,0,0,3,0,0,0,0.339,83,90,19
Platoon Splits,vs RHP as LHB,63,,178,155,,44,14,0,2,18,0,0,16,29,0.284,0.354,0.413,0.767,64,4,3,0,4,0,1,0.328,108,110,28
Platoon Splits,vs LHP as RHB,44,,78,71,,21,1,1,0,7,0,0,4,9,0.296,0.333,0.338,0.671,24,0,0,3,0,0,0,0.339,83,85,19
Platoon Splits,vs RH Starter,44,43,174,153,25,45,13,1,2,15,3,1,14,28,0.294,0.358,0.431,0.79,66,4,3,1,3,0,0,0.341,114,122,29
Platoon Splits,vs LH Starter,21,19,82,73,15,20,2,0,0,10,2,0,6,10,0.274,0.325,0.301,0.626,22,0,0,2,1,0,1,0.313,71,79,18
Home or Away,Home,36,35,142,123,25,36,6,0,0,15,2,0,13,19,0.293,0.355,0.342,0.696,42,2,1,1,4,0,1,0.333,90,96,30
Home or Away,Away,29,27,114,103,15,29,9,1,2,10,3,1,7,19,0.282,0.339,0.447,0.786,46,2,2,2,0,0,0,0.329,112,123,17
First or Second Half,1st Half,34,33,131,114,20,31,6,1,0,11,1,0,10,19,0.272,0.333,0.342,0.675,39,4,2,2,3,0,1,0.316,84,93,24
First or Second Half,2nd Half,31,29,125,112,20,34,9,0,2,14,4,1,10,19,0.304,0.363,0.438,0.8,49,0,1,1,1,0,0,0.348,117,122,23
Months,April/March,7,7,27,24,3,6,1,0,0,2,0,0,2,3,0.25,0.333,0.292,0.625,7,1,1,0,0,0,1,0.286,71,82,5
Months,June,15,14,53,48,6,13,3,0,0,4,0,0,3,8,0.271,0.327,0.333,0.66,16,2,1,1,0,0,0,0.325,80,86,10
Months,July,23,22,94,81,19,22,5,1,0,11,2,0,7,14,0.272,0.315,0.358,0.673,29,1,0,2,4,0,0,0.31,83,85,16
Months,August,20,19,82,73,12,24,6,0,2,8,3,1,8,13,0.329,0.402,0.493,0.896,36,0,1,0,0,0,0,0.379,142,149,16
Game Outcome for Team,in Wins,43,41,172,150,34,47,12,1,2,22,5,0,16,24,0.313,0.377,0.447,0.823,67,3,1,2,3,0,0,0.354,123,100,32
Game Outcome for Team,in Losses,22,21,84,76,6,18,3,0,0,3,0,1,4,14,0.237,0.289,0.276,0.566,21,1,2,1,1,0,1,0.286,54,94,15
Starter or Substitute,as Starter,62,62,253,223,38,63,14,1,2,24,4,1,20,38,0.283,0.344,0.381,0.725,85,4,3,3,4,0,1,0.326,97,105,46
Starter or Substitute,as Sub,3,0,3,3,2,2,1,0,0,1,1,0,0,0,0.667,0.667,1.0,1.667,3,0,0,0,0,0,0,0.667,349,401,1
Defensive Positions,as SS,63,,254,224,38,63,14,1,2,24,4,1,20,38,0.281,0.343,0.38,0.722,85,4,3,3,4,0,1,0.325,96,98,46
Defensive Positions,as PH,2,,2,2,2,2,1,0,0,1,1,0,0,0,1.0,1.0,1.5,2.5,3,0,0,0,0,0,0,1.0,573,671,1
Leading Off Inning,1st Batter G,3,,3,3,,0,0,0,0,0,,,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,46,,61,58,,18,6,0,0,0,,,3,6,0.31,0.344,0.414,0.758,24,0,0,0,0,0,0,0.346,105,118,12
Batting Order Positions,Batting 1st,3,3,17,13,3,4,0,0,0,0,1,0,4,3,0.308,0.471,0.308,0.778,4,0,0,0,0,0,0,0.4,115,120,4
Batting Order Positions,Batting 2nd,3,3,14,12,1,2,0,1,0,1,1,0,2,4,0.167,0.286,0.333,0.619,4,0,0,0,0,0,0,0.25,68,65,1
Batting Order Positions,Batting 4th,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Batting Order Positions,Batting 5th,1,1,5,3,1,1,0,0,0,1,0,0,1,1,0.333,0.4,0.333,0.733,1,0,0,0,1,0,0,0.333,101,109,1
