Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,10,224.0,205,24.0,55,9,1,9,8,2,16,60,3.75,0.268,0.33,0.454,0.784,93.0,3.0,3.0,0,0,0,0,0.338,100,119,36
Season Totals,Last 7 days,1,23.0,21,0.0,4,0,0,0,1,1,2,8,4.0,0.191,0.261,0.191,0.451,4.0,0.0,0.0,0,0,0,0,0.308,21,34,4
Season Totals,Last 14 days,2,46.0,42,1.0,10,0,0,0,2,1,4,18,4.5,0.238,0.304,0.238,0.542,10.0,1.0,0.0,0,0,0,0,0.417,45,56,10
Season Totals,Last 28 days,3,69.0,64,3.0,16,3,0,0,4,2,4,22,5.5,0.25,0.304,0.297,0.601,19.0,1.0,1.0,0,0,0,0,0.381,58,68,13
Season Totals,Last 365 days,17,402.0,377,32.0,83,13,2,12,9,3,21,112,5.33,0.22,0.266,0.361,0.627,136.0,4.0,3.0,0,1,0,1,0.28,60,,56
Platoon Splits,vs RHB,10,100.0,92,12.0,27,3,1,5,1,1,6,22,3.67,0.294,0.35,0.511,0.861,47.0,2.0,2.0,0,0,0,0,0.339,119,142,18
Platoon Splits,vs LHB,10,124.0,113,11.0,28,6,0,4,7,1,10,38,3.8,0.248,0.315,0.407,0.722,46.0,1.0,1.0,0,0,0,0,0.338,85,99,18
Platoon Splits,vs RHB as RHP,10,100.0,92,12.0,27,3,1,5,1,1,6,22,3.67,0.294,0.35,0.511,0.861,47.0,2.0,2.0,0,0,0,0,0.339,119,147,18
Platoon Splits,vs LHB as RHP,10,124.0,113,11.0,28,6,0,4,7,1,10,38,3.8,0.248,0.315,0.407,0.722,46.0,1.0,1.0,0,0,0,0,0.338,85,96,18
Home or Away,Home,6,136.0,127,16.0,36,8,0,5,6,1,8,39,4.88,0.284,0.331,0.465,0.796,59.0,1.0,1.0,0,0,0,0,0.374,103,125,23
Home or Away,Away,4,88.0,78,8.0,19,1,1,4,2,1,8,21,2.63,0.244,0.33,0.436,0.765,34.0,2.0,2.0,0,0,0,0,0.283,96,111,13
First or Second Half,1st Half,5,103.0,92,14.0,25,4,1,5,3,0,9,26,2.89,0.272,0.35,0.5,0.85,46.0,2.0,2.0,0,0,0,0,0.328,116,138,15
First or Second Half,2nd Half,5,121.0,113,10.0,30,5,0,4,5,2,7,34,4.86,0.266,0.314,0.416,0.73,47.0,1.0,1.0,0,0,0,0,0.347,87,100,21
Months,June,3,57.0,49,9.0,13,3,0,4,1,0,6,11,1.83,0.265,0.368,0.571,0.94,28.0,2.0,2.0,0,0,0,0,0.265,137,158,6
Months,July,4,98.0,92,12.0,26,3,1,5,3,0,6,27,4.5,0.283,0.327,0.5,0.827,46.0,0.0,0.0,0,0,0,0,0.35,109,123,17
Months,August,3,69.0,64,3.0,16,3,0,0,4,2,4,22,5.5,0.25,0.304,0.297,0.601,19.0,1.0,1.0,0,0,0,0,0.381,58,69,13
Game Outcome for Pitcher,in Wins,4,92.0,85,3.0,18,1,1,1,3,1,5,29,5.8,0.212,0.272,0.282,0.554,24.0,1.0,2.0,0,0,0,0,0.309,45,112,15
Game Outcome for Pitcher,in Losses,2,48.0,42,12.0,15,2,0,7,0,0,6,4,0.67,0.357,0.438,0.905,1.342,38.0,1.0,0.0,0,0,0,0,0.258,232,168,6
Game Outcome for Pitcher,in No Dec.,4,84.0,78,9.0,22,6,0,1,5,1,5,27,5.4,0.282,0.333,0.397,0.731,31.0,1.0,1.0,0,0,0,0,0.42,88,109,15
Pitching Role,as Starter,10,224.0,205,24.0,55,9,1,9,8,2,16,60,3.75,0.268,0.33,0.454,0.784,93.0,3.0,3.0,0,0,0,0,0.338,100,116,36
Run Support,3-5 Runs Scored,5,120.0,112,10.0,29,4,1,3,5,2,7,33,4.71,0.259,0.308,0.393,0.701,44.0,1.0,1.0,0,0,0,0,0.342,80,97,21
Run Support,6+ Runs Scored,5,104.0,93,14.0,26,5,0,6,3,0,9,27,3.0,0.28,0.356,0.527,0.883,49.0,2.0,2.0,0,0,0,0,0.333,124,145,15
Batting Order Positions,Batting 1st,10,29.0,28,3.0,10,2,0,1,0,0,1,7,7.0,0.357,0.379,0.536,0.915,15.0,0.0,0.0,0,0,0,0,0.45,133,147,7
Batting Order Positions,Batting 2nd,10,29.0,25,2.0,4,1,0,1,4,0,3,8,2.67,0.16,0.276,0.32,0.596,8.0,1.0,1.0,0,0,0,0,0.188,54,58,2
Batting Order Positions,Batting 3rd,10,28.0,27,1.0,7,1,0,1,0,0,0,6,,0.259,0.286,0.407,0.693,11.0,1.0,1.0,0,0,0,0,0.3,76,76,5
Batting Order Positions,Batting 4th,10,27.0,26,6.0,6,2,0,2,1,1,1,8,8.0,0.231,0.259,0.539,0.798,14.0,0.0,0.0,0,0,0,0,0.25,97,109,2
Batting Order Positions,Batting 5th,10,26.0,21,0.0,5,0,0,0,1,0,5,5,1.0,0.238,0.385,0.238,0.623,5.0,1.0,0.0,0,0,0,0,0.313,69,81,5
Batting Order Positions,Batting 6th,10,23.0,22,2.0,6,2,0,0,1,1,1,7,7.0,0.273,0.304,0.364,0.668,8.0,0.0,0.0,0,0,0,0,0.4,72,95,4
Batting Order Positions,Batting 7th,10,22.0,19,5.0,7,1,0,2,0,0,2,5,2.5,0.368,0.455,0.737,1.191,14.0,0.0,1.0,0,0,0,0,0.417,200,241,4
Batting Order Positions,Batting 8th,10,20.0,18,0.0,5,0,0,0,1,0,2,6,3.0,0.278,0.35,0.278,0.628,5.0,0.0,0.0,0,0,0,0,0.417,67,95,5
Batting Order Positions,Batting 9th,10,20.0,19,4.0,5,0,1,2,0,0,1,8,8.0,0.263,0.3,0.684,0.984,13.0,0.0,0.0,0,0,0,0,0.333,142,207,2
Batting Order Positions,"Bat1-2,non-P",10,58.0,53,5.0,14,3,0,2,4,0,4,15,3.75,0.264,0.328,0.434,0.762,23.0,1.0,1.0,0,0,0,0,0.333,95,103,9
