Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,87,83,353,324,40,78,13,0,22,56,0,0,27,106,0.241,0.3,0.485,0.785,157,12,1,0,1,0,1,0.284,100,117,43
Season Totals,Last 7 days,6,6,24,21,2,5,0,0,2,4,0,0,3,7,0.238,0.333,0.524,0.857,11,1,0,0,0,0,0,0.25,119,147,3
Season Totals,Last 14 days,11,11,45,38,4,9,1,0,4,10,0,0,6,12,0.237,0.333,0.579,0.912,22,1,0,0,1,0,0,0.217,130,153,4
Season Totals,Last 28 days,18,17,72,64,6,14,3,0,4,11,0,0,7,16,0.219,0.292,0.453,0.745,29,3,0,0,1,0,0,0.222,91,102,7
Season Totals,Last 365 days,112,108,461,421,50,96,17,0,28,71,0,0,38,149,0.228,0.293,0.468,0.761,197,17,1,0,1,0,2,0.278,94,,51
Platoon Splits,vs RHP,83,,251,228,31,55,9,0,18,47,0,0,22,77,0.241,0.311,0.518,0.828,118,9,1,0,0,0,0,0.278,111,130,28
Platoon Splits,vs LHP,47,,102,96,9,23,4,0,4,9,0,0,5,29,0.24,0.275,0.406,0.681,39,3,0,0,1,0,1,0.297,75,88,15
Platoon Splits,vs RHP as RHB,83,,251,228,,55,9,0,18,47,0,0,22,77,0.241,0.311,0.518,0.828,118,9,1,0,0,0,0,0.278,111,136,28
Platoon Splits,vs LHP as RHB,47,,102,96,,23,4,0,4,9,0,0,5,29,0.24,0.275,0.406,0.681,39,3,0,0,1,0,1,0.297,75,84,15
Platoon Splits,vs RH Starter,60,56,241,220,31,51,9,0,17,41,0,0,20,76,0.232,0.299,0.505,0.803,111,10,1,0,0,0,0,0.268,104,122,25
Platoon Splits,vs LH Starter,27,27,112,104,9,27,4,0,5,15,0,0,7,30,0.26,0.304,0.442,0.746,46,2,0,0,1,0,1,0.314,93,107,18
Home or Away,Home,47,45,184,169,23,41,10,0,14,38,0,0,14,53,0.243,0.299,0.55,0.849,93,7,0,0,1,0,1,0.262,113,130,17
Home or Away,Away,40,38,169,155,17,37,3,0,8,18,0,0,13,53,0.239,0.302,0.413,0.715,64,5,1,0,0,0,0,0.309,86,103,26
First or Second Half,1st Half,69,66,281,260,34,64,10,0,18,45,0,0,20,90,0.246,0.303,0.492,0.795,128,9,1,0,0,0,1,0.303,102,121,36
First or Second Half,2nd Half,18,17,72,64,6,14,3,0,4,11,0,0,7,16,0.219,0.292,0.453,0.745,29,3,0,0,1,0,0,0.222,91,103,7
