Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,93,82,329,303,25,73,10,1,5,38,0,0,20,50,0.241,0.286,0.33,0.616,100,12,1,0,5,1,5,0.269,100,74,57
Season Totals,Last 7 days,3,2,8,7,0,0,0,0,0,1,0,0,1,1,0.0,0.125,0.0,0.125,0,0,0,0,0,0,0,0.0,-56,-59,0
Season Totals,Last 14 days,9,7,31,28,4,7,2,0,1,4,0,0,3,3,0.25,0.323,0.429,0.751,12,0,0,0,0,0,0,0.25,143,108,4
Season Totals,Last 28 days,19,15,60,53,5,10,2,0,1,6,0,0,6,9,0.189,0.267,0.283,0.55,15,2,0,0,1,1,1,0.205,79,52,7
Season Totals,Last 365 days,93,82,329,303,25,73,10,1,5,38,0,0,20,50,0.241,0.286,0.33,0.616,100,12,1,0,5,1,5,0.269,100,,57
Platoon Splits,vs RHP,82,,252,235,20,62,8,1,5,33,0,0,13,37,0.264,0.302,0.37,0.672,87,7,1,0,3,0,5,0.291,118,90,48
Platoon Splits,vs LHP,43,,77,68,5,11,2,0,0,5,0,0,7,13,0.162,0.234,0.191,0.425,13,5,0,0,2,1,0,0.193,40,22,9
Platoon Splits,vs RHP as RHB,82,,252,235,,62,8,1,5,33,0,0,13,37,0.264,0.302,0.37,0.672,87,7,1,0,3,0,5,0.291,118,95,48
Platoon Splits,vs LHP as RHB,43,,77,68,,11,2,0,0,5,0,0,7,13,0.162,0.234,0.191,0.425,13,5,0,0,2,1,0,0.193,40,19,9
Platoon Splits,vs RH Starter,74,65,261,241,19,59,7,1,4,33,0,0,15,34,0.245,0.284,0.332,0.616,80,9,0,0,5,1,5,0.264,100,74,47
Platoon Splits,vs LH Starter,19,17,68,62,6,14,3,0,1,5,0,0,5,16,0.226,0.294,0.323,0.617,20,3,1,0,0,0,0,0.289,101,74,10
