Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,122,120,513,450,54,107,20,0,10,45,4,3,51,108,0.238,0.315,0.349,0.664,157,6,3,2,7,0,4,0.286,100,88,77
Season Totals,Last 7 days,6,6,28,22,4,5,1,0,0,0,0,0,6,5,0.227,0.393,0.273,0.666,6,0,0,0,0,0,1,0.294,103,101,4
Season Totals,Last 14 days,13,13,59,50,6,13,2,0,0,2,0,0,9,7,0.26,0.373,0.3,0.673,15,0,0,0,0,0,1,0.302,104,96,11
Season Totals,Last 28 days,23,23,107,92,9,22,3,0,0,8,0,0,13,16,0.239,0.327,0.272,0.599,25,0,0,0,2,0,2,0.282,82,70,19
Season Totals,Last 365 days,155,153,657,574,78,145,29,0,16,63,5,4,70,131,0.253,0.334,0.387,0.721,222,7,4,2,7,0,4,0.297,117,,100
Platoon Splits,vs RHP,119,,382,335,37,79,16,0,5,36,1,1,37,79,0.236,0.311,0.328,0.639,110,5,2,2,6,0,3,0.288,93,82,58
Platoon Splits,vs LHP,67,,131,115,17,28,4,0,5,9,3,2,14,29,0.244,0.328,0.409,0.737,47,1,1,0,1,0,1,0.281,121,106,19
Platoon Splits,vs RHP as RHB,119,,382,335,,79,16,0,5,36,0,0,37,79,0.236,0.311,0.328,0.639,110,5,2,2,6,0,3,0.288,93,87,58
Platoon Splits,vs LHP as RHB,67,,131,115,,28,4,0,5,9,0,0,14,29,0.244,0.328,0.409,0.737,47,1,1,0,1,0,1,0.281,121,101,19
Platoon Splits,vs RH Starter,89,87,370,330,38,84,17,0,5,34,4,1,32,73,0.255,0.32,0.352,0.671,116,6,2,1,5,0,3,0.307,102,90,62
Platoon Splits,vs LH Starter,33,33,143,120,16,23,3,0,5,11,0,2,19,35,0.192,0.303,0.342,0.645,41,0,1,1,2,0,1,0.22,94,82,15
Home or Away,Home,58,57,233,205,21,45,7,0,5,19,1,1,23,52,0.22,0.296,0.327,0.623,67,4,1,0,4,0,2,0.263,88,74,33
Home or Away,Away,64,63,280,245,33,62,13,0,5,26,3,2,28,56,0.253,0.331,0.367,0.698,90,2,2,2,3,0,2,0.305,110,100,44
First or Second Half,1st Half,93,91,380,334,42,77,15,0,8,35,4,3,36,86,0.231,0.307,0.347,0.654,116,5,3,2,5,0,2,0.282,97,86,54
