Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,8,8,30,29,2,7,3,0,1,2,0,0,1,15,0.241,0.267,0.448,0.715,13,0,0,0,0,0,0,0.462,100,97,3
Season Totals,Last 7 days,6,6,22,22,1,5,3,0,0,0,0,0,0,13,0.227,0.227,0.364,0.591,8,0,0,0,0,0,0,0.556,66,71,2
Season Totals,Last 14 days,8,8,30,29,2,7,3,0,1,2,0,0,1,15,0.241,0.267,0.448,0.715,13,0,0,0,0,0,0,0.462,100,99,3
Season Totals,Last 28 days,8,8,30,29,2,7,3,0,1,2,0,0,1,15,0.241,0.267,0.448,0.715,13,0,0,0,0,0,0,0.462,100,93,3
Season Totals,Last 365 days,8,8,30,29,2,7,3,0,1,2,0,0,1,15,0.241,0.267,0.448,0.715,13,0,0,0,0,0,0,0.462,100,,3
Platoon Splits,vs RHP,8,,22,22,2,5,2,0,1,1,0,0,0,10,0.227,0.227,0.455,0.682,10,0,0,0,0,0,0,0.364,87,87,2
Platoon Splits,vs LHP,3,,8,7,,2,1,0,0,1,0,0,1,5,0.286,0.375,0.429,0.804,3,0,0,0,0,0,0,1.0,136,126,1
Platoon Splits,vs RHP as LHB,8,,22,22,,5,2,0,1,1,0,0,0,10,0.227,0.227,0.455,0.682,10,0,0,0,0,0,0,0.364,87,81,2
Platoon Splits,vs LHP as LHB,3,,8,7,,2,1,0,0,1,0,0,1,5,0.286,0.375,0.429,0.804,3,0,0,0,0,0,0,1.0,136,141,1
Platoon Splits,vs RH Starter,5,5,19,19,1,4,2,0,0,0,0,0,0,8,0.211,0.211,0.316,0.526,6,0,0,0,0,0,0,0.364,50,46,2
Platoon Splits,vs LH Starter,3,3,11,10,1,3,1,0,1,2,0,0,1,7,0.3,0.364,0.7,1.064,7,0,0,0,0,0,0,1.0,193,191,1
Home or Away,Home,5,5,19,18,2,3,0,0,1,2,0,0,1,10,0.167,0.211,0.333,0.544,6,0,0,0,0,0,0,0.286,53,49,2
Home or Away,Away,3,3,11,11,0,4,3,0,0,0,0,0,0,5,0.364,0.364,0.636,1.0,7,0,0,0,0,0,0,0.667,178,179,1
First or Second Half,2nd Half,8,8,30,29,2,7,3,0,1,2,0,0,1,15,0.241,0.267,0.448,0.715,13,0,0,0,0,0,0,0.462,100,94,3
Months,August,8,8,30,29,2,7,3,0,1,2,0,0,1,15,0.241,0.267,0.448,0.715,13,0,0,0,0,0,0,0.462,100,95,3
Game Outcome for Team,in Wins,4,4,16,15,2,4,1,0,1,2,0,0,1,9,0.267,0.313,0.533,0.846,8,0,0,0,0,0,0,0.6,136,100,2
Game Outcome for Team,in Losses,4,4,14,14,0,3,2,0,0,0,0,0,0,6,0.214,0.214,0.357,0.571,5,0,0,0,0,0,0,0.375,60,92,1
Starter or Substitute,as Starter,8,8,30,29,2,7,3,0,1,2,0,0,1,15,0.241,0.267,0.448,0.715,13,0,0,0,0,0,0,0.462,100,97,3
Defensive Positions,as CF,8,,30,29,2,7,3,0,1,2,0,0,1,15,0.241,0.267,0.448,0.715,13,0,0,0,0,0,0,0.462,100,102,3
Leading Off Inning,Leadoff Inn.,6,,7,7,,1,1,0,0,0,,,0,5,0.143,0.143,0.286,0.429,2,0,0,0,0,0,0,0.5,17,19,0
Batting Order Positions,Batting 8th,3,3,12,12,1,2,1,0,0,0,0,0,0,7,0.167,0.167,0.25,0.417,3,0,0,0,0,0,0,0.4,18,25,1
Batting Order Positions,Batting 9th,5,5,18,17,1,5,2,0,1,2,0,0,1,8,0.294,0.333,0.588,0.922,10,0,0,0,0,0,0,0.5,156,191,2
Swung or Took First Pitch of PA,Swung at 1st Pitch,8,,10,10,,2,1,0,1,1,,,0,3,0.2,0.2,0.6,0.8,6,0,0,0,0,0,0,0.167,109,112,0
Swung or Took First Pitch of PA,Took 1st Pitch,8,,20,19,,5,2,0,0,1,,,1,12,0.263,0.3,0.368,0.668,7,0,0,0,0,0,0,0.714,95,87,3
Count/Balls-Strikes,First Pitch,3,,3,3,2,2,1,0,1,1,0,0,0,0,0.667,0.667,2.0,2.667,6,0,0,0,0,0,0,0.5,596,453,0
Count/Balls-Strikes,3-0 Count,1,,1,0,,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,1-1 Count,2,,2,2,,1,0,0,0,1,0,0,0,0,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,0.5,199,149,1
Count/Balls-Strikes,2-1 Count,1,,1,1,,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,498,364,1
Count/Balls-Strikes,0-2 Count,2,,4,4,,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,1-2 Count,4,,6,6,,1,1,0,0,0,0,0,0,3,0.167,0.167,0.333,0.5,2,0,0,0,0,0,0,0.333,37,134,0
Count/Balls-Strikes,2-2 Count,5,,7,7,,1,0,0,0,0,0,0,0,6,0.143,0.143,0.143,0.286,1,0,0,0,0,0,0,1.0,-15,33,1
Count/Balls-Strikes,Full Count,4,,5,5,,1,1,0,0,0,0,0,0,4,0.2,0.2,0.4,0.6,2,0,0,0,0,0,0,1.0,64,65,0
Count/Balls-Strikes,After 1-0,7,,11,10,,3,1,0,0,0,,,1,7,0.3,0.364,0.4,0.764,4,0,0,0,0,0,0,1.0,126,91,2
Count/Balls-Strikes,After 2-0,3,,3,2,,0,0,0,0,0,,,1,2,0.0,0.333,0.0,0.333,0,0,0,0,0,0,0,,25,-33,0
Count/Balls-Strikes,After 3-0,2,,2,1,,0,0,0,0,0,,,1,1,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,,87,-32,0
