Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,128,128,580,507,101,144,24,6,33,78,15,2,65,130,0.284,0.371,0.55,0.921,279,2,6,0,2,1,2,0.321,100,156,81
Season Totals,Last 7 days,7,7,29,26,5,6,1,0,2,4,1,0,3,7,0.231,0.31,0.5,0.81,13,0,0,0,0,0,0,0.235,75,134,3
Season Totals,Last 14 days,13,13,57,51,8,15,2,0,4,9,1,0,6,12,0.294,0.368,0.569,0.937,29,0,0,0,0,0,0,0.314,103,162,9
Season Totals,Last 28 days,26,26,115,102,20,29,4,1,5,15,1,0,13,22,0.284,0.365,0.49,0.855,50,1,0,0,0,0,0,0.32,88,134,19
Season Totals,Last 365 days,163,163,739,656,130,185,33,9,40,99,18,3,74,165,0.282,0.359,0.543,0.901,356,4,6,0,3,1,3,0.319,96,,103
Platoon Splits,vs RHP,118,,399,356,78,104,19,3,25,56,9,2,39,83,0.292,0.366,0.573,0.939,204,1,3,0,1,1,1,0.317,103,161,57
Platoon Splits,vs LHP,84,,181,151,23,40,5,3,8,22,6,0,26,47,0.265,0.381,0.497,0.878,75,1,3,0,1,0,1,0.33,93,145,24
Platoon Splits,vs RHP as LHB,118,,399,356,,104,19,3,25,56,0,0,39,83,0.292,0.366,0.573,0.939,204,1,3,0,1,1,1,0.317,103,152,57
Platoon Splits,vs LHP as LHB,84,,181,151,,40,5,3,8,22,0,0,26,47,0.265,0.381,0.497,0.878,75,1,3,0,1,0,1,0.33,93,162,24
Platoon Splits,vs RH Starter,93,93,424,377,79,111,19,5,27,59,9,2,42,86,0.294,0.37,0.586,0.957,221,1,4,0,1,1,1,0.317,106,165,60
Platoon Splits,vs LH Starter,35,35,156,130,22,33,5,1,6,19,6,0,23,44,0.254,0.372,0.446,0.818,58,1,2,0,1,0,1,0.333,81,130,21
Home or Away,Home,65,65,288,257,47,70,7,3,20,47,5,0,28,69,0.272,0.347,0.556,0.904,143,2,2,0,1,1,0,0.296,95,146,40
Home or Away,Away,63,63,292,250,54,74,17,3,13,31,10,2,37,61,0.296,0.394,0.544,0.938,136,0,4,0,1,0,2,0.345,105,166,41
First or Second Half,1st Half,95,95,432,377,78,108,18,5,28,63,14,1,47,102,0.287,0.373,0.584,0.956,220,1,6,0,2,1,1,0.321,107,167,57
First or Second Half,2nd Half,33,33,148,130,23,36,6,1,5,15,1,1,18,28,0.277,0.365,0.454,0.819,59,1,0,0,0,0,1,0.32,81,127,24
Months,April/March,29,29,132,117,25,34,3,3,10,24,6,0,8,34,0.291,0.356,0.624,0.98,73,0,5,0,2,0,0,0.32,109,176,18
Months,May,26,26,116,95,17,21,3,1,8,17,1,0,21,25,0.221,0.362,0.526,0.888,50,0,0,0,0,1,0,0.21,93,154,9
Months,June,28,28,132,114,31,39,11,0,8,17,6,1,17,29,0.342,0.432,0.649,1.081,74,0,1,0,0,0,0,0.403,134,198,20
Months,July,24,24,108,98,15,27,3,2,2,7,1,1,10,24,0.276,0.343,0.408,0.751,40,2,0,0,0,0,2,0.347,67,106,20
Months,August,21,21,92,83,13,23,4,0,5,13,1,0,9,18,0.277,0.348,0.506,0.854,42,0,0,0,0,0,0,0.3,86,135,14
Game Outcome for Team,in Wins,74,74,345,301,82,104,15,6,24,58,9,1,38,72,0.346,0.426,0.674,1.101,203,1,5,0,1,1,2,0.388,137,161,59
Game Outcome for Team,in Losses,54,54,235,206,19,40,9,0,9,20,6,1,27,58,0.194,0.289,0.369,0.658,76,1,1,0,1,0,0,0.221,45,123,22
Starter or Substitute,as Starter,128,128,580,507,101,144,24,6,33,78,15,2,65,130,0.284,0.371,0.55,0.921,279,2,6,0,2,1,2,0.321,100,155,81
Defensive Positions,as SS,126,,571,501,100,144,24,6,33,78,15,2,62,127,0.287,0.371,0.557,0.928,279,2,6,0,2,1,2,0.324,101,149,81
Defensive Positions,as DH,2,,9,6,1,0,0,0,0,0,0,0,3,3,0.0,0.333,0.0,0.333,0,0,0,0,0,0,0,0.0,-10,3,0
Leading Off Inning,1st Batter G,96,,96,87,,26,5,0,8,8,,,6,22,0.299,0.365,0.632,0.997,55,0,3,0,0,0,0,0.316,113,172,13
Leading Off Inning,Leadoff Inn.,116,,189,172,,56,8,2,15,16,,,13,37,0.326,0.386,0.657,1.043,113,0,4,0,0,0,0,0.342,124,193,31
Batting Order Positions,Batting 1st,96,96,439,386,77,111,19,5,27,61,14,2,45,101,0.288,0.369,0.573,0.942,221,1,6,0,2,1,2,0.323,104,154,60
Batting Order Positions,Batting 3rd,25,25,111,98,20,28,4,1,5,15,1,0,13,21,0.286,0.369,0.5,0.869,49,1,0,0,0,0,0,0.319,90,122,18
