Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,108,87,358,331,48,85,18,0,8,41,15,8,16,78,0.257,0.302,0.384,0.685,127,5,7,0,4,1,2,0.309,100,92,59
Season Totals,Last 7 days,7,4,18,15,2,1,0,0,0,0,0,0,2,5,0.067,0.222,0.067,0.289,1,0,1,0,0,0,0,0.1,-9,-10,1
Season Totals,Last 14 days,12,8,32,28,4,3,0,0,0,0,0,0,2,6,0.107,0.219,0.107,0.326,3,0,2,0,0,0,0,0.136,0,-4,3
Season Totals,Last 28 days,19,14,56,50,8,10,2,0,0,5,1,0,3,12,0.2,0.286,0.24,0.526,12,0,3,0,0,0,0,0.263,57,48,8
Season Totals,Last 365 days,131,103,421,388,54,93,20,0,8,44,21,9,22,88,0.24,0.29,0.353,0.643,137,6,7,0,4,1,2,0.287,88,,65
Platoon Splits,vs RHP,96,,241,223,40,63,13,0,6,28,12,7,10,52,0.283,0.328,0.422,0.749,94,1,6,0,2,0,1,0.341,119,111,44
Platoon Splits,vs LHP,64,,117,108,8,22,5,0,2,13,3,1,6,26,0.204,0.248,0.306,0.554,33,4,1,0,2,1,1,0.244,62,55,15
Platoon Splits,vs RHP as RHB,96,,241,223,,63,13,0,6,28,0,0,10,52,0.283,0.328,0.422,0.749,94,1,6,0,2,0,1,0.341,119,117,44
Platoon Splits,vs LHP as RHB,64,,117,108,,22,5,0,2,13,0,0,6,26,0.204,0.248,0.306,0.554,33,4,1,0,2,1,1,0.244,62,51,15
Platoon Splits,vs RH Starter,75,54,230,215,34,59,14,0,5,20,9,5,11,52,0.274,0.322,0.409,0.731,88,2,4,0,0,1,1,0.342,113,106,40
Platoon Splits,vs LH Starter,33,33,128,116,14,26,4,0,3,21,6,3,5,26,0.224,0.266,0.336,0.602,39,3,3,0,4,0,1,0.253,76,68,19
Home or Away,Home,57,46,187,171,25,39,6,0,6,21,5,3,12,41,0.228,0.294,0.368,0.663,63,3,4,0,0,1,0,0.266,93,84,27
Home or Away,Away,51,41,171,160,23,46,12,0,2,20,10,5,4,37,0.288,0.31,0.4,0.71,64,2,3,0,4,0,2,0.352,107,102,32
First or Second Half,1st Half,84,69,285,264,39,72,15,0,8,36,13,6,13,62,0.273,0.312,0.421,0.733,111,5,4,0,4,1,1,0.323,113,106,49
First or Second Half,2nd Half,24,18,73,67,9,13,3,0,0,5,2,2,3,16,0.194,0.26,0.239,0.499,16,0,3,0,0,0,1,0.255,48,41,10
Months,April/March,24,22,86,83,10,23,2,0,1,7,5,1,2,18,0.277,0.302,0.337,0.64,28,2,1,0,0,1,0,0.344,88,84,20
Months,May,26,19,85,75,8,20,5,0,1,9,3,3,8,20,0.267,0.353,0.373,0.726,28,2,2,0,0,0,1,0.352,114,111,14
Months,June,22,18,75,69,13,18,7,0,4,15,3,1,3,12,0.261,0.28,0.536,0.816,37,0,0,0,3,0,0,0.25,132,121,7
Months,July,19,16,64,60,11,15,2,0,2,6,3,3,1,18,0.25,0.281,0.383,0.665,23,1,2,0,1,0,1,0.317,93,81,11
Months,August,17,12,48,44,6,9,2,0,0,4,1,0,2,10,0.205,0.271,0.25,0.521,11,0,2,0,0,0,0,0.265,55,47,7
Game Outcome for Team,in Wins,60,48,207,189,38,63,16,0,7,34,12,4,8,38,0.333,0.372,0.529,0.901,100,3,6,0,4,1,0,0.378,161,116,40
Game Outcome for Team,in Losses,48,39,151,142,10,22,2,0,1,7,3,4,8,40,0.155,0.205,0.19,0.395,27,2,1,0,0,0,2,0.208,17,36,19
Starter or Substitute,as Starter,87,87,332,307,45,79,15,0,8,40,15,8,14,70,0.257,0.301,0.384,0.686,118,5,7,0,4,1,2,0.305,100,92,56
Starter or Substitute,as Sub,21,0,26,24,3,6,3,0,0,1,0,0,2,8,0.25,0.308,0.375,0.683,9,0,0,0,0,0,0,0.375,100,109,3
Defensive Positions,as CF,102,,350,324,47,85,18,0,8,41,15,8,15,76,0.262,0.306,0.392,0.698,127,5,7,0,4,1,2,0.316,103,101,59
Defensive Positions,as DH,1,,2,2,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as PH,7,,7,6,,0,0,0,0,0,0,0,1,1,0.0,0.143,0.0,0.143,0,0,0,0,0,0,0,0.0,-53,-51,0
Defensive Positions,as PH for DH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as PR,,,,,1,,,,,,0,0,,,,,,,,,,,,,,,,,
Leading Off Inning,Leadoff Inn.,59,,84,79,,18,3,0,1,1,,,2,17,0.228,0.274,0.304,0.578,24,0,3,0,0,0,2,0.279,70,67,14
Batting Order Positions,Batting 2nd,4,3,14,13,4,5,1,0,1,2,2,0,0,3,0.385,0.429,0.692,1.121,9,1,1,0,0,0,0,0.444,222,190,3
Batting Order Positions,Batting 4th,2,0,2,2,1,2,1,0,0,0,0,0,0,0,1.0,1.0,1.5,2.5,3,0,0,0,0,0,0,1.0,622,572,1
Batting Order Positions,Batting 5th,10,0,14,12,0,2,1,0,0,1,0,0,2,4,0.167,0.286,0.25,0.536,3,0,0,0,0,0,0,0.25,60,52,1
Batting Order Positions,Batting 6th,3,0,4,4,1,1,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,1.0,48,48,1
Batting Order Positions,Batting 7th,24,22,89,80,10,18,3,0,1,14,1,2,5,17,0.225,0.27,0.3,0.57,24,2,1,0,3,0,1,0.262,68,67,14
Batting Order Positions,Batting 8th,21,21,76,69,8,21,3,0,2,8,5,2,5,20,0.304,0.368,0.435,0.803,30,1,2,0,0,1,0,0.404,135,144,16
Batting Order Positions,Batting 9th,44,41,159,151,24,36,9,0,4,16,7,4,4,31,0.238,0.27,0.378,0.648,57,1,3,0,1,0,1,0.274,88,107,23
Swung or Took First Pitch of PA,Swung at 1st Pitch,64,,88,86,,23,5,0,4,18,,,0,18,0.267,0.261,0.465,0.727,40,1,0,0,2,0,0,0.288,108,102,14
Swung or Took First Pitch of PA,Took 1st Pitch,103,,270,245,,62,13,0,4,23,,,16,60,0.253,0.315,0.355,0.67,87,4,7,0,2,1,2,0.317,97,88,45
Count/Balls-Strikes,First Pitch,35,,40,36,7,11,1,0,2,9,6,4,0,0,0.306,0.325,0.5,0.825,18,0,2,0,2,0,0,0.25,138,84,8
Count/Balls-Strikes,1-0 Count,22,,22,21,3,5,0,0,0,1,1,1,0,0,0.238,0.227,0.238,0.465,5,1,0,0,1,0,1,0.227,37,8,5
Count/Balls-Strikes,2-0 Count,5,,5,4,2,1,0,0,0,1,0,0,0,0,0.25,0.4,0.25,0.65,1,0,1,0,0,0,0,0.25,98,56,1
