Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,90,89,390,355,40,101,16,2,19,62,4,1,31,107,0.285,0.341,0.501,0.842,178,8,1,0,3,2,5,0.353,100,134,64
Season Totals,Last 7 days,6,6,25,22,5,7,2,0,2,6,0,0,2,9,0.318,0.36,0.682,1.042,15,1,0,0,1,0,0,0.417,142,198,3
Season Totals,Last 14 days,12,12,50,46,6,12,3,1,2,7,0,0,3,17,0.261,0.3,0.5,0.8,23,2,0,0,1,0,1,0.357,88,122,6
Season Totals,Last 28 days,22,22,92,85,10,21,3,1,4,10,2,1,6,28,0.247,0.294,0.447,0.741,38,2,0,0,1,0,3,0.315,75,101,13
Season Totals,Last 365 days,98,94,406,370,41,102,16,2,19,62,4,1,32,113,0.276,0.333,0.484,0.816,179,8,1,0,3,2,5,0.344,94,,65
Platoon Splits,vs RHP,87,,284,263,26,65,8,1,10,40,3,0,19,82,0.247,0.296,0.399,0.695,105,7,0,0,2,0,4,0.318,66,95,46
Platoon Splits,vs LHP,43,,106,92,14,36,8,1,9,22,1,1,12,25,0.391,0.462,0.794,1.256,73,1,1,0,1,2,1,0.458,194,244,18
Platoon Splits,vs RHP as RHB,87,,284,263,,65,8,1,10,40,0,0,19,82,0.247,0.296,0.399,0.695,105,7,0,0,2,0,4,0.318,66,101,46
Platoon Splits,vs LHP as RHB,43,,106,92,,36,8,1,9,22,0,0,12,25,0.391,0.462,0.794,1.256,73,1,1,0,1,2,1,0.458,194,235,18
Platoon Splits,vs RH Starter,59,58,249,232,21,58,2,1,10,35,2,0,15,68,0.25,0.293,0.397,0.69,92,6,0,0,2,1,4,0.308,65,93,45
Platoon Splits,vs LH Starter,31,31,141,123,19,43,14,1,9,27,2,1,16,39,0.35,0.426,0.699,1.125,86,2,1,0,1,1,1,0.447,164,210,19
Home or Away,Home,49,49,212,192,21,58,12,2,7,35,1,1,17,58,0.302,0.354,0.495,0.849,95,2,0,0,3,2,4,0.392,103,134,37
Home or Away,Away,41,40,178,163,19,43,4,0,12,27,3,0,14,49,0.264,0.326,0.509,0.835,83,6,1,0,0,0,1,0.304,97,135,27
First or Second Half,1st Half,60,59,263,235,29,70,11,0,14,46,2,0,25,72,0.298,0.365,0.523,0.888,123,4,1,0,2,2,2,0.371,111,149,45
First or Second Half,2nd Half,30,30,127,120,11,31,5,2,5,16,2,1,6,35,0.258,0.291,0.458,0.75,55,4,0,0,1,0,3,0.321,77,104,19
Months,May,21,20,84,75,7,21,4,0,2,13,1,0,9,26,0.28,0.357,0.413,0.77,31,2,0,0,0,1,0,0.404,87,123,15
Months,June,27,27,128,112,15,34,6,0,8,24,0,0,13,30,0.304,0.375,0.571,0.946,64,1,1,0,2,1,2,0.342,124,160,20
Months,July,24,24,101,97,8,27,3,1,5,16,1,1,4,26,0.278,0.307,0.485,0.791,47,3,0,0,0,0,0,0.333,87,113,18
Months,August,18,18,77,71,10,19,3,1,4,9,2,0,5,25,0.268,0.312,0.507,0.819,36,2,0,0,1,0,3,0.349,93,124,11
Game Outcome for Team,in Wins,46,46,203,182,26,56,8,1,11,34,2,0,19,54,0.308,0.37,0.544,0.914,99,4,0,0,2,2,3,0.378,117,118,36
Game Outcome for Team,in Losses,44,43,187,173,14,45,8,1,8,28,2,1,12,53,0.26,0.31,0.457,0.767,79,4,1,0,1,0,2,0.327,82,159,28
Starter or Substitute,as Starter,89,89,389,354,40,101,16,2,19,62,4,1,31,107,0.285,0.342,0.503,0.845,178,8,1,0,3,2,5,0.355,101,134,64
Starter or Substitute,as Sub,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as LF,27,,111,98,12,30,5,0,6,22,1,0,13,36,0.306,0.387,0.541,0.928,53,3,0,0,0,1,0,0.429,122,160,19
Defensive Positions,as CF,57,,251,234,23,64,9,2,12,37,3,1,15,63,0.274,0.315,0.483,0.798,113,5,0,0,2,1,5,0.323,89,127,41
Defensive Positions,as RF,4,,15,11,3,4,1,0,1,1,0,0,3,4,0.364,0.533,0.727,1.261,8,0,1,0,0,0,0,0.5,201,244,2
Defensive Positions,as DH,3,,12,11,2,3,1,0,0,2,0,0,0,4,0.273,0.25,0.364,0.614,4,0,0,0,1,0,0,0.375,46,63,2
Defensive Positions,as PH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,1st Batter G,4,,4,3,,0,0,0,0,0,,,1,2,0.0,0.25,0.0,0.25,0,0,0,0,0,0,0,0.0,-27,-19,0
Leading Off Inning,Leadoff Inn.,55,,77,70,,23,3,1,5,5,,,6,24,0.329,0.39,0.614,1.004,43,0,1,0,0,1,2,0.439,137,183,14
Batting Order Positions,Batting 1st,4,4,19,16,1,5,0,0,1,4,0,0,2,6,0.313,0.421,0.5,0.921,8,0,1,0,0,0,0,0.444,123,152,4
