Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,26,592.0,533,61.0,133,15,2,16,15,8,52,151,2.9,0.25,0.321,0.375,0.696,200.0,12.0,5.0,0,2,0,2,0.318,100,96,100
Season Totals,Last 7 days,2,49.0,45,3.0,7,0,0,1,2,1,4,12,3.0,0.156,0.225,0.222,0.447,10.0,0.0,0.0,0,0,0,0,0.188,29,32,6
Season Totals,Last 14 days,3,70.0,64,5.0,12,0,0,1,2,2,6,21,3.5,0.188,0.257,0.234,0.492,15.0,1.0,0.0,0,0,0,0,0.262,43,42,11
Season Totals,Last 28 days,5,120.0,109,11.0,24,2,0,2,2,3,10,33,3.3,0.22,0.283,0.294,0.577,32.0,2.0,0.0,0,1,0,1,0.293,67,61,20
Season Totals,Last 365 days,33,718.0,642,87.0,160,20,2,24,21,8,66,186,2.82,0.249,0.325,0.399,0.723,256.0,13.0,7.0,0,3,0,2,0.313,108,,114
Platoon Splits,vs RHB,26,269.0,244,28.0,70,5,0,7,8,2,20,62,3.1,0.287,0.353,0.393,0.747,96.0,4.0,5.0,0,0,0,0,0.36,115,113,58
Platoon Splits,vs LHB,26,323.0,289,30.0,63,10,2,9,7,6,32,89,2.78,0.218,0.294,0.36,0.654,104.0,8.0,0.0,0,2,0,2,0.28,88,81,42
Platoon Splits,vs RHB as RHP,26,269.0,244,28.0,70,5,0,7,8,2,20,62,3.1,0.287,0.353,0.393,0.747,96.0,4.0,5.0,0,0,0,0,0.36,115,118,58
Platoon Splits,vs LHB as RHP,26,323.0,289,30.0,63,10,2,9,7,6,32,89,2.78,0.218,0.294,0.36,0.654,104.0,8.0,0.0,0,2,0,2,0.28,88,79,42
Home or Away,Home,12,276.0,247,28.0,55,5,1,10,6,6,27,70,2.59,0.223,0.304,0.373,0.677,92.0,7.0,2.0,0,0,0,2,0.27,94,93,39
Home or Away,Away,14,316.0,286,33.0,78,10,1,6,9,2,25,81,3.24,0.273,0.335,0.378,0.713,108.0,5.0,3.0,0,2,0,0,0.358,105,99,61
First or Second Half,1st Half,19,422.0,378,49.0,97,10,2,14,13,5,38,105,2.76,0.257,0.332,0.405,0.737,153.0,8.0,5.0,0,1,0,1,0.319,111,108,71
