Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,103,94,369,332,40,79,18,0,12,47,1,1,34,66,0.238,0.312,0.401,0.712,133,8,2,0,1,0,3,0.263,100,100,49
Season Totals,Last 7 days,5,5,22,19,4,8,1,0,1,3,0,0,3,3,0.421,0.5,0.632,1.132,12,1,0,0,0,0,1,0.467,218,231,6
Season Totals,Last 14 days,7,7,30,27,4,8,1,0,1,3,0,0,3,6,0.296,0.367,0.444,0.811,12,1,0,0,0,0,1,0.35,128,130,6
Season Totals,Last 28 days,20,20,86,79,9,22,3,0,3,12,0,0,6,18,0.279,0.326,0.43,0.756,34,1,0,0,1,0,1,0.322,112,107,16
Season Totals,Last 365 days,123,108,434,388,47,88,20,0,14,55,1,1,43,81,0.227,0.307,0.387,0.693,150,10,2,0,1,0,3,0.252,95,,54
Platoon Splits,vs RHP,91,,268,242,26,57,12,0,9,29,0,0,23,51,0.236,0.306,0.397,0.703,96,6,2,0,1,0,3,0.262,97,98,36
Platoon Splits,vs LHP,56,,101,90,14,22,6,0,3,18,1,1,11,15,0.244,0.327,0.411,0.738,37,2,0,0,0,0,0,0.264,107,106,13
Platoon Splits,vs RHP as RHB,91,,268,242,,57,12,0,9,29,0,0,23,51,0.236,0.306,0.397,0.703,96,6,2,0,1,0,3,0.262,97,103,36
Platoon Splits,vs LHP as RHB,56,,101,90,,22,6,0,3,18,0,0,11,15,0.244,0.327,0.411,0.738,37,2,0,0,0,0,0,0.264,107,101,13
Platoon Splits,vs RH Starter,80,72,283,253,32,58,13,0,10,35,1,0,27,56,0.229,0.307,0.399,0.707,101,4,2,0,1,0,2,0.255,98,98,35
Platoon Splits,vs LH Starter,23,22,86,79,8,21,5,0,2,12,0,1,7,10,0.266,0.326,0.405,0.731,32,4,0,0,0,0,1,0.284,106,105,14
Home or Away,Home,54,50,190,171,22,41,8,0,9,32,0,1,18,35,0.24,0.316,0.444,0.76,76,5,1,0,0,0,0,0.252,112,109,24
Home or Away,Away,49,44,179,161,18,38,10,0,3,15,1,0,16,31,0.236,0.307,0.354,0.661,57,3,1,0,1,0,3,0.273,87,89,25
First or Second Half,1st Half,76,68,259,235,28,53,14,0,8,30,1,0,23,45,0.226,0.297,0.387,0.685,91,6,1,0,0,0,2,0.247,92,93,31
First or Second Half,2nd Half,27,26,110,97,12,26,4,0,4,17,0,1,11,21,0.268,0.346,0.433,0.779,42,2,1,0,1,0,1,0.301,119,115,18
Months,April/March,26,24,87,80,7,12,3,0,2,10,0,0,7,17,0.15,0.218,0.263,0.481,21,1,0,0,0,0,1,0.164,36,38,7
Months,May,24,20,81,72,13,15,5,0,2,10,1,0,9,16,0.208,0.296,0.361,0.657,26,2,0,0,0,0,1,0.241,85,90,8
Months,June,15,14,51,45,5,15,3,0,4,8,0,0,5,7,0.333,0.412,0.667,1.079,30,2,1,0,0,0,0,0.324,198,196,8
Months,July,23,21,86,74,8,22,5,0,3,14,0,1,10,11,0.297,0.384,0.487,0.87,36,2,1,0,1,0,0,0.312,144,138,14
Months,August,15,15,64,61,7,15,2,0,1,5,0,0,3,15,0.246,0.281,0.328,0.609,20,1,0,0,0,0,1,0.311,72,70,12
Game Outcome for Team,in Wins,59,52,217,186,34,52,13,0,9,32,1,0,28,31,0.28,0.378,0.495,0.873,92,6,2,0,1,0,1,0.293,145,110,30
Game Outcome for Team,in Losses,44,42,152,146,6,27,5,0,3,15,0,1,6,35,0.185,0.217,0.281,0.498,41,2,0,0,0,0,2,0.222,40,69,19
Starter or Substitute,as Starter,94,94,363,327,38,77,17,0,12,47,1,1,33,65,0.236,0.309,0.398,0.706,130,8,2,0,1,0,3,0.259,98,98,48
Starter or Substitute,as Sub,9,0,6,5,2,2,1,0,0,0,0,0,1,1,0.4,0.5,0.6,1.1,3,0,0,0,0,0,0,0.5,210,234,1
Defensive Positions,as RF,96,,359,322,38,76,18,0,12,47,1,1,34,63,0.236,0.312,0.404,0.716,130,8,2,0,1,0,3,0.258,101,96,46
Defensive Positions,as DH,2,,8,8,1,2,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.5,2,0,0,0,0,0,0,0.4,43,36,2
Defensive Positions,as PH,2,,2,2,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,0.5,185,214,1
Leading Off Inning,Leadoff Inn.,60,,81,72,,12,3,0,3,4,,,9,15,0.167,0.259,0.333,0.593,24,0,0,0,0,0,1,0.167,66,69,6
Batting Order Positions,Batting 1st,1,0,1,0,1,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Batting Order Positions,Batting 4th,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Batting Order Positions,Batting 5th,27,24,104,94,12,26,5,0,2,10,0,1,8,15,0.277,0.337,0.394,0.73,37,3,1,0,1,0,1,0.308,106,104,19
Batting Order Positions,Batting 6th,30,30,113,104,7,18,3,0,3,10,0,0,9,24,0.173,0.239,0.289,0.527,30,2,0,0,0,0,2,0.195,48,54,12
Batting Order Positions,Batting 7th,14,13,47,42,6,13,4,0,2,9,0,0,4,9,0.31,0.383,0.548,0.931,23,2,1,0,0,0,0,0.355,159,169,7
Batting Order Positions,Batting 8th,29,27,104,92,14,22,6,0,5,18,1,0,12,18,0.239,0.327,0.467,0.794,43,1,0,0,0,0,0,0.246,121,139,11
Batting Order Positions,Batting 9th,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,69,,105,98,,23,6,0,1,15,,,6,15,0.235,0.286,0.327,0.612,32,1,1,0,0,0,2,0.268,73,79,16
Swung or Took First Pitch of PA,Took 1st Pitch,97,,264,234,,56,12,0,11,32,,,28,51,0.239,0.322,0.432,0.754,101,7,1,0,1,0,1,0.26,111,110,33
Count/Balls-Strikes,First Pitch,37,,44,44,4,11,2,0,0,5,1,0,0,0,0.25,0.25,0.296,0.546,13,1,0,0,0,0,1,0.25,54,26,9
Count/Balls-Strikes,1-0 Count,22,,23,23,6,4,0,0,1,2,0,0,0,0,0.174,0.174,0.304,0.478,7,2,0,0,0,0,0,0.136,32,4,3
Count/Balls-Strikes,2-0 Count,3,,3,3,1,2,1,0,1,1,0,0,0,0,0.667,0.667,2.0,2.667,6,0,0,0,0,0,0,0.5,613,417,0
Count/Balls-Strikes,3-0 Count,4,,4,0,,0,0,0,0,1,0,0,4,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,29,,37,37,7,12,4,0,1,9,0,0,0,0,0.324,0.324,0.514,0.838,19,1,0,0,0,0,0,0.306,132,98,7
Count/Balls-Strikes,1-1 Count,28,,32,31,3,12,4,0,0,6,0,0,0,0,0.387,0.375,0.516,0.891,16,0,0,0,1,0,0,0.375,149,114,8
Count/Balls-Strikes,2-1 Count,13,,15,15,2,6,0,0,2,6,0,0,0,0,0.4,0.4,0.8,1.2,12,2,0,0,0,0,0,0.308,228,154,4
Count/Balls-Strikes,3-1 Count,17,,19,7,2,2,0,0,1,2,0,0,12,0,0.286,0.737,0.714,1.451,5,0,0,0,0,0,1,0.167,314,118,1
Count/Balls-Strikes,0-2 Count,23,,29,29,3,4,1,0,0,2,0,0,0,15,0.138,0.138,0.172,0.31,5,0,0,0,0,0,0,0.286,-13,64,3
Count/Balls-Strikes,1-2 Count,46,,57,56,7,12,2,0,4,9,0,0,0,21,0.214,0.228,0.464,0.692,26,0,1,0,0,0,1,0.258,89,224,6
Count/Balls-Strikes,2-2 Count,34,,44,44,2,8,1,0,2,3,0,0,0,18,0.182,0.182,0.341,0.523,15,1,0,0,0,0,0,0.25,43,128,5
Count/Balls-Strikes,Full Count,50,,62,43,3,6,3,0,0,1,0,1,18,12,0.14,0.403,0.209,0.613,9,1,1,0,0,0,0,0.194,81,52,3
Count/Balls-Strikes,After 1-0,81,,146,118,,32,7,0,5,18,,,26,21,0.271,0.404,0.458,0.862,54,5,1,0,1,0,0,0.29,144,115,20
Count/Balls-Strikes,After 2-0,35,,42,27,,10,2,0,3,7,,,15,4,0.37,0.595,0.778,1.373,21,0,0,0,0,0,0,0.35,285,187,5
Count/Balls-Strikes,After 3-0,15,,15,5,,2,0,0,1,3,,,10,0,0.4,0.8,1.0,1.8,5,0,0,0,0,0,0,0.25,406,205,1
Count/Balls-Strikes,After 0-1,88,,179,170,,36,9,0,7,24,,,8,45,0.212,0.251,0.388,0.64,66,2,1,0,0,0,2,0.246,77,109,20
