Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,122,121,512,439,73,102,27,1,23,71,9,2,66,136,0.232,0.338,0.456,0.794,200,6,5,0,2,1,2,0.28,100,122,51
Season Totals,Last 7 days,6,6,26,23,4,5,1,0,2,3,0,0,3,5,0.217,0.308,0.522,0.829,12,0,0,0,0,0,1,0.188,106,139,2
Season Totals,Last 14 days,11,11,49,41,10,11,2,0,4,6,1,0,8,11,0.268,0.388,0.61,0.998,25,0,0,0,0,0,1,0.269,149,178,5
Season Totals,Last 28 days,23,23,103,90,19,20,4,0,7,11,2,0,13,26,0.222,0.32,0.5,0.82,45,0,0,0,0,0,1,0.228,104,122,9
Season Totals,Last 365 days,157,156,669,574,94,140,39,1,30,97,12,3,84,165,0.244,0.345,0.472,0.817,271,9,7,0,4,1,3,0.287,106,,70
Platoon Splits,vs RHP,115,,396,333,56,75,22,1,16,49,9,2,57,106,0.225,0.343,0.441,0.785,147,2,4,0,2,1,0,0.277,98,121,36
Platoon Splits,vs LHP,66,,116,106,17,27,5,0,7,22,0,0,9,30,0.255,0.319,0.5,0.819,53,4,1,0,0,0,2,0.29,104,126,15
Platoon Splits,vs RHP as LHB,115,,396,333,,75,22,1,16,49,0,0,57,106,0.225,0.343,0.441,0.785,147,2,4,0,2,1,0,0.277,98,113,36
Platoon Splits,vs LHP as RHB,66,,116,106,,27,5,0,7,22,0,0,9,30,0.255,0.319,0.5,0.819,53,4,1,0,0,0,2,0.29,104,120,15
Platoon Splits,vs RH Starter,99,98,419,358,58,77,20,1,17,54,9,2,55,116,0.215,0.325,0.419,0.744,150,4,4,0,2,1,2,0.264,88,109,39
Platoon Splits,vs LH Starter,23,23,93,81,15,25,7,0,6,17,0,0,11,20,0.309,0.398,0.617,1.015,50,2,1,0,0,0,0,0.346,153,181,12
Home or Away,Home,61,61,248,213,37,56,15,1,11,34,6,1,31,71,0.263,0.363,0.498,0.861,106,2,3,0,1,0,1,0.341,117,137,29
Home or Away,Away,61,60,264,226,36,46,12,0,12,37,3,1,35,65,0.204,0.314,0.416,0.73,94,4,2,0,1,1,1,0.227,84,107,22
First or Second Half,1st Half,92,91,381,325,53,79,23,1,15,57,7,2,50,102,0.243,0.352,0.459,0.81,149,6,5,0,1,1,1,0.306,105,128,40
First or Second Half,2nd Half,30,30,131,114,20,23,4,0,8,14,2,0,16,34,0.202,0.298,0.447,0.745,51,0,0,0,1,0,1,0.206,86,104,11
Months,April/March,27,27,120,102,16,22,5,1,1,12,0,0,17,29,0.216,0.333,0.314,0.647,32,3,1,0,0,0,0,0.292,67,88,15
Months,May,26,25,104,91,13,21,6,0,5,12,2,1,11,31,0.231,0.317,0.462,0.779,42,1,1,0,1,0,1,0.286,95,122,10
Months,June,26,26,106,86,14,21,7,0,5,20,5,1,17,29,0.244,0.387,0.5,0.887,43,2,3,0,0,1,0,0.308,124,147,9
Months,July,25,25,103,91,16,23,6,0,6,18,0,0,11,24,0.253,0.33,0.517,0.847,47,0,0,0,1,0,0,0.274,111,128,11
Months,August,18,18,79,69,14,15,3,0,6,9,2,0,10,23,0.217,0.317,0.522,0.838,36,0,0,0,0,0,1,0.225,108,129,6
Game Outcome for Team,in Wins,61,61,268,234,45,67,18,1,15,48,6,1,31,70,0.286,0.377,0.564,0.941,132,1,3,0,0,1,0,0.349,135,124,33
Game Outcome for Team,in Losses,61,60,244,205,28,35,9,0,8,23,3,1,35,66,0.171,0.295,0.332,0.627,68,5,2,0,2,0,2,0.203,60,114,18
Starter or Substitute,as Starter,121,121,511,438,73,102,27,1,23,71,9,2,66,136,0.233,0.339,0.457,0.795,200,6,5,0,2,1,2,0.281,101,122,51
Starter or Substitute,as Sub,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as LF,113,,474,409,69,94,24,1,22,66,8,2,59,127,0.23,0.331,0.455,0.786,186,5,4,0,2,1,2,0.275,98,121,47
Defensive Positions,as DH,8,,37,29,4,8,3,0,1,5,1,0,7,9,0.276,0.432,0.483,0.915,14,1,1,0,0,0,0,0.368,134,147,4
Defensive Positions,as PH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,1st Batter G,35,,35,32,,7,2,0,2,2,,,3,11,0.219,0.286,0.469,0.755,15,0,0,0,0,0,0,0.263,88,107,3
Leading Off Inning,Leadoff Inn.,92,,160,150,,31,10,0,7,7,,,10,47,0.207,0.256,0.413,0.67,62,0,0,0,0,0,0,0.25,66,89,14
