Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,83,62,263,236,19,60,15,0,1,26,8,4,17,26,0.254,0.305,0.331,0.636,78,8,2,4,4,0,1,0.277,100,80,44
Season Totals,Last 7 days,3,2,7,7,0,2,0,0,0,0,0,1,0,0,0.286,0.286,0.286,0.571,2,0,0,0,0,0,0,0.286,80,69,2
Season Totals,Last 14 days,7,4,17,16,1,3,0,0,0,3,1,1,0,0,0.188,0.177,0.188,0.364,3,1,0,0,1,0,0,0.177,15,4,3
Season Totals,Last 28 days,16,13,55,52,2,12,1,0,0,4,2,1,1,5,0.231,0.255,0.25,0.505,13,1,1,0,1,0,0,0.25,59,41,11
Season Totals,Last 365 days,109,84,357,318,28,83,19,1,1,32,9,4,26,34,0.261,0.319,0.337,0.656,107,11,3,6,4,0,2,0.286,106,,62
Platoon Splits,vs RHP,68,,158,139,12,32,6,0,1,19,6,3,12,16,0.23,0.29,0.295,0.585,41,5,1,3,3,0,1,0.248,84,67,25
Platoon Splits,vs LHP,41,,105,97,7,28,9,0,0,7,2,1,5,10,0.289,0.327,0.381,0.708,37,3,1,1,1,0,0,0.318,122,99,19
Platoon Splits,vs RHP as LHB,68,,158,139,,32,6,0,1,19,0,0,12,16,0.23,0.29,0.295,0.585,41,5,1,3,3,0,1,0.248,84,62,25
Platoon Splits,vs LHP as RHB,41,,105,97,,28,9,0,0,7,0,0,5,10,0.289,0.327,0.381,0.708,37,3,1,1,1,0,0,0.318,122,94,19
Platoon Splits,vs RH Starter,48,28,127,114,7,25,4,0,0,12,5,2,7,11,0.219,0.264,0.254,0.518,29,5,1,2,3,0,1,0.236,63,48,21
Platoon Splits,vs LH Starter,35,34,136,122,12,35,11,0,1,14,3,2,10,15,0.287,0.343,0.402,0.745,49,3,1,2,1,0,0,0.318,134,110,23
Home or Away,Home,40,31,131,119,10,31,10,0,0,12,2,2,7,13,0.261,0.313,0.345,0.657,41,6,2,3,0,0,0,0.293,107,84,21
Home or Away,Away,43,31,132,117,9,29,5,0,1,14,6,2,10,13,0.248,0.298,0.316,0.614,37,2,0,1,4,0,1,0.262,93,77,23
First or Second Half,1st Half,63,46,197,174,15,44,13,0,1,22,6,3,15,20,0.253,0.311,0.345,0.656,60,7,1,4,3,0,1,0.276,106,87,30
First or Second Half,2nd Half,20,16,66,62,4,16,2,0,0,4,2,1,2,6,0.258,0.288,0.29,0.578,18,1,1,0,1,0,0,0.281,82,62,14
Months,April/March,16,14,57,50,5,16,5,0,0,5,2,3,7,6,0.32,0.404,0.42,0.824,21,1,0,0,0,0,0,0.364,159,138,11
Months,May,19,13,56,47,6,12,5,0,0,2,2,0,6,5,0.255,0.34,0.362,0.701,17,2,0,3,0,0,1,0.286,121,104,7
Months,June,18,12,52,48,2,10,1,0,0,8,1,0,0,7,0.208,0.212,0.229,0.441,11,0,1,0,3,0,0,0.227,39,24,9
Months,July,17,13,56,52,4,15,3,0,1,7,1,0,3,3,0.289,0.327,0.404,0.731,21,4,0,1,0,0,0,0.292,129,100,11
Months,August,13,10,42,39,2,7,1,0,0,4,2,1,1,5,0.18,0.214,0.205,0.419,8,1,1,0,1,0,0,0.2,32,19,6
Game Outcome for Team,in Wins,31,22,97,82,11,27,10,0,0,15,5,1,9,12,0.329,0.394,0.451,0.845,37,4,1,3,2,0,0,0.375,165,106,17
Game Outcome for Team,in Losses,52,40,166,154,8,33,5,0,1,11,3,3,8,14,0.214,0.255,0.266,0.521,41,4,1,1,2,0,1,0.227,64,78,27
Starter or Substitute,as Starter,62,62,238,214,17,54,13,0,0,19,6,4,16,25,0.252,0.306,0.313,0.62,67,5,2,3,3,0,1,0.281,95,76,41
Starter or Substitute,as Sub,21,0,25,22,2,6,2,0,1,7,2,0,1,1,0.273,0.292,0.5,0.792,11,3,0,1,1,0,0,0.238,147,137,3
Defensive Positions,as 2B,26,,97,90,7,24,5,0,0,4,1,2,5,11,0.267,0.305,0.322,0.628,29,3,0,2,0,0,1,0.304,97,86,19
Defensive Positions,as 3B,33,,98,89,5,20,5,0,0,10,4,2,6,10,0.225,0.276,0.281,0.556,25,4,1,0,2,0,0,0.247,75,60,15
Defensive Positions,as SS,7,,25,22,4,6,2,0,0,4,1,0,3,2,0.273,0.36,0.364,0.724,8,0,0,0,0,0,0,0.3,128,99,4
Defensive Positions,as LF,15,,34,28,2,8,3,0,0,3,2,0,3,2,0.286,0.364,0.393,0.757,11,0,1,1,1,0,0,0.296,138,115,5
