Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,122,120,513,438,48,100,23,1,18,64,0,1,58,82,0.228,0.335,0.409,0.744,179,14,14,0,3,2,2,0.241,100,109,58
Season Totals,Last 7 days,6,5,20,20,0,2,1,0,0,1,0,0,0,4,0.1,0.1,0.15,0.25,3,0,0,0,0,0,0,0.125,-34,-28,1
Season Totals,Last 14 days,11,10,42,37,1,4,2,0,0,2,0,0,4,7,0.108,0.214,0.162,0.377,6,0,1,0,0,0,0,0.133,4,10,2
Season Totals,Last 28 days,23,22,92,80,7,11,4,0,2,9,0,0,8,14,0.138,0.239,0.263,0.502,21,1,3,0,1,0,0,0.139,36,39,5
Season Totals,Last 365 days,152,150,645,552,61,126,27,1,24,83,0,1,72,108,0.228,0.335,0.411,0.746,227,17,18,0,3,2,5,0.241,101,,74
Platoon Splits,vs RHP,119,,391,332,35,71,16,0,13,45,0,1,45,62,0.214,0.325,0.38,0.704,126,11,11,0,3,2,2,0.223,90,100,42
Platoon Splits,vs LHP,56,,122,106,13,29,7,1,5,19,0,0,13,20,0.274,0.369,0.5,0.869,53,3,3,0,0,0,0,0.296,132,142,16
Platoon Splits,vs RHP as RHB,119,,391,332,,71,16,0,13,45,0,0,45,62,0.214,0.325,0.38,0.704,126,11,11,0,3,2,2,0.223,90,105,42
Platoon Splits,vs LHP as RHB,56,,122,106,,29,7,1,5,19,0,0,13,20,0.274,0.369,0.5,0.869,53,3,3,0,0,0,0,0.296,132,135,16
Platoon Splits,vs RH Starter,90,88,376,321,26,67,15,0,10,41,0,1,43,65,0.209,0.319,0.349,0.668,112,10,10,0,2,1,1,0.23,81,89,42
Platoon Splits,vs LH Starter,32,32,137,117,22,33,8,1,8,23,0,0,15,17,0.282,0.38,0.573,0.952,67,4,4,0,1,1,1,0.269,154,164,16
Home or Away,Home,67,66,273,229,24,48,11,1,10,32,0,1,31,43,0.21,0.33,0.397,0.727,91,7,11,0,2,2,1,0.214,96,102,26
Home or Away,Away,55,54,240,209,24,52,12,0,8,32,0,0,27,39,0.249,0.342,0.421,0.763,88,7,3,0,1,0,1,0.27,105,118,32
First or Second Half,1st Half,91,90,385,329,36,86,18,1,15,50,0,1,45,66,0.261,0.364,0.459,0.823,151,10,9,0,2,2,2,0.284,121,132,52
First or Second Half,2nd Half,31,30,128,109,12,14,5,0,3,14,0,0,13,16,0.128,0.25,0.257,0.507,28,4,5,0,1,0,0,0.121,38,42,6
Months,April/March,29,29,123,110,14,32,3,0,7,17,0,0,9,23,0.291,0.358,0.509,0.867,56,4,3,0,1,1,0,0.309,131,146,22
Months,May,25,25,107,87,10,26,8,0,3,15,0,1,16,14,0.299,0.421,0.494,0.915,43,4,3,0,1,1,1,0.324,147,165,15
Months,June,25,24,102,93,8,22,5,1,3,11,0,0,7,18,0.237,0.304,0.409,0.713,38,2,2,0,0,0,1,0.264,91,98,13
Months,July,24,24,106,81,12,11,5,0,3,12,0,0,20,13,0.136,0.34,0.309,0.648,25,3,5,0,0,0,0,0.123,77,82,3
Months,August,19,18,75,67,4,9,2,0,2,9,0,0,6,14,0.134,0.213,0.254,0.467,17,1,1,0,1,0,0,0.135,26,30,5
Game Outcome for Team,in Wins,65,65,280,236,34,60,15,1,13,47,0,0,34,41,0.254,0.361,0.492,0.852,116,7,7,0,3,2,1,0.254,128,105,31
Game Outcome for Team,in Losses,57,55,233,202,14,40,8,0,5,17,0,1,24,41,0.198,0.305,0.312,0.617,63,7,7,0,0,0,1,0.224,67,111,27
Starter or Substitute,as Starter,120,120,509,435,48,100,23,1,18,64,0,1,57,80,0.23,0.336,0.412,0.748,179,14,14,0,3,2,2,0.241,101,110,58
Starter or Substitute,as Sub,2,0,4,3,0,0,0,0,0,0,0,0,1,2,0.0,0.25,0.0,0.25,0,0,0,0,0,0,0,0.0,-25,-18,0
Defensive Positions,as 1B,14,,58,51,7,10,3,1,2,8,0,0,7,6,0.196,0.293,0.412,0.705,21,3,0,0,0,0,1,0.186,88,92,4
Defensive Positions,as 3B,98,,409,351,37,84,18,0,15,50,0,1,44,72,0.239,0.34,0.419,0.759,147,10,11,0,3,2,0,0.258,104,115,51
Defensive Positions,as DH,10,,45,35,4,6,2,0,1,6,0,0,7,3,0.171,0.356,0.314,0.67,11,1,3,0,0,0,1,0.161,83,84,3
Defensive Positions,as PH,2,,2,1,,0,0,0,0,0,0,0,1,1,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,,49,70,0
Defensive Positions,as PH for DH,1,,1,0,,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Leading Off Inning,Leadoff Inn.,90,,126,111,,22,5,1,4,4,,,13,24,0.198,0.294,0.369,0.663,41,0,2,0,0,0,0,0.217,78,90,12
Batting Order Positions,Batting 2nd,14,12,59,48,9,7,3,0,1,6,0,0,10,5,0.146,0.305,0.271,0.576,13,2,1,0,0,0,0,0.143,57,56,3
Batting Order Positions,Batting 3rd,25,25,107,89,5,19,7,0,2,8,0,0,16,17,0.214,0.346,0.36,0.705,32,1,2,0,0,0,0,0.243,91,84,10
Batting Order Positions,Batting 4th,59,59,248,213,25,58,10,1,10,36,0,1,23,39,0.272,0.363,0.47,0.832,100,9,9,0,3,2,2,0.287,123,126,37
Batting Order Positions,Batting 5th,24,24,99,88,9,16,3,0,5,14,0,0,9,21,0.182,0.273,0.386,0.659,34,2,2,0,0,0,0,0.177,76,82,8
Swung or Took First Pitch of PA,Swung at 1st Pitch,82,,111,108,,32,7,0,11,26,,,0,20,0.296,0.315,0.667,0.982,72,5,3,0,0,0,0,0.273,157,169,14
Swung or Took First Pitch of PA,Took 1st Pitch,122,,402,330,,68,16,1,7,38,,,58,62,0.206,0.341,0.324,0.665,107,9,11,0,3,2,2,0.231,81,88,44
Count/Balls-Strikes,First Pitch,29,,30,30,14,11,3,0,3,9,0,0,0,0,0.367,0.367,0.767,1.133,23,1,0,0,0,0,0,0.296,197,145,5
Count/Balls-Strikes,1-0 Count,26,,27,26,2,12,3,0,2,11,0,0,0,0,0.462,0.482,0.808,1.289,21,1,1,0,0,0,0,0.417,241,182,7
Count/Balls-Strikes,2-0 Count,3,,3,2,,1,0,0,0,0,0,0,0,0,0.5,0.667,0.5,1.167,1,0,1,0,0,0,0,0.5,221,174,1
Count/Balls-Strikes,3-0 Count,8,,9,0,,0,0,0,0,0,0,0,9,0,,1.0,,,0,0,0,0,0,2,0,,,,0
Count/Balls-Strikes,0-1 Count,45,,56,54,5,11,2,0,0,4,0,0,0,0,0.204,0.232,0.241,0.473,13,4,2,0,0,0,0,0.204,28,17,9
Count/Balls-Strikes,1-1 Count,36,,39,36,2,8,5,0,0,3,0,0,0,0,0.222,0.256,0.361,0.618,13,1,2,0,1,0,0,0.216,65,47,3
Count/Balls-Strikes,2-1 Count,16,,17,16,3,6,2,0,1,5,0,0,0,0,0.375,0.412,0.688,1.099,11,0,1,0,0,0,0,0.333,191,138,3
Count/Balls-Strikes,3-1 Count,20,,21,10,2,3,1,0,2,3,0,0,11,0,0.3,0.667,1.0,1.667,10,0,0,0,0,0,0,0.125,344,153,0
Count/Balls-Strikes,0-2 Count,38,,40,39,2,7,2,1,1,5,0,1,0,15,0.18,0.2,0.359,0.559,14,2,1,0,0,0,1,0.261,48,187,3
Count/Balls-Strikes,1-2 Count,60,,78,76,6,12,1,0,3,8,0,0,0,22,0.158,0.167,0.29,0.456,22,1,1,0,1,0,1,0.173,21,116,8
Count/Balls-Strikes,2-2 Count,71,,94,91,6,18,2,0,2,8,0,0,0,26,0.198,0.213,0.286,0.499,26,4,2,0,1,0,0,0.25,34,125,14
Count/Balls-Strikes,Full Count,72,,99,58,6,11,2,0,4,8,0,0,38,19,0.19,0.525,0.431,0.956,25,0,3,0,0,0,0,0.2,162,146,5
Count/Balls-Strikes,After 1-0,100,,184,135,,32,8,0,4,19,,,43,24,0.237,0.44,0.385,0.825,52,2,6,0,0,2,0,0.262,126,108,20
Count/Balls-Strikes,After 2-0,50,,66,34,,8,3,0,1,4,,,28,6,0.235,0.606,0.412,1.018,14,1,4,0,0,2,0,0.259,182,111,4
Count/Balls-Strikes,After 3-0,21,,25,5,,0,0,0,0,1,,,18,0,0.0,0.8,0.0,0.8,0,0,2,0,0,2,0,0.0,139,9,0
