Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,95,90,396,344,38,88,21,1,14,60,0,0,41,110,0.256,0.342,0.445,0.787,153,13,5,0,2,0,1,0.333,100,120,52
Season Totals,Last 7 days,7,6,27,25,4,6,2,0,2,7,0,0,2,5,0.24,0.296,0.56,0.856,14,3,0,0,0,0,0,0.222,112,141,2
Season Totals,Last 14 days,12,11,45,39,6,9,4,0,2,8,0,0,5,10,0.231,0.333,0.487,0.821,19,4,1,0,0,0,0,0.259,107,125,3
Season Totals,Last 28 days,24,23,96,82,10,20,6,0,4,20,0,0,11,26,0.244,0.337,0.463,0.8,38,4,1,0,1,0,0,0.302,103,118,10
Season Totals,Last 365 days,116,111,485,425,50,115,25,1,22,85,0,0,47,137,0.271,0.347,0.489,0.837,208,15,5,0,4,0,1,0.344,111,,67
Platoon Splits,vs RHP,88,,290,255,24,63,16,1,9,39,0,0,26,81,0.247,0.322,0.424,0.745,108,12,3,0,2,0,1,0.323,89,110,37
Platoon Splits,vs LHP,46,,106,89,14,25,5,0,5,21,0,0,15,29,0.281,0.396,0.506,0.902,45,1,2,0,0,0,0,0.364,130,151,15
Platoon Splits,vs RHP as RHB,88,,290,255,,63,16,1,9,39,0,0,26,81,0.247,0.322,0.424,0.745,108,12,3,0,2,0,1,0.323,89,116,37
Platoon Splits,vs LHP as RHB,46,,106,89,,25,5,0,5,21,0,0,15,29,0.281,0.396,0.506,0.902,45,1,2,0,0,0,0,0.364,130,145,15
Platoon Splits,vs RH Starter,66,61,267,233,16,57,13,1,7,35,0,0,25,74,0.245,0.323,0.399,0.722,93,9,3,0,2,0,1,0.325,84,103,36
Platoon Splits,vs LH Starter,29,29,129,111,22,31,8,0,7,25,0,0,16,36,0.279,0.38,0.541,0.92,60,4,2,0,0,0,0,0.353,133,156,16
Home or Away,Home,53,49,215,186,23,51,14,1,10,37,0,0,23,60,0.274,0.367,0.522,0.889,97,7,5,0,1,0,1,0.35,125,144,26
Home or Away,Away,42,41,181,158,15,37,7,0,4,23,0,0,18,50,0.234,0.311,0.354,0.665,56,6,0,0,1,0,0,0.314,71,91,26
First or Second Half,1st Half,66,62,278,243,27,64,15,1,10,38,0,0,28,78,0.263,0.349,0.457,0.806,111,9,4,0,0,0,1,0.348,105,127,38
First or Second Half,2nd Half,29,28,118,101,11,24,6,0,4,22,0,0,13,32,0.238,0.325,0.416,0.741,42,4,1,0,2,0,0,0.299,89,105,14
Months,April/March,5,4,17,17,1,5,1,0,0,1,0,0,0,6,0.294,0.294,0.353,0.647,6,0,0,0,0,0,1,0.455,65,85,4
Months,May,26,24,106,97,9,27,6,0,5,13,0,0,8,32,0.278,0.333,0.495,0.828,48,1,0,0,0,0,0,0.367,109,136,16
Months,June,24,24,111,92,11,25,6,1,4,20,0,0,14,23,0.272,0.385,0.489,0.874,45,7,3,0,0,0,0,0.323,123,143,14
Months,July,23,22,95,81,10,19,4,0,2,13,0,0,11,33,0.235,0.326,0.358,0.684,29,1,1,0,2,0,0,0.354,76,89,13
Months,August,17,16,67,57,7,12,4,0,3,13,0,0,8,16,0.211,0.318,0.439,0.757,25,4,1,0,0,0,0,0.237,92,108,5
Game Outcome for Team,in Wins,49,47,213,186,27,54,11,0,9,40,0,0,21,51,0.29,0.367,0.495,0.861,92,8,2,0,1,0,1,0.354,119,107,34
Game Outcome for Team,in Losses,46,43,183,158,11,34,10,1,5,20,0,0,20,59,0.215,0.313,0.386,0.699,61,5,3,0,1,0,0,0.305,78,137,18
Starter or Substitute,as Starter,90,90,390,339,38,87,21,1,14,60,0,0,40,108,0.257,0.342,0.448,0.79,152,12,5,0,2,0,1,0.333,101,121,51
