Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,75,75,320,293,38,75,13,1,8,29,1,2,22,75,0.256,0.316,0.389,0.705,114,4,4,0,1,1,3,0.318,100,98,53
Season Totals,Last 7 days,5,5,17,16,1,5,2,0,0,3,0,0,1,3,0.313,0.353,0.438,0.79,7,0,0,0,0,0,0,0.385,124,131,3
Season Totals,Last 14 days,10,10,37,33,4,11,4,0,0,6,0,0,4,6,0.333,0.405,0.455,0.86,15,0,0,0,0,0,0,0.407,145,145,7
Season Totals,Last 28 days,20,20,81,73,9,19,5,0,1,9,0,0,7,14,0.26,0.333,0.37,0.703,27,1,1,0,0,1,0,0.31,101,95,13
Season Totals,Last 365 days,101,101,426,390,53,100,16,1,13,42,5,3,28,98,0.256,0.315,0.403,0.717,157,5,6,0,2,1,5,0.31,103,,70
Platoon Splits,vs RHP,72,,224,205,30,51,9,1,5,20,1,2,14,51,0.249,0.308,0.376,0.684,77,3,4,0,1,1,2,0.307,94,93,36
Platoon Splits,vs LHP,43,,96,88,8,24,4,0,3,9,0,0,8,24,0.273,0.333,0.421,0.754,37,1,0,0,0,0,1,0.344,113,110,17
Platoon Splits,vs RHP as RHB,72,,224,205,,51,9,1,5,20,0,0,14,51,0.249,0.308,0.376,0.684,77,3,4,0,1,1,2,0.307,94,99,36
Platoon Splits,vs LHP as RHB,43,,96,88,,24,4,0,3,9,0,0,8,24,0.273,0.333,0.421,0.754,37,1,0,0,0,0,1,0.344,113,105,17
Platoon Splits,vs RH Starter,45,45,187,173,25,45,8,1,4,20,1,2,12,41,0.26,0.31,0.387,0.698,67,2,1,0,1,1,3,0.318,98,96,32
Platoon Splits,vs LH Starter,30,30,133,120,13,30,5,0,4,9,0,0,10,34,0.25,0.323,0.392,0.715,47,2,3,0,0,0,0,0.317,103,101,21
Home or Away,Home,40,40,171,155,21,39,3,1,4,14,1,0,13,42,0.252,0.316,0.361,0.677,56,3,2,0,1,1,2,0.318,93,89,31
Home or Away,Away,35,35,149,138,17,36,10,0,4,15,0,2,9,33,0.261,0.315,0.42,0.736,58,1,2,0,0,0,1,0.317,108,109,22
First or Second Half,1st Half,51,51,223,207,28,54,8,1,7,20,1,2,12,60,0.261,0.309,0.411,0.72,85,3,3,0,1,0,2,0.333,103,103,38
First or Second Half,2nd Half,24,24,97,86,10,21,5,0,1,9,0,0,10,15,0.244,0.33,0.337,0.667,29,1,1,0,0,1,1,0.286,91,87,15
Months,April/March,26,26,110,102,14,25,3,0,5,14,1,2,6,30,0.245,0.291,0.422,0.713,43,0,1,0,1,0,1,0.294,101,102,17
Months,May,20,20,90,85,13,27,5,1,2,6,0,0,5,22,0.318,0.356,0.471,0.826,40,3,0,0,0,0,0,0.41,134,137,19
Months,June,5,5,23,20,1,2,0,0,0,0,0,0,1,8,0.1,0.217,0.1,0.317,2,0,2,0,0,0,1,0.167,-6,-6,2
Months,July,7,7,30,26,3,6,0,0,0,0,0,0,4,5,0.231,0.333,0.231,0.564,6,1,0,0,0,1,1,0.286,65,61,6
Months,August,17,17,67,60,7,15,5,0,1,9,0,0,6,10,0.25,0.328,0.383,0.712,23,0,1,0,0,0,0,0.286,102,98,9
Game Outcome for Team,in Wins,46,46,202,184,31,49,6,1,7,26,1,2,14,46,0.266,0.327,0.424,0.751,78,2,3,0,1,0,2,0.318,113,81,35
Game Outcome for Team,in Losses,29,29,118,109,7,26,7,0,1,3,0,0,8,29,0.239,0.297,0.33,0.627,36,2,1,0,0,1,1,0.317,79,114,18
Starter or Substitute,as Starter,75,75,320,293,38,75,13,1,8,29,1,2,22,75,0.256,0.316,0.389,0.705,114,4,4,0,1,1,3,0.318,100,98,53
Defensive Positions,as C,75,,320,293,38,75,13,1,8,29,1,2,22,75,0.256,0.316,0.389,0.705,114,4,4,0,1,1,3,0.318,100,105,53
Leading Off Inning,Leadoff Inn.,45,,61,59,,21,3,1,2,2,,,1,13,0.356,0.377,0.542,0.919,32,0,1,0,0,0,1,0.432,159,161,15
Batting Order Positions,Batting 2nd,23,23,105,98,13,28,5,1,2,6,0,0,5,26,0.286,0.333,0.418,0.752,41,3,2,0,0,0,1,0.371,113,99,20
Batting Order Positions,Batting 3rd,2,2,9,9,1,2,2,0,0,1,0,0,0,1,0.222,0.222,0.444,0.667,4,0,0,0,0,0,0,0.25,84,66,0
Batting Order Positions,Batting 4th,19,19,79,73,10,17,0,0,3,8,1,1,5,23,0.233,0.279,0.356,0.635,26,0,0,0,1,0,1,0.292,80,72,14
Batting Order Positions,Batting 5th,14,14,60,52,9,11,2,0,3,6,0,1,6,12,0.212,0.317,0.423,0.74,22,0,2,0,0,0,1,0.216,109,105,6
Batting Order Positions,Batting 6th,13,13,53,47,3,12,2,0,0,7,0,0,6,12,0.255,0.34,0.298,0.638,14,1,0,0,0,1,0,0.343,84,90,10
Batting Order Positions,Batting 7th,4,4,14,14,2,5,2,0,0,1,0,0,0,1,0.357,0.357,0.5,0.857,7,0,0,0,0,0,0,0.385,142,148,3
Swung or Took First Pitch of PA,Swung at 1st Pitch,62,,112,109,,32,7,1,4,17,,,3,20,0.294,0.313,0.486,0.799,53,3,0,0,0,0,1,0.329,124,126,20
Swung or Took First Pitch of PA,Took 1st Pitch,73,,208,184,,43,6,0,4,12,,,19,55,0.234,0.317,0.332,0.649,61,1,4,0,1,1,2,0.31,86,83,33
