Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,124,113,500,445,58,108,33,4,16,47,1,3,53,92,0.243,0.325,0.443,0.767,197,7,1,1,0,2,4,0.273,100,114,55
Season Totals,Last 7 days,6,6,26,23,3,5,0,0,2,6,1,0,3,6,0.217,0.308,0.478,0.786,11,0,0,0,0,0,0,0.2,103,124,3
Season Totals,Last 14 days,11,11,48,41,7,11,1,0,3,9,1,2,7,9,0.268,0.375,0.512,0.887,21,0,0,0,0,0,0,0.276,131,145,7
Season Totals,Last 28 days,23,20,87,76,13,20,3,0,4,11,1,2,11,12,0.263,0.356,0.461,0.817,35,0,0,0,0,0,1,0.267,114,123,13
Season Totals,Last 365 days,129,118,519,460,59,109,33,4,16,47,1,3,57,98,0.237,0.322,0.43,0.753,198,7,1,1,0,2,4,0.269,96,,56
Platoon Splits,vs RHP,119,,414,366,47,89,26,4,10,32,1,3,47,74,0.243,0.331,0.418,0.749,153,5,1,0,0,2,3,0.28,96,111,49
Platoon Splits,vs LHP,48,,86,79,11,19,7,0,6,15,0,0,6,18,0.241,0.294,0.557,0.851,44,2,0,1,0,0,1,0.236,116,132,6
Platoon Splits,vs RHP as LHB,119,,414,366,,89,26,4,10,32,0,0,47,74,0.243,0.331,0.418,0.749,153,5,1,0,0,2,3,0.28,96,104,49
Platoon Splits,vs LHP as LHB,48,,86,79,,19,7,0,6,15,0,0,6,18,0.241,0.294,0.557,0.851,44,2,0,1,0,0,1,0.236,116,148,6
Platoon Splits,vs RH Starter,97,96,410,365,47,91,27,4,12,36,0,3,43,76,0.249,0.33,0.444,0.774,162,4,1,1,0,1,3,0.285,102,117,48
Platoon Splits,vs LH Starter,27,17,90,80,11,17,6,0,4,11,1,0,10,16,0.213,0.3,0.438,0.738,35,3,0,0,0,1,1,0.217,91,105,7
Home or Away,Home,62,59,255,230,33,54,19,2,11,31,0,1,25,40,0.235,0.31,0.478,0.788,110,2,0,0,0,2,4,0.24,103,116,22
Home or Away,Away,62,54,245,215,25,54,14,2,5,16,1,2,28,52,0.251,0.34,0.405,0.745,87,5,1,1,0,0,0,0.31,96,113,33
First or Second Half,1st Half,96,88,391,348,41,80,25,4,11,32,0,1,41,75,0.23,0.313,0.42,0.732,146,7,1,1,0,2,3,0.263,91,106,40
First or Second Half,2nd Half,28,25,109,97,17,28,8,0,5,15,1,2,12,17,0.289,0.367,0.526,0.893,51,0,0,0,0,0,1,0.307,132,145,15
Months,April/March,31,26,112,103,7,25,7,1,3,9,0,0,9,23,0.243,0.304,0.418,0.721,43,2,0,0,0,2,1,0.286,88,105,14
Months,May,28,26,120,103,17,26,10,2,5,13,0,1,16,21,0.252,0.353,0.534,0.887,55,3,0,1,0,0,2,0.273,129,153,9
Months,June,26,26,112,100,11,23,5,0,3,7,0,0,11,22,0.23,0.313,0.37,0.683,37,2,1,0,0,0,0,0.267,80,91,15
Months,July,23,19,88,80,13,18,8,1,2,8,0,0,8,14,0.225,0.296,0.425,0.721,34,0,0,0,0,0,1,0.25,87,95,7
Months,August,16,16,68,59,10,16,3,0,3,10,1,2,9,12,0.271,0.368,0.475,0.842,28,0,0,0,0,0,0,0.296,121,133,10
