Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,21,487.0,461,45.0,101,11,5,19,8,2,23,157,6.83,0.219,0.261,0.388,0.649,179.0,5.0,3.0,0,0,0,2,0.288,100,80,66
Season Totals,Last 7 days,1,20.0,18,3.0,4,1,0,2,2,0,2,7,3.5,0.222,0.3,0.611,0.911,11.0,0.0,0.0,0,0,0,0,0.222,172,155,1
Season Totals,Last 14 days,2,47.0,44,7.0,13,3,0,4,2,0,3,17,5.67,0.296,0.34,0.636,0.977,28.0,0.0,0.0,0,0,0,0,0.391,194,164,6
Season Totals,Last 28 days,4,95.0,89,8.0,21,3,0,4,3,0,6,30,5.0,0.236,0.284,0.405,0.689,36.0,0.0,0.0,0,0,0,1,0.309,113,87,14
Season Totals,Last 365 days,27,586.0,553,61.0,133,16,5,24,9,2,27,180,6.67,0.241,0.282,0.418,0.699,231.0,8.0,5.0,0,1,1,3,0.311,116,,88
Platoon Splits,vs RHB,21,238.0,226,24.0,51,6,2,11,5,0,10,79,7.9,0.226,0.265,0.416,0.681,94.0,4.0,2.0,0,0,0,2,0.294,109,91,32
Platoon Splits,vs LHB,21,249.0,235,20.0,50,5,3,8,3,2,13,78,6.0,0.213,0.257,0.362,0.619,85.0,1.0,1.0,0,0,0,0,0.282,92,70,34
Platoon Splits,vs RHB as RHP,21,238.0,226,24.0,51,6,2,11,5,0,10,79,7.9,0.226,0.265,0.416,0.681,94.0,4.0,2.0,0,0,0,2,0.294,109,95,32
Platoon Splits,vs LHB as RHP,21,249.0,235,20.0,50,5,3,8,3,2,13,78,6.0,0.213,0.257,0.362,0.619,85.0,1.0,1.0,0,0,0,0,0.282,92,68,34
Home or Away,Home,8,201.0,189,21.0,47,2,2,9,1,1,10,65,6.5,0.249,0.294,0.423,0.717,80.0,3.0,2.0,0,0,0,0,0.33,122,103,34
Home or Away,Away,13,286.0,272,24.0,54,9,3,10,7,1,13,92,7.08,0.199,0.238,0.364,0.602,99.0,2.0,1.0,0,0,0,2,0.259,85,65,32
First or Second Half,1st Half,16,371.0,352,35.0,77,8,5,14,5,2,16,119,7.44,0.219,0.259,0.389,0.648,137.0,5.0,3.0,0,0,0,1,0.288,100,81,50
First or Second Half,2nd Half,5,116.0,109,10.0,24,3,0,5,3,0,7,38,5.43,0.22,0.267,0.385,0.653,42.0,0.0,0.0,0,0,0,1,0.288,102,79,16
Months,April/March,6,147.0,139,18.0,32,4,1,5,2,0,5,50,10.0,0.23,0.272,0.381,0.653,53.0,1.0,3.0,0,0,0,1,0.321,102,86,22
Months,May,5,118.0,113,10.0,26,2,3,4,1,2,5,40,8.0,0.23,0.263,0.407,0.67,46.0,3.0,0.0,0,0,0,0,0.319,106,91,17
Months,June,4,84.0,80,6.0,17,2,1,4,2,0,4,25,6.25,0.213,0.25,0.413,0.663,33.0,1.0,0.0,0,0,0,0,0.255,102,81,10
Months,July,3,66.0,61,4.0,8,0,0,2,1,0,5,18,3.6,0.131,0.197,0.23,0.427,14.0,0.0,0.0,0,0,0,0,0.146,35,17,6
Months,August,3,72.0,68,7.0,18,3,0,4,2,0,4,24,6.0,0.265,0.306,0.485,0.791,33.0,0.0,0.0,0,0,0,1,0.35,142,116,11
Game Outcome for Pitcher,in Wins,9,200.0,189,10.0,35,3,3,5,1,0,11,65,5.91,0.185,0.23,0.312,0.542,59.0,1.0,0.0,0,0,0,1,0.252,69,105,24
Game Outcome for Pitcher,in Losses,5,125.0,120,19.0,36,3,2,8,2,2,4,34,8.5,0.3,0.328,0.558,0.886,67.0,3.0,1.0,0,0,0,0,0.359,170,80,23
Game Outcome for Pitcher,in No Dec.,7,162.0,152,16.0,30,5,0,6,5,0,8,58,7.25,0.197,0.247,0.349,0.596,53.0,1.0,2.0,0,0,0,1,0.273,85,69,19
Pitching Role,as Starter,21,487.0,461,45.0,101,11,5,19,8,2,23,157,6.83,0.219,0.261,0.388,0.649,179.0,5.0,3.0,0,0,0,2,0.288,100,78,66
Run Support,0-2 Runs Scored,7,171.0,161,18.0,39,3,2,8,4,1,9,55,6.11,0.242,0.287,0.435,0.721,70.0,1.0,1.0,0,0,0,0,0.316,122,92,26
Run Support,3-5 Runs Scored,9,199.0,190,20.0,38,5,0,8,4,1,7,66,9.43,0.2,0.236,0.353,0.589,67.0,4.0,2.0,0,0,0,1,0.259,81,64,25
Run Support,6+ Runs Scored,5,117.0,110,7.0,24,3,3,3,0,0,7,36,5.14,0.218,0.265,0.382,0.647,42.0,0.0,0.0,0,0,0,1,0.296,100,80,15
Batting Order Positions,Batting 1st,21,64.0,59,7.0,19,3,1,2,1,1,4,14,3.5,0.322,0.375,0.509,0.884,30.0,0.0,1.0,0,0,0,0,0.395,175,140,13
Batting Order Positions,Batting 2nd,21,61.0,60,11.0,12,1,2,3,3,0,1,23,23.0,0.2,0.213,0.433,0.646,26.0,0.0,0.0,0,0,0,2,0.265,93,65,6
Batting Order Positions,Batting 3rd,21,60.0,59,7.0,12,1,0,4,1,0,1,23,23.0,0.203,0.217,0.424,0.64,25.0,0.0,0.0,0,0,0,0,0.25,92,59,7
Batting Order Positions,Batting 4th,21,58.0,51,7.0,14,0,0,4,1,0,7,16,2.29,0.275,0.362,0.51,0.872,26.0,1.0,0.0,0,0,0,0,0.323,170,136,10
Batting Order Positions,Batting 5th,21,56.0,55,4.0,12,1,0,1,0,0,0,21,,0.218,0.232,0.291,0.523,16.0,2.0,1.0,0,0,0,0,0.333,64,45,10
Batting Order Positions,Batting 6th,21,52.0,48,0.0,7,0,0,0,0,1,4,17,4.25,0.146,0.212,0.146,0.357,7.0,1.0,0.0,0,0,0,0,0.226,19,8,7
Batting Order Positions,Batting 7th,21,48.0,44,3.0,7,3,0,1,1,0,4,17,4.25,0.159,0.229,0.296,0.525,13.0,1.0,0.0,0,0,0,0,0.231,64,52,3
Batting Order Positions,Batting 8th,21,44.0,44,3.0,6,1,1,3,0,0,0,16,,0.136,0.136,0.409,0.546,18.0,0.0,0.0,0,0,0,0,0.12,58,58,1
Batting Order Positions,Batting 9th,21,44.0,41,2.0,12,1,1,1,1,0,2,10,5.0,0.293,0.341,0.439,0.78,18.0,0.0,1.0,0,0,0,0,0.367,144,150,9
Batting Order Positions,"Bat1-2,non-P",21,125.0,119,18.0,31,4,3,5,4,1,5,37,7.4,0.261,0.296,0.471,0.767,56.0,0.0,1.0,0,0,0,2,0.338,135,103,19
Batting Order Positions,"Bat3-6,non-P",21,226.0,213,18.0,45,2,0,9,2,1,12,77,6.42,0.211,0.257,0.347,0.604,74.0,4.0,1.0,0,0,0,0,0.284,88,65,34
Batting Order Positions,"Bat7-9,non-P",21,136.0,129,8.0,25,5,2,5,2,0,6,43,7.17,0.194,0.235,0.38,0.615,49.0,1.0,1.0,0,0,0,0,0.247,88,85,13
Swung or Took First Pitch of PA,Swung at 1st Pitch,21,148.0,144,15.0,39,5,0,8,,,2,37,18.5,0.271,0.291,0.472,0.763,68.0,2.0,2.0,0,0,0,1,0.313,133,115,26
