Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,5,115.0,104,19.0,34,8,0,4,1,1,7,8,1.14,0.327,0.386,0.519,0.905,54.0,7.0,3.0,1,0,1,1,0.326,100,153,22
Season Totals,Last 7 days,2,51.0,46,5.0,14,2,0,1,1,0,3,1,0.33,0.304,0.36,0.413,0.773,19.0,4.0,1.0,1,0,1,1,0.296,73,127,11
Season Totals,Last 14 days,3,80.0,74,7.0,20,4,0,2,1,0,4,3,0.75,0.27,0.317,0.405,0.722,30.0,5.0,1.0,1,0,1,1,0.261,60,104,14
Season Totals,Last 28 days,3,80.0,74,7.0,20,4,0,2,1,0,4,3,0.75,0.27,0.317,0.405,0.722,30.0,5.0,1.0,1,0,1,1,0.261,60,98,14
Season Totals,Last 365 days,5,115.0,104,19.0,34,8,0,4,1,1,7,8,1.14,0.327,0.386,0.519,0.905,54.0,7.0,3.0,1,0,1,1,0.326,100,,22
Platoon Splits,vs RHB,5,54.0,47,10.0,14,2,0,3,0,1,5,5,1.0,0.298,0.377,0.532,0.909,25.0,3.0,1.0,1,0,1,0,0.282,100,156,9
Platoon Splits,vs LHB,5,61.0,57,9.0,20,6,0,1,1,0,2,3,1.5,0.351,0.393,0.509,0.902,29.0,4.0,2.0,0,0,0,1,0.359,100,149,13
Platoon Splits,vs RHB as RHP,5,54.0,47,10.0,14,2,0,3,0,1,5,5,1.0,0.298,0.377,0.532,0.909,25.0,3.0,1.0,1,0,1,0,0.282,100,162,9
Platoon Splits,vs LHB as RHP,5,61.0,57,9.0,20,6,0,1,1,0,2,3,1.5,0.351,0.393,0.509,0.902,29.0,4.0,2.0,0,0,0,1,0.359,100,145,13
Home or Away,Home,2,42.0,35,7.0,14,2,0,2,1,0,3,1,0.33,0.4,0.488,0.629,1.116,22.0,4.0,3.0,1,0,1,0,0.375,148,218,10
Home or Away,Away,3,73.0,69,12.0,20,6,0,2,0,1,4,7,1.75,0.29,0.329,0.464,0.793,32.0,3.0,0.0,0,0,0,1,0.3,75,118,12
First or Second Half,1st Half,1,16.0,14,5.0,7,2,0,1,0,0,0,1,,0.5,0.563,0.857,1.42,12.0,1.0,2.0,0,0,0,0,0.5,211,296,4
