Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,115,106,430,400,60,110,19,2,15,56,18,4,25,90,0.275,0.319,0.445,0.764,178,7,2,1,2,1,1,0.32,100,113,74
Season Totals,Last 7 days,6,6,25,24,2,7,2,1,0,3,2,0,0,3,0.292,0.32,0.458,0.778,11,1,1,0,0,0,0,0.333,103,126,4
Season Totals,Last 14 days,13,13,52,50,5,14,4,2,1,6,2,0,1,9,0.28,0.308,0.5,0.808,25,2,1,0,0,0,0,0.325,109,125,7
Season Totals,Last 28 days,24,24,105,99,16,32,5,2,5,15,6,0,4,19,0.323,0.362,0.566,0.928,56,3,2,0,0,0,0,0.36,141,152,20
Season Totals,Last 365 days,115,106,430,400,60,110,19,2,15,56,18,4,25,90,0.275,0.319,0.445,0.764,178,7,2,1,2,1,1,0.32,100,,74
Platoon Splits,vs RHP,102,,305,285,44,78,14,2,14,45,11,1,15,71,0.274,0.313,0.484,0.797,138,4,2,1,2,0,1,0.317,107,122,48
Platoon Splits,vs LHP,60,,125,115,16,32,5,0,1,11,7,3,10,19,0.278,0.336,0.348,0.684,40,3,0,0,0,1,0,0.326,84,93,26
Platoon Splits,vs RHP as RHB,102,,305,285,,78,14,2,14,45,0,0,15,71,0.274,0.313,0.484,0.797,138,4,2,1,2,0,1,0.317,107,128,48
Platoon Splits,vs LHP as RHB,60,,125,115,,32,5,0,1,11,0,0,10,19,0.278,0.336,0.348,0.684,40,3,0,0,0,1,0,0.326,84,89,26
Platoon Splits,vs RH Starter,80,71,289,268,43,76,10,2,14,46,11,1,17,65,0.284,0.329,0.493,0.821,132,4,2,0,2,1,1,0.325,114,128,50
Platoon Splits,vs LH Starter,35,35,141,132,17,34,9,0,1,10,7,3,8,25,0.258,0.3,0.349,0.649,46,3,0,1,0,0,0,0.311,72,83,24
Home or Away,Home,57,54,211,195,31,47,10,1,11,28,5,1,15,42,0.241,0.299,0.472,0.77,92,4,1,0,0,1,0,0.254,100,111,25
Home or Away,Away,58,52,219,205,29,63,9,1,4,28,13,3,10,48,0.307,0.339,0.42,0.759,86,3,1,1,2,0,1,0.381,101,116,49
First or Second Half,1st Half,85,76,300,276,41,67,12,0,9,35,10,3,21,70,0.243,0.294,0.384,0.678,106,4,0,1,2,1,1,0.292,79,91,46
First or Second Half,2nd Half,30,30,130,124,19,43,7,2,6,21,8,1,4,20,0.347,0.377,0.581,0.958,72,3,2,0,0,0,0,0.378,149,161,28
Months,April/March,27,26,106,97,12,20,2,0,4,13,5,0,7,34,0.206,0.257,0.351,0.608,34,0,0,1,1,0,0,0.267,59,73,14
Months,May,23,18,68,65,8,14,2,0,1,3,2,1,3,13,0.215,0.25,0.292,0.542,19,0,0,0,0,0,0,0.255,44,57,11
Months,June,24,21,80,73,14,23,4,0,4,16,1,2,6,14,0.315,0.363,0.534,0.897,39,3,0,0,1,1,1,0.339,134,147,15
Months,July,21,21,88,82,14,26,7,0,3,12,4,1,6,12,0.317,0.364,0.512,0.876,42,2,0,0,0,0,0,0.343,129,138,16
Months,August,20,20,88,83,12,27,4,2,3,12,6,0,3,17,0.325,0.364,0.53,0.894,44,2,2,0,0,0,0,0.381,133,146,18
Game Outcome for Team,in Wins,68,61,257,237,43,71,10,1,12,44,15,2,15,55,0.3,0.344,0.502,0.846,119,5,2,1,2,1,1,0.343,121,102,48
Game Outcome for Team,in Losses,47,45,173,163,17,39,9,1,3,12,3,2,10,35,0.239,0.283,0.362,0.645,59,2,0,0,0,0,0,0.288,70,119,26
Starter or Substitute,as Starter,106,106,421,391,57,107,18,2,15,56,17,4,25,89,0.274,0.319,0.445,0.764,174,6,2,1,2,1,1,0.318,100,113,72
Starter or Substitute,as Sub,9,0,9,9,3,3,1,0,0,0,1,0,0,1,0.333,0.333,0.444,0.778,4,1,0,0,0,0,0,0.375,104,135,2
Defensive Positions,as LF,58,,224,213,33,70,14,2,7,30,10,3,9,34,0.329,0.362,0.512,0.873,109,3,2,0,0,0,1,0.366,129,145,47
Defensive Positions,as RF,54,,198,179,24,37,5,0,8,26,7,1,16,52,0.207,0.269,0.369,0.638,66,4,0,1,2,1,0,0.24,67,74,24
Defensive Positions,as DH,1,,4,4,,1,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,1.0,35,36,1
Defensive Positions,as PH,4,,4,4,2,2,0,0,0,0,1,0,0,1,0.5,0.5,0.5,1.0,2,0,0,0,0,0,0,0.667,169,214,2
Defensive Positions,as PR,,,,,1,,,,,,0,0,,,,,,,,,,,,,,,,,
Leading Off Inning,1st Batter G,19,,19,16,,4,1,0,0,0,,,3,5,0.25,0.368,0.313,0.681,5,0,0,0,0,0,0,0.364,86,96,3
Leading Off Inning,Leadoff Inn.,70,,112,101,,32,7,1,3,3,,,9,20,0.317,0.384,0.495,0.879,50,0,2,0,0,0,1,0.372,132,151,21
Batting Order Positions,Batting 1st,21,19,91,84,14,24,6,0,2,8,7,1,6,19,0.286,0.33,0.429,0.758,36,1,0,0,1,0,0,0.344,100,106,16
Batting Order Positions,Batting 2nd,16,15,66,62,10,20,4,2,3,10,4,0,2,14,0.323,0.364,0.597,0.96,37,1,2,0,0,0,0,0.378,148,150,11
Batting Order Positions,Batting 3rd,1,1,4,4,1,1,0,0,1,1,0,0,0,0,0.25,0.25,1.0,1.25,4,1,0,0,0,0,0,0.0,203,198,0
Batting Order Positions,Batting 5th,10,6,26,25,5,7,1,0,1,6,0,0,1,1,0.28,0.308,0.44,0.748,11,2,0,0,0,0,0,0.261,95,106,5
Batting Order Positions,Batting 6th,4,3,14,13,0,2,1,0,0,1,0,0,1,2,0.154,0.214,0.231,0.445,3,0,0,0,0,0,0,0.182,19,31,1
Batting Order Positions,Batting 7th,10,10,39,35,6,10,1,0,1,6,2,0,4,7,0.286,0.359,0.4,0.759,14,1,0,0,0,0,0,0.333,102,122,8
Batting Order Positions,Batting 8th,27,27,99,91,10,22,3,0,2,7,2,2,7,23,0.242,0.296,0.341,0.637,31,1,0,1,0,0,0,0.303,69,94,17
Batting Order Positions,Batting 9th,26,25,91,86,14,24,3,0,5,17,3,1,4,24,0.279,0.308,0.488,0.796,42,0,0,0,1,1,1,0.328,106,152,16
Swung or Took First Pitch of PA,Swung at 1st Pitch,88,,146,142,,42,9,1,7,29,,,1,27,0.296,0.297,0.521,0.818,74,2,0,1,2,0,0,0.318,110,128,25
Swung or Took First Pitch of PA,Took 1st Pitch,109,,284,258,,68,10,1,8,27,,,24,63,0.264,0.331,0.403,0.734,104,5,2,0,0,1,1,0.321,94,105,49
Count/Balls-Strikes,First Pitch,47,,58,56,8,14,1,0,2,14,6,2,0,0,0.25,0.246,0.375,0.621,21,1,0,1,1,0,0,0.218,61,39,11
Count/Balls-Strikes,1-0 Count,20,,21,21,6,7,0,0,1,4,0,0,0,0,0.333,0.333,0.476,0.81,10,3,0,0,0,0,0,0.3,111,81,6
Count/Balls-Strikes,2-0 Count,6,,7,7,2,2,0,0,0,0,1,1,0,0,0.286,0.286,0.286,0.571,2,0,0,0,0,0,0,0.286,54,29,2
Count/Balls-Strikes,3-0 Count,7,,7,0,1,0,0,0,0,1,0,0,7,0,,1.0,,,0,0,0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,43,,52,52,5,22,4,1,2,9,2,0,0,0,0.423,0.423,0.654,1.077,34,2,0,0,0,0,0,0.4,180,155,15
Count/Balls-Strikes,1-1 Count,29,,32,32,9,11,2,0,3,6,3,1,0,0,0.344,0.344,0.688,1.031,22,0,0,0,0,0,0,0.276,162,137,6
Count/Balls-Strikes,2-1 Count,13,,13,12,1,4,2,0,0,2,0,0,0,0,0.333,0.308,0.5,0.808,6,0,0,0,1,0,1,0.308,109,76,2
Count/Balls-Strikes,3-1 Count,16,,18,9,3,2,1,0,1,2,0,0,9,0,0.222,0.611,0.667,1.278,6,0,0,0,0,0,0,0.125,241,92,0
Count/Balls-Strikes,0-2 Count,40,,49,49,2,9,1,0,1,3,1,0,0,24,0.184,0.184,0.265,0.449,13,0,0,0,0,0,0,0.333,17,135,7
Count/Balls-Strikes,1-2 Count,52,,70,68,7,15,2,0,3,9,3,0,0,33,0.221,0.243,0.382,0.625,26,1,2,0,0,0,0,0.375,62,199,10
Count/Balls-Strikes,2-2 Count,52,,63,63,11,19,6,0,2,6,2,0,0,19,0.302,0.302,0.492,0.794,31,0,0,0,0,0,0,0.405,105,251,11
Count/Balls-Strikes,Full Count,39,,40,31,5,5,0,1,0,0,0,0,9,14,0.161,0.35,0.226,0.576,7,0,0,0,0,0,0,0.294,61,45,4
