Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,32,32,121,113,19,19,1,1,5,16,0,0,6,43,0.168,0.223,0.327,0.551,37,1,2,0,0,0,1,0.215,100,53,12
Season Totals,Last 7 days,7,7,25,23,1,1,0,0,0,1,0,0,1,9,0.044,0.12,0.044,0.164,1,0,1,0,0,0,0,0.071,-33,-49,1
Season Totals,Last 14 days,13,13,50,47,6,8,0,1,1,4,0,0,2,16,0.17,0.22,0.277,0.497,13,0,1,0,0,0,0,0.233,83,41,6
Season Totals,Last 28 days,22,22,85,79,14,17,1,1,5,15,0,0,4,25,0.215,0.271,0.443,0.714,35,1,2,0,0,0,0,0.245,157,93,10
Season Totals,Last 365 days,32,32,121,113,19,19,1,1,5,16,0,0,6,43,0.168,0.223,0.327,0.551,37,1,2,0,0,0,1,0.215,100,,12
Platoon Splits,vs RHP,30,,90,86,15,15,0,1,4,13,0,0,4,34,0.174,0.211,0.337,0.548,29,1,0,0,0,0,0,0.229,98,52,10
Platoon Splits,vs LHP,18,,31,27,4,4,1,0,1,3,0,0,2,9,0.148,0.258,0.296,0.554,8,0,2,0,0,0,1,0.177,106,56,2
Platoon Splits,vs RHP as LHB,30,,90,86,,15,0,1,4,13,0,0,4,34,0.174,0.211,0.337,0.548,29,1,0,0,0,0,0,0.229,98,47,10
Platoon Splits,vs LHP as LHB,18,,31,27,,4,1,0,1,3,0,0,2,9,0.148,0.258,0.296,0.554,8,0,2,0,0,0,1,0.177,106,66,2
Platoon Splits,vs RH Starter,25,25,95,89,14,12,0,0,5,12,0,0,5,34,0.135,0.19,0.303,0.493,27,1,1,0,0,0,1,0.14,77,36,7
Platoon Splits,vs LH Starter,7,7,26,24,5,7,1,1,0,4,0,0,1,9,0.292,0.346,0.417,0.763,10,0,1,0,0,0,0,0.467,183,114,5
Home or Away,Home,14,14,54,53,6,9,0,1,1,6,0,0,1,20,0.17,0.185,0.264,0.449,14,0,0,0,0,0,0,0.25,64,23,7
Home or Away,Away,18,18,67,60,13,10,1,0,4,10,0,0,5,23,0.167,0.254,0.383,0.637,23,1,2,0,0,0,1,0.182,131,79,5
