Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,122,115,462,432,62,125,21,6,17,69,13,2,21,83,0.289,0.32,0.484,0.804,209,2,1,3,5,1,3,0.321,100,123,81
Season Totals,Last 7 days,5,5,20,20,3,7,2,2,0,5,0,0,0,1,0.35,0.35,0.65,1.0,13,0,0,0,0,0,0,0.368,144,181,3
Season Totals,Last 14 days,12,12,50,46,11,16,2,3,4,13,2,0,3,6,0.348,0.38,0.783,1.163,36,0,0,0,1,0,0,0.324,181,213,7
Season Totals,Last 28 days,23,23,95,85,20,29,8,4,5,21,3,0,5,13,0.341,0.362,0.706,1.068,60,1,0,1,4,0,0,0.338,159,184,12
Season Totals,Last 365 days,122,115,462,432,62,125,21,6,17,69,13,2,21,83,0.289,0.32,0.484,0.804,209,2,1,3,5,1,3,0.321,100,,81
Platoon Splits,vs RHP,113,,335,312,49,99,18,6,12,53,10,2,16,64,0.317,0.349,0.529,0.878,165,2,1,3,3,1,3,0.364,118,145,63
Platoon Splits,vs LHP,64,,127,120,13,26,3,0,5,16,3,0,5,19,0.217,0.244,0.367,0.611,44,0,0,0,2,0,0,0.214,52,69,18
Platoon Splits,vs RHP as LHB,113,,335,312,,99,18,6,12,53,0,0,16,64,0.317,0.349,0.529,0.878,165,2,1,3,3,1,3,0.364,118,137,63
Platoon Splits,vs LHP as LHB,64,,127,120,,26,3,0,5,16,0,0,5,19,0.217,0.244,0.367,0.611,44,0,0,0,2,0,0,0.214,52,80,18
Platoon Splits,vs RH Starter,85,85,341,316,46,93,18,5,10,49,11,1,19,63,0.294,0.331,0.478,0.809,151,2,0,3,3,0,2,0.337,102,126,60
Platoon Splits,vs LH Starter,37,30,121,116,16,32,3,1,7,20,2,1,2,20,0.276,0.289,0.5,0.789,58,0,1,0,2,1,1,0.275,94,117,21
Home or Away,Home,62,57,222,208,28,49,12,2,7,28,6,0,11,39,0.236,0.273,0.414,0.686,86,1,0,2,1,1,2,0.258,71,88,28
Home or Away,Away,60,58,240,224,34,76,9,4,10,41,7,2,10,44,0.339,0.364,0.549,0.913,123,1,1,1,4,0,1,0.379,127,157,53
First or Second Half,1st Half,95,88,350,331,40,92,12,2,12,46,10,2,15,61,0.278,0.31,0.435,0.745,144,1,1,2,1,1,3,0.309,87,109,66
