Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,68,55,232,199,25,52,12,1,8,32,0,0,23,52,0.261,0.359,0.452,0.812,90,10,8,1,1,1,1,0.314,100,128,31
Season Totals,Last 7 days,3,3,12,11,1,3,0,0,1,3,0,0,0,5,0.273,0.333,0.546,0.879,6,0,1,0,0,0,0,0.4,113,153,2
Season Totals,Last 14 days,6,6,24,22,2,5,0,0,1,5,0,0,1,10,0.227,0.292,0.364,0.655,8,0,1,0,0,0,0,0.364,62,86,4
Season Totals,Last 28 days,12,11,44,38,4,8,0,0,3,8,0,0,3,12,0.211,0.318,0.447,0.766,17,1,3,0,0,0,0,0.217,88,109,5
Season Totals,Last 365 days,91,75,308,269,32,67,19,1,9,38,0,0,28,70,0.249,0.337,0.428,0.764,115,14,8,2,1,1,1,0.304,89,,38
Platoon Splits,vs RHP,58,,148,132,13,33,7,0,3,21,0,0,10,31,0.25,0.327,0.371,0.698,49,6,5,1,0,0,0,0.306,73,98,23
Platoon Splits,vs LHP,45,,84,67,12,19,5,1,5,11,0,0,13,21,0.284,0.417,0.612,1.029,41,4,3,0,1,1,1,0.333,152,185,8
Platoon Splits,vs RHP as RHB,58,,148,132,,33,7,0,3,21,0,0,10,31,0.25,0.327,0.371,0.698,49,6,5,1,0,0,0,0.306,73,104,23
Platoon Splits,vs LHP as RHB,45,,84,67,,19,5,1,5,11,0,0,13,21,0.284,0.417,0.612,1.029,41,4,3,0,1,1,1,0.333,152,177,8
Platoon Splits,vs RH Starter,41,30,133,118,10,31,8,0,3,17,0,0,10,28,0.263,0.341,0.407,0.748,48,7,4,1,0,1,0,0.322,85,111,20
Platoon Splits,vs LH Starter,27,25,99,81,15,21,4,1,5,15,0,0,13,24,0.259,0.384,0.519,0.902,42,3,4,0,1,0,1,0.302,122,152,11
Home or Away,Home,31,27,112,98,13,26,7,1,3,15,0,0,11,32,0.265,0.348,0.449,0.797,44,4,2,0,1,1,1,0.359,96,120,15
Home or Away,Away,37,28,120,101,12,26,5,0,5,17,0,0,12,20,0.257,0.37,0.455,0.825,46,6,6,1,0,0,0,0.276,104,135,16
First or Second Half,1st Half,51,40,166,142,17,36,9,1,4,19,0,0,18,36,0.254,0.352,0.416,0.767,59,9,4,1,1,0,1,0.311,90,117,22
First or Second Half,2nd Half,17,15,66,57,8,16,3,0,4,13,0,0,5,16,0.281,0.379,0.544,0.923,31,1,4,0,0,1,0,0.324,126,153,9
Months,April/March,11,9,31,25,3,8,2,0,0,2,0,0,3,4,0.32,0.419,0.4,0.819,10,2,2,0,1,0,1,0.364,105,137,6
Months,May,14,11,49,44,6,14,2,0,3,12,0,0,4,11,0.318,0.388,0.568,0.956,25,3,1,0,0,0,0,0.367,134,173,9
Months,June,19,15,63,55,5,12,4,0,1,5,0,0,7,16,0.218,0.307,0.346,0.652,19,1,0,1,0,0,0,0.29,62,83,7
Months,July,14,11,52,43,7,10,4,1,1,6,0,0,7,10,0.233,0.365,0.442,0.807,19,3,2,0,0,1,0,0.281,100,121,4
Months,August,10,9,37,32,4,8,0,0,3,7,0,0,2,11,0.25,0.351,0.531,0.883,17,1,3,0,0,0,0,0.278,115,142,5
Game Outcome for Team,in Wins,23,18,83,75,10,22,7,0,2,14,0,0,5,19,0.293,0.354,0.467,0.82,35,5,2,1,0,1,0,0.37,102,98,13
Game Outcome for Team,in Losses,45,37,149,124,15,30,5,1,6,18,0,0,18,33,0.242,0.362,0.444,0.806,55,5,6,0,1,0,1,0.279,99,174,18
Starter or Substitute,as Starter,55,55,214,183,23,47,11,1,6,30,0,0,21,49,0.257,0.357,0.426,0.783,78,7,8,1,1,1,1,0.318,94,120,29
Starter or Substitute,as Sub,13,0,18,16,2,5,1,0,2,2,0,0,2,3,0.313,0.389,0.75,1.139,12,3,0,0,0,0,0,0.273,174,239,2
Defensive Positions,as C,60,,222,190,23,49,12,1,6,29,0,0,22,48,0.258,0.358,0.426,0.784,81,10,8,1,1,1,1,0.314,94,128,30
Defensive Positions,as DH,1,,4,4,,1,0,0,0,1,0,0,0,2,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,0.5,25,36,1
Defensive Positions,as PH,6,,6,5,2,2,0,0,2,2,0,0,1,2,0.4,0.5,1.6,2.1,8,0,0,0,0,0,0,0.0,393,531,0
Leading Off Inning,Leadoff Inn.,28,,33,30,,11,4,0,2,2,,,1,5,0.367,0.424,0.7,1.124,21,0,2,0,0,0,0,0.391,173,216,5
Batting Order Positions,Batting 3rd,1,0,3,2,0,1,0,0,0,0,0,0,1,1,0.5,0.667,0.5,1.167,1,0,0,0,0,0,0,1.0,196,211,1
Batting Order Positions,Batting 4th,10,5,26,24,5,7,3,0,1,2,0,0,2,5,0.292,0.346,0.542,0.888,13,2,0,0,0,0,0,0.333,116,138,3
Batting Order Positions,Batting 5th,7,6,27,23,3,7,2,0,2,6,0,0,1,5,0.304,0.385,0.652,1.037,15,1,2,1,0,0,0,0.313,152,182,3
Batting Order Positions,Batting 6th,17,14,60,53,4,8,1,1,1,5,0,0,6,15,0.151,0.25,0.264,0.514,14,4,1,0,0,0,0,0.189,28,51,5
Batting Order Positions,Batting 7th,11,11,44,39,3,9,2,0,0,7,0,0,4,14,0.231,0.318,0.282,0.6,11,1,1,0,0,1,0,0.36,51,78,7
Batting Order Positions,Batting 8th,9,9,35,29,5,9,2,0,2,9,0,0,3,9,0.31,0.4,0.586,0.986,17,1,2,0,1,0,0,0.368,141,197,5
Batting Order Positions,Batting 9th,13,10,37,29,5,11,2,0,2,3,0,0,6,3,0.379,0.514,0.655,1.169,19,1,2,0,0,0,1,0.375,188,274,7
Swung or Took First Pitch of PA,Swung at 1st Pitch,55,,76,72,,22,6,0,3,12,,,2,15,0.306,0.333,0.514,0.847,37,5,1,1,0,0,0,0.352,107,139,13
Swung or Took First Pitch of PA,Took 1st Pitch,60,,156,127,,30,6,1,5,20,,,21,37,0.236,0.372,0.417,0.789,53,5,7,0,1,1,1,0.291,96,121,18
Count/Balls-Strikes,First Pitch,28,,33,29,4,13,3,0,3,10,0,0,0,0,0.448,0.5,0.862,1.362,25,2,3,1,0,0,0,0.385,230,200,7
Count/Balls-Strikes,1-0 Count,10,,11,10,2,4,1,0,1,4,0,0,0,0,0.4,0.455,0.8,1.255,8,1,1,0,0,0,0,0.333,204,173,2
Count/Balls-Strikes,2-0 Count,2,,2,2,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,1,1,0,0,0,0,0,0.5,150,126,1
Count/Balls-Strikes,3-0 Count,8,,8,0,,0,0,0,0,0,0,0,8,0,,1.0,,,0,0,0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,14,,14,13,6,3,0,0,2,5,0,0,0,0,0.231,0.214,0.692,0.907,9,0,0,0,1,0,0,0.083,113,100,1
Count/Balls-Strikes,1-1 Count,13,,15,15,2,2,1,0,1,3,0,0,0,0,0.133,0.133,0.4,0.533,6,4,0,0,0,0,0,0.071,26,17,0
Count/Balls-Strikes,2-1 Count,10,,10,9,1,3,0,1,0,0,0,0,0,0,0.333,0.4,0.556,0.956,5,0,1,0,0,0,0,0.333,134,112,2
Count/Balls-Strikes,3-1 Count,12,,13,6,1,3,1,0,0,0,0,0,7,0,0.5,0.769,0.667,1.436,4,0,0,0,0,0,0,0.5,262,115,2
Count/Balls-Strikes,0-2 Count,24,,30,28,2,5,0,0,0,1,0,0,0,15,0.179,0.233,0.179,0.412,5,0,2,0,0,0,0,0.385,5,127,5
Count/Balls-Strikes,1-2 Count,24,,31,30,2,8,3,0,1,5,0,0,0,13,0.267,0.29,0.467,0.757,14,0,1,0,0,0,0,0.438,84,261,4
Count/Balls-Strikes,2-2 Count,29,,38,38,,6,1,0,0,2,0,0,0,15,0.158,0.158,0.184,0.342,7,1,0,0,0,0,1,0.261,-15,57,5
Count/Balls-Strikes,Full Count,24,,27,19,4,4,2,0,0,2,0,0,8,9,0.211,0.444,0.316,0.76,6,1,0,0,0,0,0,0.4,94,93,2
Count/Balls-Strikes,After 1-0,48,,85,66,,19,5,1,1,9,,,17,13,0.288,0.447,0.439,0.887,29,5,2,0,0,1,1,0.346,122,122,12
Count/Balls-Strikes,After 2-0,27,,35,20,,6,2,1,0,1,,,14,2,0.3,0.6,0.5,1.1,10,2,1,0,0,1,0,0.333,178,129,3
Count/Balls-Strikes,After 3-0,11,,13,4,,2,1,0,0,0,,,9,0,0.5,0.846,0.75,1.596,3,0,0,0,0,1,0,0.5,302,162,1
Count/Balls-Strikes,After 0-1,57,,114,104,,20,4,0,4,13,,,6,39,0.192,0.254,0.346,0.601,36,3,3,0,1,0,0,0.258,47,98,12
Count/Balls-Strikes,After 1-1,49,,81,74,,15,5,0,2,10,,,7,26,0.203,0.272,0.351,0.623,26,5,0,0,0,0,1,0.283,53,87,8
Count/Balls-Strikes,After 2-1,38,,51,41,,8,3,1,0,3,,,9,14,0.195,0.353,0.317,0.67,13,2,1,0,0,0,1,0.296,69,71,4
Count/Balls-Strikes,After 3-1,18,,21,13,,4,2,0,0,1,,,8,4,0.308,0.571,0.462,1.033,6,1,0,0,0,0,0,0.444,161,102,2
Count/Balls-Strikes,After 0-2,43,,58,53,,11,1,0,0,2,,,2,24,0.208,0.276,0.226,0.502,12,0,3,0,0,0,0,0.379,27,128,10
Count/Balls-Strikes,After 1-2,42,,63,57,,14,3,0,1,6,,,5,23,0.246,0.318,0.351,0.668,20,0,1,0,0,0,0,0.394,66,170,10
Count/Balls-Strikes,After 2-2,38,,57,50,,9,2,0,0,3,,,7,20,0.18,0.281,0.22,0.501,11,1,0,0,0,0,1,0.3,27,72,7
Count/Balls-Strikes,Zero Balls,50,,77,70,12,21,3,0,5,16,0,0,0,15,0.3,0.342,0.557,0.899,39,2,5,1,1,0,0,0.314,119,149,13
Count/Balls-Strikes,Zero Strikes,43,,54,41,7,18,4,0,4,14,0,0,8,0,0.439,0.566,0.829,1.395,34,4,4,1,0,1,0,0.378,241,190,10
Count/Balls-Strikes,Three Balls,34,,48,25,5,7,3,0,0,2,0,0,23,9,0.28,0.625,0.4,1.025,10,1,0,0,0,1,0,0.438,163,118,4
Count/Balls-Strikes,Two Strikes,58,,126,115,8,23,6,0,1,10,0,0,8,52,0.2,0.27,0.278,0.548,32,2,3,0,0,0,1,0.355,37,115,16
