Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,116,110,410,367,63,91,18,1,2,28,29,6,24,81,0.248,0.309,0.319,0.627,117,8,9,8,2,0,4,0.311,100,78,70
Season Totals,Last 7 days,6,6,22,20,1,4,1,0,0,3,2,0,1,3,0.2,0.227,0.25,0.477,5,0,0,0,1,0,0,0.222,52,38,3
Season Totals,Last 14 days,12,12,44,40,5,9,2,0,1,5,3,0,2,6,0.225,0.256,0.35,0.606,14,0,0,1,1,0,0,0.235,93,68,6
Season Totals,Last 28 days,25,24,93,84,13,20,4,1,1,9,5,1,6,18,0.238,0.286,0.345,0.631,29,2,0,2,1,0,0,0.288,101,74,14
Season Totals,Last 365 days,149,142,531,474,72,118,25,2,2,40,42,6,34,103,0.249,0.312,0.323,0.634,153,10,10,11,2,0,4,0.313,103,,89
Platoon Splits,vs RHP,98,,289,260,38,62,14,1,1,19,16,2,15,61,0.239,0.294,0.312,0.606,81,8,6,7,1,0,3,0.307,93,72,46
Platoon Splits,vs LHP,57,,121,107,25,29,4,0,1,9,13,4,9,20,0.271,0.342,0.336,0.678,36,0,3,1,1,0,1,0.322,116,92,24
Platoon Splits,vs RHP as RHB,98,,289,260,,62,14,1,1,19,0,0,15,61,0.239,0.294,0.312,0.606,81,8,6,7,1,0,3,0.307,93,77,46
Platoon Splits,vs LHP as RHB,57,,121,107,,29,4,0,1,9,0,0,9,20,0.271,0.342,0.336,0.678,36,0,3,1,1,0,1,0.322,116,88,24
Platoon Splits,vs RH Starter,81,75,282,253,45,60,14,1,1,18,16,4,17,60,0.237,0.294,0.312,0.606,79,7,4,6,2,0,4,0.304,93,72,44
Platoon Splits,vs LH Starter,35,35,128,114,18,31,4,0,1,10,13,2,7,21,0.272,0.341,0.333,0.675,38,1,5,2,0,0,0,0.326,115,92,26
Home or Away,Home,57,54,192,170,25,40,7,0,2,11,9,0,16,41,0.235,0.303,0.312,0.615,53,6,1,4,1,0,1,0.297,96,72,31
Home or Away,Away,59,56,218,197,38,51,11,1,0,17,20,6,8,40,0.259,0.313,0.325,0.638,64,2,8,4,1,0,3,0.323,104,84,39
First or Second Half,1st Half,86,81,301,270,47,67,13,0,1,18,20,5,17,62,0.248,0.311,0.307,0.618,83,6,8,5,1,0,4,0.317,97,77,53
First or Second Half,2nd Half,30,29,109,97,16,24,5,1,1,10,9,1,7,19,0.247,0.302,0.351,0.652,34,2,1,3,1,0,0,0.295,108,81,17
Months,April/March,22,19,73,67,16,21,4,0,0,7,12,0,1,10,0.313,0.352,0.373,0.725,25,0,3,2,0,0,1,0.368,131,109,17
Months,May,25,23,87,76,9,18,3,0,0,7,5,3,6,20,0.237,0.314,0.276,0.59,21,0,3,1,1,0,2,0.316,89,73,15
Months,June,25,25,87,81,16,22,5,0,1,4,2,2,5,18,0.272,0.322,0.37,0.692,30,4,1,0,0,0,1,0.339,121,94,16
Months,July,26,25,97,83,14,16,3,1,0,4,7,1,9,22,0.193,0.287,0.253,0.54,21,3,2,3,0,0,0,0.262,73,51,12
Months,August,18,18,66,60,8,14,3,0,1,6,3,0,3,11,0.233,0.266,0.333,0.599,20,1,0,2,1,0,0,0.265,91,66,10
Game Outcome for Team,in Wins,54,52,201,175,43,52,9,1,1,19,21,3,15,34,0.297,0.371,0.377,0.748,66,5,6,4,1,0,2,0.362,139,84,41
Game Outcome for Team,in Losses,62,58,209,192,20,39,9,0,1,9,8,3,9,47,0.203,0.249,0.266,0.514,51,3,3,4,1,0,2,0.262,64,76,29
Starter or Substitute,as Starter,110,110,406,364,62,91,18,1,2,28,29,5,23,78,0.25,0.309,0.321,0.63,117,8,9,8,2,0,4,0.311,101,79,70
Starter or Substitute,as Sub,6,0,4,3,1,0,0,0,0,0,0,1,1,3,0.0,0.25,0.0,0.25,0,0,0,0,0,0,0,,-19,-17,0
Defensive Positions,as CF,112,,408,365,63,91,18,1,2,28,29,5,24,79,0.249,0.31,0.321,0.631,117,8,9,8,2,0,4,0.311,101,84,70
Defensive Positions,as DH,,,,,0,,,,,,0,1,,,,,,,,,,,,,,,,,
Defensive Positions,as PH,2,,2,2,,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Leading Off Inning,1st Batter G,12,,12,12,,3,0,0,0,0,,,0,4,0.25,0.25,0.25,0.5,3,0,0,0,0,0,1,0.375,60,42,3
Leading Off Inning,Leadoff Inn.,77,,115,103,,29,8,0,2,2,,,9,21,0.282,0.357,0.418,0.774,43,0,3,0,0,0,1,0.338,147,123,19
