Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,105,103,442,407,55,101,15,1,25,57,1,1,24,119,0.248,0.301,0.474,0.775,193,9,8,0,3,1,3,0.286,100,115,60
Season Totals,Last 7 days,6,6,27,24,2,4,2,0,1,2,1,0,1,8,0.167,0.259,0.375,0.634,9,0,2,0,0,1,0,0.2,65,84,1
Season Totals,Last 14 days,11,11,51,44,12,13,2,0,5,7,1,0,3,12,0.296,0.392,0.682,1.074,30,1,4,0,0,1,0,0.296,174,198,6
Season Totals,Last 28 days,24,24,109,95,20,29,4,0,12,18,1,0,6,28,0.305,0.385,0.726,1.112,69,3,7,0,1,1,0,0.304,181,198,13
Season Totals,Last 365 days,138,136,576,530,73,135,22,1,32,74,1,1,29,150,0.255,0.306,0.481,0.787,255,10,12,0,5,1,4,0.292,103,,80
Platoon Splits,vs RHP,98,,303,278,40,72,9,1,16,40,1,0,16,86,0.259,0.317,0.471,0.788,131,7,8,0,1,0,2,0.316,105,120,46
Platoon Splits,vs LHP,61,,139,129,15,29,6,0,9,17,0,1,8,33,0.225,0.266,0.481,0.747,62,2,0,0,2,1,1,0.225,90,104,14
Platoon Splits,vs RHP as RHB,98,,303,278,,72,9,1,16,40,0,0,16,86,0.259,0.317,0.471,0.788,131,7,8,0,1,0,2,0.316,105,126,46
Platoon Splits,vs LHP as RHB,61,,139,129,,29,6,0,9,17,0,0,8,33,0.225,0.266,0.481,0.747,62,2,0,0,2,1,1,0.225,90,99,14
Platoon Splits,vs RH Starter,67,65,283,259,38,66,7,0,17,38,0,0,15,84,0.255,0.311,0.479,0.79,124,7,7,0,2,0,1,0.306,104,119,42
Platoon Splits,vs LH Starter,38,38,159,148,17,35,8,1,8,19,1,1,9,35,0.237,0.283,0.466,0.749,69,2,1,0,1,1,2,0.255,92,107,18
Home or Away,Home,55,54,234,217,31,49,7,0,11,27,1,0,12,57,0.226,0.278,0.41,0.688,89,5,4,0,1,1,1,0.253,79,89,31
Home or Away,Away,50,49,208,190,24,52,8,1,14,30,0,1,12,62,0.274,0.327,0.547,0.874,104,4,4,0,2,0,2,0.328,124,145,29
First or Second Half,1st Half,73,72,302,284,30,64,9,1,10,35,0,1,16,81,0.225,0.265,0.37,0.635,105,6,0,0,2,0,3,0.277,66,78,44
First or Second Half,2nd Half,32,31,140,123,25,37,6,0,15,22,1,0,8,38,0.301,0.379,0.715,1.094,88,3,8,0,1,1,0,0.31,177,195,16
Months,April/March,16,16,64,57,8,13,2,0,3,15,0,0,5,13,0.228,0.281,0.421,0.702,24,5,0,0,2,0,0,0.233,82,99,8
Months,May,22,21,91,89,7,19,2,0,1,6,0,1,2,22,0.214,0.231,0.27,0.501,24,0,0,0,0,0,0,0.273,34,45,16
Months,June,24,24,100,94,9,20,4,1,3,6,0,0,6,30,0.213,0.26,0.372,0.632,35,1,0,0,0,0,2,0.279,65,75,12
Months,July,23,22,96,87,14,25,4,0,8,15,0,0,6,28,0.287,0.354,0.609,0.963,53,1,3,0,0,0,1,0.333,146,158,13
Months,August,20,20,91,80,17,24,3,0,10,15,1,0,5,26,0.3,0.374,0.713,1.086,57,2,5,0,1,1,0,0.311,175,194,11
Game Outcome for Team,in Wins,39,38,167,154,29,41,7,0,13,32,0,0,11,45,0.266,0.311,0.565,0.876,87,3,0,0,2,0,0,0.286,123,106,21
Game Outcome for Team,in Losses,66,65,275,253,26,60,8,1,12,25,1,1,13,74,0.237,0.295,0.419,0.714,106,6,8,0,1,1,3,0.286,86,141,39
Starter or Substitute,as Starter,103,103,440,406,54,101,15,1,25,57,1,1,23,118,0.249,0.3,0.475,0.775,193,9,8,0,3,1,3,0.286,100,114,60
Starter or Substitute,as Sub,2,0,2,1,1,0,0,0,0,0,0,0,1,1,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,,66,65,0
Defensive Positions,as 1B,42,,169,160,23,43,8,1,8,19,1,1,8,35,0.269,0.308,0.481,0.789,77,4,1,0,0,1,2,0.299,104,114,26
Defensive Positions,as 3B,53,,220,200,25,50,6,0,13,31,0,0,14,63,0.25,0.309,0.475,0.784,95,5,4,0,2,0,1,0.294,103,119,31
Defensive Positions,as DH,12,,51,46,6,8,1,0,4,7,0,0,1,20,0.174,0.235,0.457,0.692,21,0,3,0,1,0,0,0.174,75,80,3
Defensive Positions,as PH,2,,2,1,1,0,0,0,0,0,0,0,1,1,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,,66,70,0
Leading Off Inning,Leadoff Inn.,71,,99,95,,21,4,0,8,8,,,2,26,0.221,0.253,0.516,0.768,49,0,2,0,0,0,0,0.213,93,114,9
Batting Order Positions,Batting 2nd,24,24,109,98,21,30,3,0,12,19,1,0,5,27,0.306,0.367,0.704,1.071,69,2,5,0,1,1,0,0.3,171,175,15
Batting Order Positions,Batting 3rd,28,28,114,108,13,23,2,0,5,17,0,0,5,31,0.213,0.246,0.37,0.616,40,4,0,0,1,0,1,0.247,60,56,16
Batting Order Positions,Batting 4th,21,21,88,79,8,19,6,1,3,8,0,1,6,22,0.241,0.318,0.456,0.774,36,1,3,0,0,0,0,0.296,102,109,9
Batting Order Positions,Batting 5th,30,30,129,121,12,29,4,0,5,13,0,0,7,38,0.24,0.279,0.397,0.676,48,2,0,0,1,0,2,0.304,76,86,20
Batting Order Positions,Batting 9th,2,0,2,1,1,0,0,0,0,0,0,0,1,1,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,,66,77,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,92,,175,173,,38,5,1,12,21,,,0,47,0.22,0.229,0.468,0.697,81,6,2,0,0,0,1,0.228,75,92,20
Swung or Took First Pitch of PA,Took 1st Pitch,104,,267,234,,63,10,0,13,36,,,24,72,0.269,0.348,0.479,0.827,112,3,6,0,3,1,2,0.329,117,130,40
Count/Balls-Strikes,First Pitch,51,,63,61,14,19,3,0,5,8,0,0,0,0,0.312,0.333,0.607,0.94,37,4,2,0,0,0,0,0.25,139,106,11
Count/Balls-Strikes,1-0 Count,17,,23,22,6,9,0,0,2,3,0,1,0,0,0.409,0.435,0.682,1.117,15,0,1,0,0,0,0,0.35,188,146,7
Count/Balls-Strikes,2-0 Count,5,,5,5,1,2,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,2,0,0,0,0,0,0,0.4,117,81,2
Count/Balls-Strikes,3-0 Count,5,,5,1,1,1,0,0,1,2,0,0,4,0,1.0,1.0,4.0,5.0,4,0,0,0,0,1,0,,1076,449,0
Count/Balls-Strikes,0-1 Count,39,,45,43,7,16,2,0,5,13,0,0,0,0,0.372,0.4,0.767,1.167,33,1,2,0,0,0,2,0.29,195,171,9
Count/Balls-Strikes,1-1 Count,39,,43,42,7,13,1,1,4,12,0,0,0,0,0.31,0.302,0.667,0.969,28,0,0,0,1,0,1,0.231,141,120,7
Count/Balls-Strikes,2-1 Count,22,,23,22,4,8,2,0,1,6,0,0,0,0,0.364,0.391,0.591,0.982,13,1,1,0,0,0,0,0.333,155,116,5
Count/Balls-Strikes,3-1 Count,16,,17,8,1,5,2,0,0,2,0,0,9,0,0.625,0.824,0.875,1.699,7,0,0,0,0,0,0,0.625,358,155,3
Count/Balls-Strikes,0-2 Count,40,,50,47,3,3,0,0,2,5,0,0,0,34,0.064,0.08,0.192,0.272,9,0,1,0,2,0,0,0.077,-33,36,1
Count/Balls-Strikes,1-2 Count,60,,77,77,2,9,1,0,1,2,0,0,0,46,0.117,0.117,0.169,0.286,13,2,0,0,0,0,0,0.267,-26,38,7
Count/Balls-Strikes,2-2 Count,45,,56,55,5,10,2,0,2,2,1,0,0,27,0.182,0.196,0.327,0.524,18,1,1,0,0,0,0,0.308,34,131,6
Count/Balls-Strikes,Full Count,33,,35,24,4,6,2,0,2,2,0,0,11,12,0.25,0.486,0.583,1.069,14,0,0,0,0,0,0,0.4,185,183,2
Count/Balls-Strikes,After 1-0,88,,150,127,,39,5,0,7,18,,,20,33,0.307,0.413,0.512,0.925,65,0,3,0,0,1,0,0.368,145,130,27
Count/Balls-Strikes,After 2-0,37,,43,32,,11,3,0,3,5,,,10,8,0.344,0.512,0.719,1.23,23,0,1,0,0,1,0,0.381,222,158,5
Count/Balls-Strikes,After 3-0,13,,15,7,,3,0,0,1,2,,,8,1,0.429,0.733,0.857,1.59,6,0,0,0,0,1,0,0.4,324,168,2
Count/Balls-Strikes,After 0-1,100,,229,219,,43,7,1,13,31,,,4,86,0.196,0.218,0.416,0.634,91,5,3,0,3,0,3,0.244,60,105,22
Count/Balls-Strikes,After 1-1,91,,159,143,,33,4,1,6,20,,,14,49,0.231,0.302,0.399,0.701,57,2,1,0,1,0,1,0.303,85,111,22
Count/Balls-Strikes,After 2-1,56,,72,59,,18,5,0,3,10,,,12,17,0.305,0.431,0.542,0.973,32,1,1,0,0,0,0,0.385,158,147,10
Count/Balls-Strikes,After 3-1,25,,28,17,,7,2,0,1,3,,,11,5,0.412,0.643,0.706,1.349,12,0,0,0,0,0,0,0.546,263,170,4
Count/Balls-Strikes,After 0-2,69,,109,106,,13,3,0,4,8,,,0,62,0.123,0.128,0.264,0.393,28,2,1,0,2,0,0,0.214,-2,68,6
Count/Balls-Strikes,After 1-2,80,,126,121,,18,4,0,3,4,,,4,67,0.149,0.183,0.256,0.439,31,3,1,0,0,0,0,0.294,15,76,11
Count/Balls-Strikes,After 2-2,59,,80,70,,14,4,0,3,3,,,9,34,0.2,0.3,0.386,0.686,27,1,1,0,0,0,0,0.333,81,136,7
Count/Balls-Strikes,Zero Balls,85,,158,151,24,38,5,0,12,26,0,0,0,34,0.252,0.272,0.523,0.795,79,5,5,0,2,0,2,0.243,101,117,21
Count/Balls-Strikes,Zero Strikes,68,,96,89,22,31,3,0,8,13,0,1,4,0,0.348,0.396,0.652,1.048,58,4,3,0,0,1,0,0.284,169,116,20
Count/Balls-Strikes,Three Balls,48,,57,33,6,12,4,0,3,6,0,0,24,12,0.364,0.632,0.758,1.389,25,0,0,0,0,1,0,0.5,270,211,5
Count/Balls-Strikes,Two Strikes,99,,218,203,14,28,5,0,7,11,1,0,11,119,0.138,0.188,0.266,0.454,54,3,2,0,2,0,0,0.266,19,77,16
Count/Balls-Strikes,Batter Ahead,72,,108,82,17,31,6,0,6,15,0,1,24,12,0.378,0.528,0.671,1.199,55,1,2,0,0,1,0,0.391,217,150,19
