Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,122,119,517,458,60,114,24,2,15,73,3,2,42,91,0.249,0.324,0.408,0.732,187,13,10,1,3,0,4,0.279,100,105,73
Season Totals,Last 7 days,6,6,26,19,6,5,1,0,1,6,1,0,6,2,0.263,0.462,0.474,0.935,9,0,1,0,0,0,0,0.25,159,173,3
Season Totals,Last 14 days,13,12,51,42,7,10,2,0,1,10,1,0,6,6,0.238,0.373,0.357,0.73,15,0,3,0,0,0,0,0.257,103,106,7
Season Totals,Last 28 days,24,22,99,86,10,19,5,0,1,15,1,0,10,16,0.221,0.323,0.314,0.637,27,0,3,0,0,0,0,0.261,77,78,13
Season Totals,Last 365 days,126,123,532,472,60,117,24,2,15,73,3,2,42,94,0.248,0.322,0.403,0.725,190,13,11,1,3,0,4,0.279,98,,76
Platoon Splits,vs RHP,117,,376,331,49,88,20,2,14,59,2,2,31,64,0.266,0.341,0.465,0.807,154,7,8,1,2,0,4,0.29,119,126,52
Platoon Splits,vs LHP,72,,141,127,11,26,4,0,1,14,1,0,11,27,0.205,0.277,0.26,0.536,33,6,2,0,1,0,0,0.25,49,52,21
Platoon Splits,vs RHP as LHB,117,,376,331,,88,20,2,14,59,0,0,31,64,0.266,0.341,0.465,0.807,154,7,8,1,2,0,4,0.29,119,119,52
Platoon Splits,vs LHP as LHB,72,,141,127,,26,4,0,1,14,0,0,11,27,0.205,0.277,0.26,0.536,33,6,2,0,1,0,0,0.25,49,62,21
Platoon Splits,vs RH Starter,86,85,375,330,51,94,21,2,15,64,2,2,31,65,0.285,0.356,0.497,0.853,164,6,7,1,3,0,4,0.312,132,138,56
Platoon Splits,vs LH Starter,36,34,142,128,9,20,3,0,0,9,1,0,11,26,0.156,0.239,0.18,0.419,23,7,3,0,0,0,0,0.196,18,21,17
Home or Away,Home,62,61,257,228,37,61,16,1,11,36,1,1,23,42,0.268,0.345,0.491,0.836,112,6,4,0,0,0,3,0.286,127,130,33
Home or Away,Away,60,58,260,230,23,53,8,1,4,37,2,1,19,49,0.23,0.302,0.326,0.628,75,7,6,1,3,0,1,0.272,73,81,40
First or Second Half,1st Half,94,93,401,358,49,92,19,2,13,55,2,2,30,70,0.257,0.322,0.43,0.753,154,12,6,1,3,0,4,0.284,105,112,58
First or Second Half,2nd Half,28,26,116,100,11,22,5,0,2,18,1,0,12,21,0.22,0.328,0.33,0.658,33,1,4,0,0,0,0,0.26,82,85,15
Months,April/March,30,30,133,114,16,30,7,1,4,20,0,2,12,20,0.263,0.339,0.447,0.786,51,6,2,0,2,0,0,0.283,114,124,18
