Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,110,86,364,319,53,97,10,7,8,46,18,4,28,58,0.304,0.375,0.455,0.83,145,1,10,4,3,1,1,0.348,100,134,72
Season Totals,Last 7 days,6,6,29,25,6,5,0,0,2,6,0,1,2,2,0.2,0.276,0.44,0.716,11,0,1,0,1,0,0,0.136,70,107,3
Season Totals,Last 14 days,12,12,57,51,11,18,1,1,4,18,2,2,3,5,0.353,0.404,0.647,1.051,33,1,2,0,1,0,0,0.326,150,193,12
Season Totals,Last 28 days,25,23,105,96,19,37,2,3,5,25,5,2,4,12,0.385,0.423,0.625,1.048,60,1,3,1,1,0,0,0.4,150,185,27
Season Totals,Last 365 days,123,90,385,338,57,101,11,7,8,48,18,5,28,64,0.299,0.367,0.444,0.811,150,1,10,6,3,1,1,0.346,95,,75
Platoon Splits,vs RHP,84,,259,224,42,64,8,3,8,36,11,1,21,38,0.286,0.365,0.455,0.82,102,1,8,4,2,1,1,0.311,97,131,45
Platoon Splits,vs LHP,46,,105,95,11,33,2,4,0,10,7,3,7,20,0.347,0.4,0.453,0.853,43,0,2,0,1,0,0,0.434,106,140,27
Platoon Splits,vs RHP as LHB,84,,259,224,,64,8,3,8,36,0,0,21,38,0.286,0.365,0.455,0.82,102,1,8,4,2,1,1,0.311,97,124,45
Platoon Splits,vs LHP as LHB,46,,105,95,,33,2,4,0,10,0,0,7,20,0.347,0.4,0.453,0.853,43,0,2,0,1,0,0,0.434,106,156,27
Platoon Splits,vs RH Starter,74,62,257,221,33,57,7,4,7,31,12,2,23,36,0.258,0.343,0.421,0.763,93,0,7,3,3,1,1,0.276,84,115,39
Platoon Splits,vs LH Starter,36,24,107,98,20,40,3,3,1,15,6,2,5,22,0.408,0.453,0.531,0.983,52,1,3,1,0,0,0,0.52,138,177,33
Home or Away,Home,51,42,173,153,26,51,7,5,3,27,9,2,12,32,0.333,0.401,0.503,0.905,77,1,6,1,1,1,1,0.403,118,151,36
Home or Away,Away,59,44,191,166,27,46,3,2,5,19,9,2,16,26,0.277,0.351,0.41,0.761,68,0,4,3,2,0,0,0.299,84,118,36
First or Second Half,1st Half,82,60,247,212,34,59,8,3,3,21,13,2,23,44,0.278,0.365,0.387,0.752,82,0,7,3,2,1,1,0.335,82,115,45
First or Second Half,2nd Half,28,26,117,107,19,38,2,4,5,25,5,2,5,14,0.355,0.397,0.589,0.985,63,1,3,1,1,0,0,0.371,135,170,27
Months,April/March,25,17,71,63,8,18,3,1,0,7,3,1,5,16,0.286,0.333,0.365,0.698,23,0,0,2,1,0,1,0.375,69,101,14
Months,May,23,16,63,54,8,14,2,0,2,6,2,0,8,8,0.259,0.365,0.407,0.773,22,0,1,0,0,0,0,0.273,87,124,10
Months,June,25,21,85,70,11,20,2,1,1,6,7,1,8,14,0.286,0.393,0.386,0.779,27,0,5,1,1,1,0,0.339,90,120,16
Months,July,17,14,62,58,12,20,2,4,0,5,3,0,3,10,0.345,0.387,0.517,0.904,30,0,1,0,0,0,0,0.417,117,146,14
