Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,119,102,418,377,41,88,17,3,12,52,9,3,29,98,0.233,0.301,0.39,0.69,147,11,8,2,2,0,2,0.283,100,93,56
Season Totals,Last 7 days,7,7,28,23,3,7,2,0,0,2,0,0,4,6,0.304,0.429,0.391,0.82,9,2,1,0,0,0,0,0.412,143,144,5
Season Totals,Last 14 days,13,13,53,46,4,11,2,0,1,6,1,0,6,17,0.239,0.34,0.348,0.687,16,2,1,0,0,0,0,0.357,103,97,8
Season Totals,Last 28 days,25,24,97,86,6,18,2,1,1,10,2,0,7,27,0.209,0.281,0.291,0.572,25,4,2,1,1,0,0,0.288,68,60,14
Season Totals,Last 365 days,135,108,442,400,43,91,17,3,13,53,9,3,29,104,0.228,0.293,0.383,0.676,153,11,9,2,2,0,3,0.274,96,,58
Platoon Splits,vs RHP,105,,300,273,30,61,10,2,9,44,5,3,19,74,0.223,0.282,0.374,0.656,102,8,4,2,2,0,2,0.271,90,84,40
Platoon Splits,vs LHP,61,,118,104,11,27,7,1,3,8,4,0,10,24,0.26,0.348,0.433,0.78,45,3,4,0,0,0,0,0.312,127,118,16
Platoon Splits,vs RHP as RHB,105,,300,273,,61,10,2,9,44,0,0,19,74,0.223,0.282,0.374,0.656,102,8,4,2,2,0,2,0.271,90,90,40
Platoon Splits,vs LHP as RHB,61,,118,104,,27,7,1,3,8,0,0,10,24,0.26,0.348,0.433,0.78,45,3,4,0,0,0,0,0.312,127,112,16
Platoon Splits,vs RH Starter,83,70,290,259,29,59,9,1,7,38,7,3,23,65,0.228,0.301,0.351,0.652,91,7,5,1,2,0,2,0.275,90,84,42
Platoon Splits,vs LH Starter,36,32,128,118,12,29,8,2,5,14,2,0,6,33,0.246,0.299,0.475,0.774,56,4,3,1,0,0,0,0.3,122,114,14
Home or Away,Home,59,50,198,180,24,46,9,1,7,25,5,2,15,41,0.256,0.318,0.433,0.752,78,7,2,0,1,0,1,0.293,117,107,29
Home or Away,Away,60,52,220,197,17,42,8,2,5,27,4,1,14,57,0.213,0.284,0.35,0.635,69,4,6,2,1,0,1,0.272,84,81,27
First or Second Half,1st Half,87,71,293,264,33,64,14,2,10,40,7,3,21,65,0.242,0.312,0.424,0.736,112,5,6,1,1,0,2,0.284,113,107,38
First or Second Half,2nd Half,32,31,125,113,8,24,3,1,2,12,2,0,8,33,0.212,0.274,0.31,0.584,35,6,2,1,1,0,0,0.279,71,63,18
Months,April/March,25,15,55,50,5,11,2,0,3,8,0,1,3,12,0.22,0.278,0.44,0.718,22,0,1,1,0,0,1,0.229,106,103,6
Months,May,25,22,96,85,11,28,3,2,3,14,3,1,9,16,0.329,0.406,0.518,0.924,44,1,2,0,0,0,0,0.379,168,166,20
Months,June,24,22,91,84,11,18,6,0,2,10,4,1,5,28,0.214,0.275,0.357,0.632,30,2,2,0,0,0,1,0.296,83,76,10
Months,July,25,24,97,89,9,15,4,0,3,11,0,0,6,17,0.169,0.227,0.315,0.541,28,5,1,0,1,0,0,0.171,56,47,8
Months,August,20,19,79,69,5,16,2,1,1,9,2,0,6,25,0.232,0.308,0.333,0.641,23,3,2,1,1,0,0,0.341,88,80,12
Game Outcome for Team,in Wins,66,56,239,212,29,54,10,2,6,37,4,2,20,49,0.255,0.331,0.406,0.736,86,6,5,0,2,0,1,0.302,114,78,36
Game Outcome for Team,in Losses,53,46,179,165,12,34,7,1,6,15,5,1,9,49,0.206,0.26,0.37,0.63,61,5,3,2,0,0,1,0.255,82,113,20
Starter or Substitute,as Starter,102,102,405,366,40,84,17,3,12,49,8,2,27,94,0.23,0.295,0.391,0.686,143,11,8,2,2,0,2,0.275,99,92,52
Starter or Substitute,as Sub,17,0,13,11,1,4,0,0,0,3,1,1,2,4,0.364,0.462,0.364,0.825,4,0,0,0,0,0,0,0.571,147,155,4
Defensive Positions,as CF,108,,412,372,40,86,17,3,12,51,8,2,28,97,0.231,0.298,0.39,0.687,145,11,8,2,2,0,2,0.279,99,98,54
Defensive Positions,as DH,,,,,0,,,,,,0,1,,,,,,,,,,,,,,,,,
Defensive Positions,as PH,6,,6,5,1,2,0,0,0,1,1,0,1,1,0.4,0.5,0.4,0.9,2,0,0,0,0,0,0,0.5,169,185,2
Leading Off Inning,Leadoff Inn.,62,,77,72,,20,3,2,2,2,,,5,10,0.278,0.325,0.458,0.783,33,0,0,0,0,0,1,0.3,126,123,13
Batting Order Positions,Batting 2nd,4,1,6,6,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 3rd,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Batting Order Positions,Batting 4th,4,3,12,11,1,0,0,0,0,1,0,0,1,3,0.0,0.083,0.0,0.083,0,2,0,0,0,0,1,0.0,-72,-74,0
Batting Order Positions,Batting 5th,16,13,58,51,7,12,3,0,2,10,3,2,4,17,0.235,0.328,0.412,0.739,21,1,3,0,0,0,0,0.313,115,105,7
Batting Order Positions,Batting 6th,23,23,95,89,6,19,4,0,2,7,2,1,4,27,0.214,0.255,0.326,0.581,29,3,1,1,0,0,0,0.283,69,69,13
Batting Order Positions,Batting 7th,35,34,135,118,15,29,7,0,4,18,2,0,13,23,0.246,0.326,0.407,0.733,48,4,2,0,2,0,0,0.269,113,113,18
Batting Order Positions,Batting 8th,14,11,49,45,6,15,2,1,1,10,0,0,3,10,0.333,0.388,0.489,0.877,22,0,1,0,0,0,0,0.412,155,166,11
Batting Order Positions,Batting 9th,19,17,63,57,6,13,1,2,3,6,2,0,4,14,0.228,0.29,0.474,0.764,27,1,1,1,0,0,1,0.25,118,142,7
Swung or Took First Pitch of PA,Swung at 1st Pitch,97,,188,176,,46,6,3,6,25,,,10,51,0.261,0.305,0.432,0.737,76,5,1,1,0,0,1,0.336,112,110,31
Swung or Took First Pitch of PA,Took 1st Pitch,105,,230,201,,42,11,0,6,27,,,19,47,0.209,0.297,0.353,0.65,71,6,7,1,2,0,1,0.24,90,82,25
Count/Balls-Strikes,First Pitch,65,,87,84,8,35,5,2,4,16,3,2,0,0,0.417,0.43,0.667,1.097,56,4,2,1,0,0,1,0.388,214,145,24
Count/Balls-Strikes,1-0 Count,17,,20,19,4,6,1,0,1,5,0,0,0,0,0.316,0.35,0.526,0.876,10,2,1,0,0,0,0,0.278,152,94,4
Count/Balls-Strikes,2-0 Count,5,,6,6,1,1,1,0,0,0,0,0,0,0,0.167,0.167,0.333,0.5,2,1,0,0,0,0,0,0.167,41,2,0
Count/Balls-Strikes,3-0 Count,3,,3,0,,0,0,0,0,0,0,0,3,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,33,,37,36,5,11,3,0,0,7,2,1,0,0,0.306,0.324,0.389,0.713,14,1,1,0,0,0,0,0.306,108,74,8
Count/Balls-Strikes,1-1 Count,26,,30,29,6,9,2,0,2,5,0,0,0,0,0.31,0.333,0.586,0.92,17,0,1,0,0,0,0,0.259,161,114,5
Count/Balls-Strikes,2-1 Count,17,,19,19,0,5,2,0,0,1,1,0,0,0,0.263,0.263,0.368,0.632,7,1,0,0,0,0,0,0.263,82,40,3
Count/Balls-Strikes,3-1 Count,14,,14,7,2,3,1,0,1,4,0,0,7,0,0.429,0.714,1.0,1.714,7,0,0,0,0,0,0,0.333,394,159,1
Count/Balls-Strikes,0-2 Count,32,,36,34,3,1,0,1,0,2,0,0,0,21,0.029,0.056,0.088,0.144,3,0,1,0,1,0,0,0.071,-59,-25,0
Count/Balls-Strikes,1-2 Count,40,,56,55,4,5,0,0,2,3,2,0,0,33,0.091,0.091,0.2,0.291,11,1,0,1,0,0,1,0.15,-18,35,3
Count/Balls-Strikes,2-2 Count,51,,60,58,3,3,0,0,0,2,1,0,0,34,0.052,0.067,0.052,0.118,3,1,1,0,1,0,0,0.12,-64,-43,3
Count/Balls-Strikes,Full Count,40,,50,30,5,9,2,0,2,7,0,0,19,10,0.3,0.58,0.567,1.147,17,0,1,0,0,0,0,0.389,239,199,5
Count/Balls-Strikes,After 1-0,82,,121,106,,26,7,0,3,14,,,12,18,0.245,0.333,0.396,0.73,42,4,2,1,0,0,0,0.271,113,81,16
Count/Balls-Strikes,After 2-0,34,,38,30,,8,3,0,0,4,,,8,4,0.267,0.421,0.367,0.788,11,2,0,0,0,0,0,0.308,134,64,5
Count/Balls-Strikes,After 3-0,10,,10,4,,3,1,0,0,1,,,6,0,0.75,0.9,1.0,1.9,4,0,0,0,0,0,0,0.75,456,219,2
Count/Balls-Strikes,After 0-1,109,,209,186,,27,5,1,5,22,,,17,79,0.145,0.23,0.263,0.493,49,3,4,0,2,0,1,0.212,44,65,16
Count/Balls-Strikes,After 1-1,83,,139,120,,20,4,0,5,11,,,16,44,0.167,0.275,0.325,0.6,39,1,2,1,0,0,0,0.211,75,81,11
Count/Balls-Strikes,After 2-1,58,,72,61,,9,3,0,1,5,,,11,19,0.148,0.278,0.246,0.524,15,2,0,0,0,0,0,0.195,56,34,5
Count/Balls-Strikes,After 3-1,22,,23,15,,5,1,0,1,4,,,8,3,0.333,0.565,0.6,1.165,9,0,0,0,0,0,0,0.364,242,132,3
Count/Balls-Strikes,After 0-2,70,,96,87,,8,1,1,2,9,,,5,49,0.092,0.156,0.195,0.352,17,1,2,0,2,0,1,0.158,2,55,4
Count/Balls-Strikes,After 1-2,75,,119,103,,13,1,0,4,11,,,12,57,0.126,0.229,0.252,0.481,26,1,2,1,1,0,1,0.209,41,95,8
Count/Balls-Strikes,After 2-2,70,,100,79,,10,2,0,2,9,,,18,40,0.127,0.3,0.228,0.528,18,1,2,0,1,0,0,0.211,59,82,6
Count/Balls-Strikes,Zero Balls,88,,160,154,16,47,8,3,4,25,5,3,0,21,0.305,0.321,0.474,0.795,73,5,4,1,1,0,1,0.331,129,123,32
Count/Balls-Strikes,Zero Strikes,81,,116,109,13,42,7,2,5,21,3,2,3,0,0.385,0.417,0.624,1.041,68,7,3,1,0,0,1,0.356,199,116,28
