Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,46,46,194,170,27,49,7,3,5,30,7,7,22,56,0.288,0.376,0.453,0.829,77,0,2,0,0,0,1,0.404,100,133,34
Season Totals,Last 7 days,6,6,25,21,4,6,1,0,1,3,1,1,3,4,0.286,0.4,0.476,0.876,10,0,1,0,0,0,0,0.313,112,157,4
Season Totals,Last 14 days,12,12,50,44,9,16,4,0,2,7,1,3,5,9,0.364,0.44,0.591,1.031,26,0,1,0,0,0,0,0.424,148,190,10
Season Totals,Last 28 days,25,25,106,90,20,33,6,3,3,17,5,5,15,24,0.367,0.462,0.6,1.062,54,0,1,0,0,0,0,0.476,155,192,21
Season Totals,Last 365 days,46,46,194,170,27,49,7,3,5,30,7,7,22,56,0.288,0.376,0.453,0.829,77,0,2,0,0,0,1,0.404,100,,34
Platoon Splits,vs RHP,41,,117,100,20,30,4,2,4,20,4,6,16,40,0.3,0.402,0.5,0.902,50,0,1,0,0,0,0,0.464,117,154,20
Platoon Splits,vs LHP,39,,77,70,7,19,3,1,1,10,3,1,6,16,0.271,0.338,0.386,0.723,27,0,1,0,0,0,1,0.34,75,103,14
Platoon Splits,vs RHP as LHB,41,,117,100,,30,4,2,4,20,0,0,16,40,0.3,0.402,0.5,0.902,50,0,1,0,0,0,0,0.464,117,146,20
Platoon Splits,vs LHP as LHB,39,,77,70,,19,3,1,1,10,0,0,6,16,0.271,0.338,0.386,0.723,27,0,1,0,0,0,1,0.34,75,117,14
Platoon Splits,vs RH Starter,30,30,127,109,20,34,6,3,4,24,6,5,16,41,0.312,0.409,0.532,0.942,58,0,2,0,0,0,0,0.469,126,164,21
Platoon Splits,vs LH Starter,16,16,67,61,7,15,1,0,1,6,1,2,6,15,0.246,0.313,0.312,0.625,19,0,0,0,0,0,1,0.311,52,77,13
Home or Away,Home,27,27,112,98,16,26,3,2,4,22,6,4,13,31,0.265,0.357,0.459,0.816,45,0,1,0,0,0,1,0.349,96,126,17
Home or Away,Away,19,19,82,72,11,23,4,1,1,8,1,3,9,25,0.319,0.402,0.444,0.847,32,0,1,0,0,0,0,0.478,105,143,17
First or Second Half,1st Half,14,14,60,53,5,13,1,0,1,7,2,2,6,20,0.245,0.333,0.321,0.654,17,0,1,0,0,0,1,0.375,59,88,11
First or Second Half,2nd Half,32,32,134,117,22,36,6,3,4,23,5,5,16,36,0.308,0.396,0.513,0.908,60,0,1,0,0,0,0,0.416,119,151,23
