Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,111,99,401,368,42,87,18,2,13,39,6,2,28,118,0.236,0.29,0.402,0.692,148,4,1,1,3,0,3,0.308,100,93,54
Season Totals,Last 7 days,6,5,21,18,0,5,2,0,0,5,0,0,2,5,0.278,0.333,0.389,0.722,7,1,0,0,1,0,0,0.357,112,109,3
Season Totals,Last 14 days,13,9,39,35,4,9,3,0,1,6,0,0,3,12,0.257,0.308,0.429,0.736,15,1,0,0,1,0,0,0.348,113,103,5
Season Totals,Last 28 days,25,21,87,78,9,15,5,0,2,9,0,0,8,28,0.192,0.264,0.333,0.598,26,1,0,0,1,0,0,0.265,74,63,8
Season Totals,Last 365 days,126,111,455,414,43,99,19,2,13,43,7,3,36,132,0.239,0.3,0.389,0.689,161,4,1,1,3,1,4,0.316,100,,65
Platoon Splits,vs RHP,106,,334,305,35,73,16,2,12,33,6,1,25,100,0.239,0.297,0.423,0.72,129,3,1,1,2,0,3,0.313,108,101,43
Platoon Splits,vs LHP,37,,67,63,7,14,2,0,1,6,0,1,3,18,0.222,0.254,0.302,0.555,19,1,0,0,1,0,0,0.289,63,56,11
Platoon Splits,vs RHP as LHB,106,,334,305,,73,16,2,12,33,0,0,25,100,0.239,0.297,0.423,0.72,129,3,1,1,2,0,3,0.313,108,95,43
Platoon Splits,vs LHP as LHB,37,,67,63,,14,2,0,1,6,0,0,3,18,0.222,0.254,0.302,0.555,19,1,0,0,1,0,0,0.289,63,66,11
Platoon Splits,vs RH Starter,86,86,330,303,31,66,11,2,11,27,5,1,23,96,0.218,0.274,0.376,0.65,114,3,1,1,2,0,2,0.278,88,82,42
Platoon Splits,vs LH Starter,25,13,71,65,11,21,7,0,2,12,1,1,5,22,0.323,0.366,0.523,0.889,34,1,0,0,1,0,1,0.452,156,147,12
Home or Away,Home,54,51,196,181,21,45,10,2,7,18,3,0,12,63,0.249,0.297,0.442,0.739,80,0,1,1,1,0,0,0.339,112,103,26
Home or Away,Away,57,48,205,187,21,42,8,0,6,21,3,2,16,55,0.225,0.283,0.364,0.647,68,4,0,0,2,0,3,0.281,88,84,28
First or Second Half,1st Half,82,74,297,275,31,70,13,1,10,29,5,2,19,86,0.255,0.303,0.418,0.721,115,3,1,0,2,0,3,0.332,109,102,46
First or Second Half,2nd Half,29,25,104,93,11,17,5,1,3,10,1,0,9,32,0.183,0.252,0.355,0.607,33,1,0,1,1,0,0,0.237,75,66,8
Months,April/March,23,18,72,66,8,19,4,0,0,4,0,1,6,23,0.288,0.347,0.349,0.696,23,2,0,0,0,0,1,0.442,106,101,15
Months,May,21,19,68,65,7,15,3,1,3,8,0,0,2,21,0.231,0.25,0.446,0.696,29,0,0,0,1,0,1,0.286,97,96,8
Months,June,25,24,101,92,11,28,4,0,6,14,3,1,7,25,0.304,0.356,0.544,0.9,50,0,1,0,1,0,1,0.355,158,147,18
Months,July,24,24,105,95,11,13,3,1,3,7,3,0,9,31,0.137,0.212,0.284,0.496,27,1,0,1,0,0,0,0.164,44,35,6
Months,August,18,14,55,50,5,12,4,0,1,6,0,0,4,18,0.24,0.291,0.38,0.671,19,1,0,0,1,0,0,0.344,95,85,7
Game Outcome for Team,in Wins,56,49,208,190,26,56,13,0,8,26,5,1,13,55,0.295,0.338,0.49,0.828,93,2,1,1,3,0,1,0.369,138,98,35
Game Outcome for Team,in Losses,55,50,193,178,16,31,5,2,5,13,1,1,15,63,0.174,0.238,0.309,0.547,55,2,0,0,0,0,2,0.236,59,85,19
