Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,125,125,583,529,89,155,40,13,17,64,32,4,46,128,0.293,0.352,0.514,0.866,272,2,4,1,3,0,7,0.357,100,141,85
Season Totals,Last 7 days,6,6,27,24,6,8,3,0,2,5,3,0,3,2,0.333,0.407,0.708,1.116,17,0,0,0,0,0,0,0.3,153,220,3
Season Totals,Last 14 days,11,11,50,45,10,13,4,0,3,6,4,0,5,12,0.289,0.36,0.578,0.938,26,0,0,0,0,0,0,0.333,115,161,6
Season Totals,Last 28 days,23,23,109,100,16,30,10,1,4,13,10,0,9,24,0.3,0.358,0.54,0.898,54,0,0,0,0,0,0,0.361,107,144,15
Season Totals,Last 365 days,125,125,583,529,89,155,40,13,17,64,32,4,46,128,0.293,0.352,0.514,0.866,272,2,4,1,3,0,7,0.357,100,,85
Platoon Splits,vs RHP,119,,398,364,68,112,35,12,14,48,24,2,31,84,0.308,0.362,0.585,0.947,213,2,1,0,2,0,4,0.366,117,163,51
Platoon Splits,vs LHP,91,,185,165,21,43,5,1,3,16,8,2,15,44,0.261,0.332,0.358,0.689,59,0,3,1,1,0,3,0.336,64,94,34
Platoon Splits,vs RHP as LHB,119,,398,364,,112,35,12,14,48,0,0,31,84,0.308,0.362,0.585,0.947,213,2,1,0,2,0,4,0.366,117,154,51
Platoon Splits,vs LHP as LHB,91,,185,165,,43,5,1,3,16,0,0,15,44,0.261,0.332,0.358,0.689,59,0,3,1,1,0,3,0.336,64,107,34
Platoon Splits,vs RH Starter,88,88,409,368,66,115,32,10,14,46,26,3,36,78,0.313,0.373,0.568,0.94,209,1,1,1,3,0,6,0.362,117,161,59
Platoon Splits,vs LH Starter,37,37,174,161,23,40,8,3,3,18,6,1,10,50,0.248,0.305,0.391,0.696,63,1,3,0,0,0,1,0.343,63,95,26
Home or Away,Home,60,60,273,246,37,75,26,4,4,24,8,3,24,59,0.305,0.366,0.492,0.858,121,0,1,0,2,0,2,0.384,100,137,41
Home or Away,Away,65,65,310,283,52,80,14,9,13,40,24,1,22,69,0.283,0.34,0.534,0.873,151,2,3,1,1,0,5,0.332,101,146,44
First or Second Half,1st Half,95,95,439,398,62,113,27,10,10,41,22,4,34,98,0.284,0.343,0.477,0.82,190,0,3,1,3,0,7,0.352,90,130,66
First or Second Half,2nd Half,30,30,144,131,27,42,13,3,7,23,10,0,12,30,0.321,0.382,0.626,1.008,82,2,1,0,0,0,0,0.372,130,174,19
Months,April/March,30,30,142,127,18,34,6,3,1,14,9,1,12,31,0.268,0.338,0.386,0.724,49,0,2,0,1,0,1,0.344,71,108,24
Months,May,28,28,120,110,14,26,10,5,2,9,2,1,8,30,0.236,0.294,0.473,0.767,52,0,1,1,0,0,3,0.308,76,118,9
Months,June,25,25,119,107,25,39,7,2,6,16,9,1,11,23,0.365,0.42,0.636,1.056,68,0,0,0,1,0,2,0.418,143,191,24
Months,July,24,24,118,108,19,33,10,2,4,14,3,1,8,25,0.306,0.356,0.546,0.902,59,2,1,0,1,0,1,0.363,107,143,17
Months,August,18,18,84,77,13,23,7,1,4,11,9,0,7,19,0.299,0.357,0.571,0.929,44,0,0,0,0,0,0,0.352,113,154,11
Game Outcome for Team,in Wins,65,65,314,280,61,97,24,9,10,42,22,1,27,57,0.346,0.406,0.604,1.009,169,0,3,1,3,0,1,0.403,133,141,54
Game Outcome for Team,in Losses,60,60,269,249,28,58,16,4,7,22,10,3,19,71,0.233,0.29,0.414,0.704,103,2,1,0,0,0,6,0.298,63,138,31
Starter or Substitute,as Starter,125,125,583,529,89,155,40,13,17,64,32,4,46,128,0.293,0.352,0.514,0.866,272,2,4,1,3,0,7,0.357,100,140,85
Defensive Positions,as LF,67,,267,240,41,78,15,5,10,36,18,3,22,55,0.325,0.384,0.554,0.938,133,1,2,1,2,0,3,0.384,117,162,48
Defensive Positions,as CF,79,,316,289,48,77,25,8,7,28,14,1,24,73,0.266,0.326,0.481,0.807,139,1,2,0,1,0,4,0.333,86,130,37
Leading Off Inning,1st Batter G,119,,119,110,,28,14,1,2,2,,,7,30,0.255,0.311,0.455,0.765,50,0,2,0,0,0,1,0.333,77,112,11
Leading Off Inning,Leadoff Inn.,123,,220,200,,47,19,4,5,6,,,18,46,0.235,0.305,0.445,0.75,89,0,2,0,0,0,4,0.282,73,113,19
Batting Order Positions,Batting 1st,119,119,557,507,82,150,38,13,16,58,31,4,42,120,0.296,0.353,0.517,0.869,262,2,4,1,3,0,7,0.358,101,135,83
Batting Order Positions,Batting 2nd,5,5,23,19,6,5,2,0,1,6,1,0,4,8,0.263,0.391,0.526,0.918,10,0,0,0,0,0,0,0.4,113,141,2
Batting Order Positions,Batting 8th,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,89,,138,133,,40,9,2,8,16,,,4,26,0.301,0.319,0.579,0.898,77,0,0,0,1,0,2,0.32,103,150,21
