Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,116,115,494,446,59,114,15,4,20,61,27,8,43,124,0.256,0.326,0.442,0.768,197,5,4,0,1,5,4,0.31,100,115,75
Season Totals,Last 7 days,1,1,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Season Totals,Last 14 days,5,5,19,18,4,7,0,0,2,2,3,0,1,5,0.389,0.421,0.722,1.143,13,1,0,0,0,0,0,0.455,193,217,5
Season Totals,Last 28 days,15,15,64,60,13,18,1,0,7,11,5,0,4,17,0.3,0.344,0.667,1.011,40,1,0,0,0,0,0,0.306,156,170,10
Season Totals,Last 365 days,148,147,622,564,78,144,21,4,27,84,32,8,52,163,0.255,0.322,0.45,0.772,254,7,4,0,2,5,6,0.311,101,,92
Platoon Splits,vs RHP,105,,324,292,41,74,9,3,16,39,19,6,30,82,0.253,0.324,0.469,0.793,137,4,1,0,1,5,3,0.297,106,121,46
Platoon Splits,vs LHP,77,,170,154,18,40,6,1,4,22,8,2,13,42,0.26,0.329,0.39,0.719,60,1,3,0,0,0,1,0.333,89,101,29
Platoon Splits,vs RHP as LHB,105,,324,292,,74,9,3,16,39,0,0,30,82,0.253,0.324,0.469,0.793,137,4,1,0,1,5,3,0.297,106,114,46
Platoon Splits,vs LHP as LHB,77,,170,154,,40,6,1,4,22,0,0,13,42,0.26,0.329,0.39,0.719,60,1,3,0,0,0,1,0.333,89,115,29
Platoon Splits,vs RH Starter,77,77,337,305,44,77,11,3,16,45,20,6,29,83,0.253,0.321,0.466,0.786,142,4,2,0,1,5,3,0.295,104,119,47
Platoon Splits,vs LH Starter,39,38,157,141,15,37,4,1,4,16,7,2,14,41,0.262,0.338,0.39,0.728,55,1,2,0,0,0,1,0.344,92,105,28
