Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,14,12,50,47,5,12,3,0,2,7,1,0,3,14,0.255,0.3,0.447,0.747,21,0,0,0,0,0,0,0.323,100,107,7
Season Totals,Last 7 days,3,2,9,9,2,3,0,0,1,2,0,0,0,4,0.333,0.333,0.667,1.0,6,0,0,0,0,0,0,0.5,160,180,2
Season Totals,Last 14 days,9,8,33,30,4,6,1,0,1,5,1,0,3,8,0.2,0.273,0.333,0.606,10,0,0,0,0,0,0,0.238,66,69,4
Season Totals,Last 28 days,14,12,50,47,5,12,3,0,2,7,1,0,3,14,0.255,0.3,0.447,0.747,21,0,0,0,0,0,0,0.323,100,102,7
Season Totals,Last 365 days,14,12,50,47,5,12,3,0,2,7,1,0,3,14,0.255,0.3,0.447,0.747,21,0,0,0,0,0,0,0.323,100,,7
Platoon Splits,vs RHP,11,,21,20,2,3,1,0,2,4,0,0,1,7,0.15,0.191,0.5,0.691,10,0,0,0,0,0,0,0.091,75,86,0
Platoon Splits,vs LHP,11,,29,27,3,9,2,0,0,3,1,0,2,7,0.333,0.379,0.407,0.787,11,0,0,0,0,0,0,0.45,117,121,7
Platoon Splits,vs RHP as RHB,11,,21,20,,3,1,0,2,4,0,0,1,7,0.15,0.191,0.5,0.691,10,0,0,0,0,0,0,0.091,75,92,0
Platoon Splits,vs LHP as RHB,11,,29,27,,9,2,0,0,3,0,0,2,7,0.333,0.379,0.407,0.787,11,0,0,0,0,0,0,0.45,117,116,7
Platoon Splits,vs RH Starter,7,5,22,20,2,5,2,0,1,4,1,0,2,4,0.25,0.318,0.5,0.818,10,0,0,0,0,0,0,0.267,118,127,2
Platoon Splits,vs LH Starter,7,7,28,27,3,7,1,0,1,3,0,0,1,10,0.259,0.286,0.407,0.693,11,0,0,0,0,0,0,0.375,86,93,5
Home or Away,Home,6,5,20,18,2,3,1,0,0,1,1,0,2,5,0.167,0.25,0.222,0.472,4,0,0,0,0,0,0,0.231,33,34,2
Home or Away,Away,8,7,30,29,3,9,2,0,2,6,0,0,1,9,0.31,0.333,0.586,0.92,17,0,0,0,0,0,0,0.389,142,157,5
First or Second Half,2nd Half,14,12,50,47,5,12,3,0,2,7,1,0,3,14,0.255,0.3,0.447,0.747,21,0,0,0,0,0,0,0.323,100,104,7
Months,August,14,12,50,47,5,12,3,0,2,7,1,0,3,14,0.255,0.3,0.447,0.747,21,0,0,0,0,0,0,0.323,100,105,7
Game Outcome for Team,in Wins,8,8,33,31,4,8,1,0,1,5,1,0,2,11,0.258,0.303,0.387,0.69,12,0,0,0,0,0,0,0.368,88,67,6
Game Outcome for Team,in Losses,6,4,17,16,1,4,2,0,1,2,0,0,1,3,0.25,0.294,0.563,0.857,9,0,0,0,0,0,0,0.25,124,186,1
