Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,125,125,520,480,65,133,22,1,13,59,15,6,21,90,0.277,0.321,0.408,0.729,196,10,12,2,5,0,5,0.314,100,104,97
Season Totals,Last 7 days,6,6,24,22,4,5,2,0,1,3,2,1,1,7,0.227,0.25,0.455,0.705,10,0,0,0,1,0,0,0.267,90,102,2
Season Totals,Last 14 days,12,12,49,46,8,15,3,0,4,7,3,1,1,9,0.326,0.347,0.652,0.999,30,0,1,0,1,0,0,0.324,168,176,8
Season Totals,Last 28 days,24,24,100,93,14,24,4,0,4,14,3,1,3,22,0.258,0.3,0.43,0.73,40,0,3,0,1,0,2,0.294,99,99,16
Season Totals,Last 365 days,159,159,664,611,85,174,32,3,13,68,18,8,30,113,0.285,0.329,0.411,0.74,251,13,13,3,5,0,8,0.329,104,,126
Platoon Splits,vs RHP,121,,380,349,51,93,13,0,9,47,11,5,17,72,0.267,0.316,0.381,0.697,133,9,10,0,4,0,2,0.309,92,97,71
Platoon Splits,vs LHP,67,,140,131,14,40,9,1,4,12,4,1,4,18,0.305,0.333,0.481,0.814,63,1,2,2,1,0,3,0.327,122,125,26
Platoon Splits,vs RHP as RHB,121,,380,349,,93,13,0,9,47,0,0,17,72,0.267,0.316,0.381,0.697,133,9,10,0,4,0,2,0.309,92,103,71
Platoon Splits,vs LHP as RHB,67,,140,131,,40,9,1,4,12,0,0,4,18,0.305,0.333,0.481,0.814,63,1,2,2,1,0,3,0.327,122,120,26
Platoon Splits,vs RH Starter,88,88,365,339,48,90,15,0,9,39,9,5,14,70,0.266,0.303,0.389,0.692,132,6,6,2,4,0,4,0.307,90,94,66
Platoon Splits,vs LH Starter,37,37,155,141,17,43,7,1,4,20,6,1,7,20,0.305,0.361,0.454,0.815,64,4,6,0,1,0,1,0.331,124,128,31
Home or Away,Home,62,62,250,231,31,64,14,1,3,25,8,5,10,52,0.277,0.317,0.385,0.703,89,8,5,1,3,0,3,0.341,93,95,46
Home or Away,Away,63,63,270,249,34,69,8,0,10,34,7,1,11,38,0.277,0.323,0.43,0.753,107,2,7,1,2,0,2,0.291,106,114,51
