Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,118,95,418,385,43,91,19,1,15,48,9,1,27,109,0.236,0.293,0.408,0.7,157,9,4,1,1,2,3,0.29,100,96,56
Season Totals,Last 7 days,6,4,20,17,2,2,1,0,0,0,0,0,3,6,0.118,0.25,0.177,0.427,3,0,0,0,0,0,0,0.182,29,29,1
Season Totals,Last 14 days,11,9,43,39,7,10,2,0,2,6,1,0,4,13,0.256,0.326,0.462,0.787,18,0,0,0,0,0,0,0.333,125,121,6
Season Totals,Last 28 days,24,21,92,83,11,18,5,0,3,10,2,0,9,29,0.217,0.294,0.386,0.679,32,2,0,0,0,1,1,0.294,95,86,10
Season Totals,Last 365 days,150,123,527,478,55,111,22,3,19,60,9,1,41,143,0.232,0.299,0.41,0.709,196,12,5,1,2,2,4,0.289,102,,67
Platoon Splits,vs RHP,114,,335,309,33,82,18,1,13,43,8,1,22,85,0.265,0.319,0.456,0.776,141,7,3,0,1,2,2,0.326,121,117,50
Platoon Splits,vs LHP,52,,83,76,10,9,1,0,2,5,1,0,5,24,0.118,0.183,0.211,0.393,16,2,1,1,0,0,1,0.14,14,11,6
Platoon Splits,vs RHP as LHB,114,,335,309,,82,18,1,13,43,0,0,22,85,0.265,0.319,0.456,0.776,141,7,3,0,1,2,2,0.326,121,110,50
Platoon Splits,vs LHP as LHB,52,,83,76,,9,1,0,2,5,0,0,5,24,0.118,0.183,0.211,0.393,16,2,1,1,0,0,1,0.14,14,18,6
Platoon Splits,vs RH Starter,84,84,341,313,35,78,17,1,14,45,9,1,22,81,0.249,0.306,0.444,0.75,139,9,4,1,1,2,2,0.292,113,109,46
Platoon Splits,vs LH Starter,34,11,77,72,8,13,2,0,1,3,0,0,5,28,0.181,0.234,0.25,0.484,18,0,0,0,0,0,1,0.279,41,37,10
Home or Away,Home,63,48,214,193,27,49,9,1,9,30,5,0,16,52,0.254,0.319,0.451,0.77,87,2,3,1,1,2,2,0.301,119,112,30
Home or Away,Away,55,47,204,192,16,42,10,0,6,18,4,1,11,57,0.219,0.265,0.365,0.629,70,7,1,0,0,0,1,0.279,80,78,26
First or Second Half,1st Half,86,67,294,273,28,67,14,1,11,37,6,1,16,71,0.245,0.294,0.425,0.718,116,7,3,1,1,1,2,0.292,105,101,41
First or Second Half,2nd Half,32,28,124,112,15,24,5,0,4,11,3,0,11,38,0.214,0.29,0.366,0.656,41,2,1,0,0,1,1,0.286,89,81,15
Months,April/March,25,17,75,70,5,16,0,0,2,11,4,0,3,19,0.229,0.28,0.314,0.594,22,4,2,0,0,0,1,0.286,73,71,14
Months,May,26,21,95,85,9,22,5,0,2,11,2,1,7,15,0.259,0.319,0.388,0.707,33,2,1,1,1,0,0,0.29,104,104,15
Months,June,24,20,84,79,8,16,5,0,3,7,0,0,5,27,0.203,0.25,0.38,0.63,30,0,0,0,0,0,1,0.265,79,73,8
Months,July,23,20,86,82,11,22,5,1,5,10,1,0,3,23,0.268,0.302,0.537,0.839,44,2,1,0,0,1,0,0.315,135,124,11
Months,August,20,17,78,69,10,15,4,0,3,9,2,0,9,25,0.217,0.308,0.406,0.714,28,1,0,0,0,1,1,0.293,105,98,8
Game Outcome for Team,in Wins,45,42,182,157,30,41,8,0,9,25,6,1,19,45,0.261,0.354,0.484,0.838,76,5,4,1,1,1,0,0.308,139,101,24
Game Outcome for Team,in Losses,73,53,236,228,13,50,11,1,6,23,3,0,8,64,0.219,0.246,0.355,0.601,81,4,0,0,0,1,3,0.279,71,103,32
Starter or Substitute,as Starter,95,95,384,351,41,83,17,1,15,46,9,1,27,99,0.237,0.298,0.419,0.717,147,9,4,1,1,2,3,0.286,104,99,50
Starter or Substitute,as Sub,23,0,34,34,2,8,2,0,0,2,0,0,0,10,0.235,0.235,0.294,0.529,10,0,0,0,0,0,0,0.333,52,60,6
Defensive Positions,as LF,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as RF,91,,334,308,33,77,16,1,13,40,7,1,20,79,0.25,0.303,0.435,0.738,134,9,4,1,1,0,3,0.295,110,101,47
Defensive Positions,as DH,16,,62,55,9,9,3,0,2,6,2,0,7,22,0.164,0.258,0.327,0.585,18,0,0,0,0,2,0,0.226,68,57,4
Defensive Positions,as PH,23,,23,23,1,6,1,0,0,2,0,0,0,9,0.261,0.261,0.304,0.565,7,0,0,0,0,0,0,0.429,64,76,5
Defensive Positions,as PH for DH,2,,2,2,,1,1,0,0,0,0,0,0,1,0.5,0.5,1.0,1.5,2,0,0,0,0,0,0,1.0,316,283,0
Leading Off Inning,Leadoff Inn.,62,,92,86,,23,5,0,5,6,,,6,24,0.267,0.315,0.5,0.815,43,0,0,0,0,0,2,0.316,130,130,13
Batting Order Positions,Batting 1st,2,0,4,4,1,3,0,0,0,0,0,0,0,0,0.75,0.75,0.75,1.5,3,0,0,0,0,0,0,0.75,340,314,3
Batting Order Positions,Batting 2nd,2,2,5,4,2,2,0,0,1,1,0,0,1,1,0.5,0.6,1.25,1.85,5,0,0,0,0,0,0,0.5,411,373,1
Batting Order Positions,Batting 3rd,13,12,55,50,8,13,4,0,3,9,2,0,5,15,0.26,0.327,0.52,0.847,26,1,0,0,0,2,1,0.313,139,114,6
Batting Order Positions,Batting 4th,40,39,159,144,18,34,10,1,7,18,2,1,13,41,0.236,0.304,0.465,0.769,67,1,1,1,0,0,0,0.281,118,106,16
Batting Order Positions,Batting 5th,35,34,137,126,11,28,4,0,4,14,3,0,7,34,0.222,0.277,0.349,0.627,44,7,3,0,1,0,1,0.27,80,74,20
Batting Order Positions,Batting 6th,11,8,35,34,3,8,0,0,0,4,2,0,1,10,0.235,0.257,0.235,0.492,8,0,0,0,0,0,1,0.333,45,46,8
Batting Order Positions,Batting 7th,6,0,11,11,0,1,0,0,0,2,0,0,0,4,0.091,0.091,0.091,0.182,1,0,0,0,0,0,0,0.143,-47,-46,1
Batting Order Positions,Batting 8th,3,0,5,5,0,1,1,0,0,0,0,0,0,1,0.2,0.2,0.4,0.6,2,0,0,0,0,0,0,0.25,66,78,0
Batting Order Positions,Batting 9th,6,0,7,7,0,1,0,0,0,0,0,0,0,3,0.143,0.143,0.143,0.286,1,0,0,0,0,0,0,0.25,-16,-7,1
Swung or Took First Pitch of PA,Swung at 1st Pitch,99,,195,184,,41,5,1,7,21,,,7,46,0.223,0.258,0.375,0.633,69,4,2,1,1,1,0,0.258,80,80,28
Swung or Took First Pitch of PA,Took 1st Pitch,107,,223,201,,50,14,0,8,27,,,20,63,0.249,0.323,0.438,0.761,88,5,2,0,0,1,3,0.323,118,112,28
Count/Balls-Strikes,First Pitch,53,,67,66,8,25,2,1,4,10,1,0,0,0,0.379,0.379,0.621,1.0,41,3,0,1,0,0,0,0.339,182,122,18
Count/Balls-Strikes,1-0 Count,28,,30,30,6,13,5,0,2,5,1,0,0,0,0.433,0.433,0.8,1.233,24,0,0,0,0,0,0,0.393,244,166,6
Count/Balls-Strikes,2-0 Count,6,,7,7,,3,0,0,0,0,0,0,0,0,0.429,0.429,0.429,0.857,3,1,0,0,0,0,0,0.429,152,94,3
Count/Balls-Strikes,3-0 Count,7,,7,1,,0,0,0,0,0,0,0,6,0,0.0,0.857,0.0,0.857,0,0,0,0,0,1,0,0.0,193,-9,0
Count/Balls-Strikes,0-1 Count,26,,30,28,6,6,2,0,3,5,1,0,0,0,0.214,0.233,0.607,0.84,17,2,1,0,1,0,2,0.115,128,89,1
Count/Balls-Strikes,1-1 Count,24,,29,28,7,12,1,0,3,9,3,0,0,0,0.429,0.448,0.786,1.234,22,2,1,0,0,0,0,0.36,246,187,8
Count/Balls-Strikes,2-1 Count,14,,14,14,5,6,0,0,1,4,0,0,0,0,0.429,0.429,0.643,1.072,9,0,0,0,0,0,0,0.385,204,136,5
Count/Balls-Strikes,3-1 Count,10,,10,3,,1,0,0,0,0,0,0,7,0,0.333,0.8,0.333,1.133,1,0,0,0,0,1,0,0.333,255,67,1
Count/Balls-Strikes,0-2 Count,32,,37,35,1,2,1,0,0,2,1,1,0,26,0.057,0.108,0.086,0.194,3,0,2,0,0,0,0,0.222,-42,7,1
Count/Balls-Strikes,1-2 Count,63,,80,80,5,10,6,0,1,6,1,0,0,36,0.125,0.125,0.238,0.363,19,0,0,0,0,0,1,0.209,1,71,3
Count/Balls-Strikes,2-2 Count,49,,58,58,4,8,1,0,1,5,0,0,0,32,0.138,0.138,0.207,0.345,12,0,0,0,0,0,0,0.28,-2,54,6
Count/Balls-Strikes,Full Count,38,,49,35,1,5,1,0,0,2,1,0,14,15,0.143,0.388,0.171,0.559,6,1,0,0,0,0,0,0.25,74,37,4
Count/Balls-Strikes,After 1-0,84,,133,115,,34,8,0,4,14,,,18,28,0.296,0.391,0.47,0.861,54,3,0,0,0,1,1,0.361,149,114,22
Count/Balls-Strikes,After 2-0,37,,43,30,,9,1,0,0,1,,,13,8,0.3,0.512,0.333,0.845,10,1,0,0,0,1,0,0.409,156,75,8
Count/Balls-Strikes,After 3-0,17,,17,5,,3,0,0,0,0,,,12,1,0.6,0.882,0.6,1.482,3,0,0,0,0,1,0,0.75,348,138,3
Count/Balls-Strikes,After 0-1,108,,218,204,,32,9,0,7,24,,,9,81,0.157,0.206,0.304,0.51,62,3,4,0,1,1,2,0.214,45,67,16
Count/Balls-Strikes,After 1-1,93,,150,138,,27,5,0,4,18,,,11,50,0.196,0.26,0.319,0.579,44,3,1,0,0,1,1,0.274,67,75,18
Count/Balls-Strikes,After 2-1,45,,60,51,,12,1,0,1,6,,,9,20,0.235,0.35,0.314,0.664,16,0,0,0,0,1,0,0.367,96,69,10
Count/Balls-Strikes,After 3-1,19,,19,9,,3,0,0,0,0,,,10,1,0.333,0.684,0.333,1.018,3,0,0,0,0,1,0,0.375,215,93,3
Count/Balls-Strikes,After 0-2,70,,98,93,,11,4,0,2,9,,,3,51,0.118,0.163,0.226,0.389,21,0,2,0,0,0,0,0.225,11,71,5
Count/Balls-Strikes,After 1-2,89,,141,135,,15,7,0,2,11,,,6,62,0.111,0.149,0.207,0.356,28,1,0,0,0,0,1,0.183,2,43,6
Count/Balls-Strikes,After 2-2,71,,98,87,,11,2,0,1,7,,,11,46,0.126,0.225,0.184,0.408,16,1,0,0,0,0,0,0.25,22,40,8
Count/Balls-Strikes,Zero Balls,81,,134,129,15,33,5,1,7,17,3,1,0,26,0.256,0.271,0.473,0.744,61,5,3,1,1,0,2,0.268,108,105,20
Count/Balls-Strikes,Zero Strikes,84,,111,104,14,41,7,1,6,15,2,0,6,0,0.394,0.427,0.654,1.081,68,4,0,1,0,1,0,0.357,206,124,27
Count/Balls-Strikes,Three Balls,48,,66,39,1,6,1,0,0,2,1,0,27,15,0.154,0.5,0.18,0.68,7,1,0,0,0,2,0,0.25,115,38,5
Count/Balls-Strikes,Two Strikes,105,,224,208,11,25,9,0,2,15,3,1,14,109,0.12,0.183,0.192,0.375,40,1,2,0,0,0,1,0.237,10,47,14
Count/Balls-Strikes,Batter Ahead,76,,117,90,12,28,6,0,3,11,2,0,27,15,0.311,0.47,0.478,0.948,43,2,0,0,0,2,0,0.347,178,98,19
Count/Balls-Strikes,Even Count,90,,154,152,19,45,4,1,8,24,4,0,0,32,0.296,0.301,0.493,0.794,75,5,1,1,0,0,0,0.33,124,127,32
Count/Balls-Strikes,Pitcher Ahead,87,,147,143,12,18,9,0,4,13,3,1,0,62,0.126,0.143,0.273,0.416,39,2,3,0,1,0,3,0.18,16,56,5
Number of Outs in Inning,0 outs,85,,139,130,9,30,7,0,7,17,1,0,7,36,0.231,0.275,0.446,0.722,58,5,1,1,0,0,2,0.264,103,97,16
Number of Outs in Inning,1 out,83,,137,124,22,30,7,0,7,21,2,0,11,39,0.242,0.307,0.468,0.774,58,4,1,0,1,1,0,0.291,120,114,16
Number of Outs in Inning,2 outs,92,,142,131,12,31,5,1,1,10,6,1,9,34,0.237,0.296,0.313,0.609,41,0,2,0,0,1,1,0.313,78,75,24
Bases Occupied,RISP,79,,109,101,32,21,5,0,4,35,3,0,5,29,0.208,0.257,0.376,0.633,38,5,2,0,1,2,0,0.246,80,68,12
Bases Occupied,---,108,,226,212,10,53,11,1,10,10,0,0,13,65,0.25,0.297,0.453,0.749,96,0,1,0,0,0,3,0.314,112,115,31
