Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,38,26,112,101,14,26,4,0,10,19,0,0,6,34,0.257,0.321,0.594,0.916,60,0,4,0,1,0,0,0.276,100,151,12
Season Totals,Last 7 days,5,4,18,14,3,4,1,0,1,2,0,0,2,5,0.286,0.444,0.571,1.016,8,0,2,0,0,0,0,0.375,134,192,2
Season Totals,Last 14 days,10,8,33,29,6,8,1,0,4,7,0,0,2,10,0.276,0.364,0.724,1.088,21,0,2,0,0,0,0,0.267,135,195,3
Season Totals,Last 28 days,19,15,60,54,8,15,2,0,5,11,0,0,3,14,0.278,0.35,0.593,0.943,32,0,3,0,0,0,0,0.286,109,154,8
Season Totals,Last 365 days,38,26,112,101,14,26,4,0,10,19,0,0,6,34,0.257,0.321,0.594,0.916,60,0,4,0,1,0,0,0.276,100,,12
Platoon Splits,vs RHP,28,,71,64,7,16,3,0,4,6,0,0,4,24,0.25,0.324,0.484,0.808,31,0,3,0,0,0,0,0.333,82,125,9
Platoon Splits,vs LHP,25,,41,37,7,10,1,0,6,13,0,0,2,10,0.27,0.317,0.784,1.101,29,0,1,0,1,0,0,0.182,131,196,3
Platoon Splits,vs RHP as RHB,28,,71,64,,16,3,0,4,6,0,0,4,24,0.25,0.324,0.484,0.808,31,0,3,0,0,0,0,0.333,82,132,9
Platoon Splits,vs LHP as RHB,25,,41,37,,10,1,0,6,13,0,0,2,10,0.27,0.317,0.784,1.101,29,0,1,0,1,0,0,0.182,131,188,3
Platoon Splits,vs RH Starter,26,14,66,61,6,11,2,0,3,6,0,0,2,24,0.18,0.242,0.361,0.603,22,0,3,0,0,0,0,0.235,36,67,6
Platoon Splits,vs LH Starter,12,12,46,40,8,15,2,0,7,13,0,0,4,10,0.375,0.435,0.95,1.385,38,0,1,0,1,0,0,0.333,195,276,6
Home or Away,Home,17,12,50,45,6,12,2,0,5,8,0,0,3,15,0.267,0.32,0.644,0.964,29,0,1,0,1,0,0,0.269,108,159,5
Home or Away,Away,21,14,62,56,8,14,2,0,5,11,0,0,3,19,0.25,0.323,0.554,0.876,31,0,3,0,0,0,0,0.281,94,145,7
First or Second Half,1st Half,14,8,39,35,5,9,1,0,4,7,0,0,2,15,0.257,0.308,0.629,0.936,22,0,1,0,1,0,0,0.294,102,157,4
First or Second Half,2nd Half,24,18,73,66,9,17,3,0,6,12,0,0,4,19,0.258,0.329,0.576,0.905,38,0,3,0,0,0,0,0.268,100,144,8
Months,June,5,3,14,13,2,3,1,0,2,3,0,0,1,7,0.231,0.286,0.769,1.055,10,0,0,0,0,0,0,0.25,119,180,0
Months,July,19,13,55,50,6,13,2,0,4,9,0,0,2,16,0.26,0.309,0.54,0.849,27,0,2,0,1,0,0,0.29,87,127,7
Months,August,14,10,43,38,6,10,1,0,4,7,0,0,3,11,0.263,0.349,0.605,0.954,23,0,2,0,0,0,0,0.261,111,159,5
Game Outcome for Team,in Wins,18,15,65,58,12,17,2,0,8,17,0,0,4,19,0.293,0.354,0.741,1.095,43,0,2,0,1,0,0,0.281,135,155,7
Game Outcome for Team,in Losses,20,11,47,43,2,9,2,0,2,2,0,0,2,15,0.209,0.277,0.395,0.672,17,0,2,0,0,0,0,0.269,53,127,5
Starter or Substitute,as Starter,26,26,101,90,13,24,3,0,9,17,0,0,6,29,0.267,0.337,0.6,0.937,54,0,4,0,1,0,0,0.283,106,157,12
Starter or Substitute,as Sub,12,0,11,11,1,2,1,0,1,2,0,0,0,5,0.182,0.182,0.546,0.727,6,0,0,0,0,0,0,0.2,48,113,0
Defensive Positions,as 1B,5,,13,13,1,3,0,0,1,2,0,0,0,3,0.231,0.231,0.462,0.692,6,0,0,0,0,0,0,0.222,50,85,2
Defensive Positions,as LF,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as RF,23,,85,74,12,22,4,0,8,15,0,0,6,24,0.297,0.377,0.676,1.052,50,0,4,0,1,0,0,0.326,131,182,10
Defensive Positions,as DH,1,,4,4,,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as PH,9,,9,9,1,1,0,0,1,2,0,0,0,5,0.111,0.111,0.444,0.556,4,0,0,0,0,0,0,0.0,9,65,0
Leading Off Inning,Leadoff Inn.,19,,25,22,,6,1,0,2,2,,,1,10,0.273,0.36,0.591,0.951,13,0,2,0,0,0,0,0.4,112,167,3
Batting Order Positions,Batting 1st,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 2nd,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Batting Order Positions,Batting 3rd,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1.0,1.0,2.0,3.0,2,0,0,0,0,0,0,1.0,548,645,0
Batting Order Positions,Batting 4th,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
