Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,106,84,367,299,52,86,15,1,20,58,6,1,48,85,0.288,0.405,0.545,0.95,163,3,13,1,3,2,0,0.335,100,166,50
Season Totals,Last 7 days,5,4,21,13,5,4,0,0,1,3,1,0,6,3,0.308,0.571,0.539,1.11,7,0,2,0,0,0,0,0.333,140,229,3
Season Totals,Last 14 days,10,8,39,28,8,9,1,0,1,6,1,0,8,6,0.321,0.513,0.464,0.977,13,0,3,0,0,0,0,0.381,112,182,7
Season Totals,Last 28 days,21,15,72,54,16,19,2,1,5,17,1,0,15,12,0.352,0.514,0.704,1.218,38,0,3,0,0,0,0,0.378,156,233,11
Season Totals,Last 365 days,136,105,470,387,66,105,19,2,23,66,6,1,61,107,0.271,0.388,0.509,0.897,197,6,15,1,3,6,0,0.315,89,,61
Platoon Splits,vs RHP,104,,336,276,47,80,14,1,19,54,5,1,43,73,0.29,0.401,0.554,0.955,153,3,10,1,3,2,0,0.326,101,167,46
Platoon Splits,vs LHP,29,,31,23,5,6,1,0,1,4,1,0,5,12,0.261,0.452,0.435,0.886,10,0,3,0,0,0,0,0.5,91,152,4
Platoon Splits,vs RHP as LHB,104,,336,276,,80,14,1,19,54,0,0,43,73,0.29,0.401,0.554,0.955,153,3,10,1,3,2,0,0.326,101,159,46
Platoon Splits,vs LHP as LHB,29,,31,23,,6,1,0,1,4,0,0,5,12,0.261,0.452,0.435,0.886,10,0,3,0,0,0,0,0.5,91,168,4
Platoon Splits,vs RH Starter,84,83,338,276,49,81,15,0,18,52,6,1,44,77,0.294,0.409,0.544,0.953,150,3,12,0,3,2,0,0.342,101,167,48
Platoon Splits,vs LH Starter,22,1,29,23,3,5,0,1,2,6,0,0,4,8,0.217,0.357,0.565,0.922,13,0,1,1,0,0,0,0.231,92,155,2
Home or Away,Home,48,38,167,141,25,41,10,1,8,30,1,1,17,34,0.291,0.38,0.546,0.926,77,1,5,0,3,1,0,0.324,94,154,22
Home or Away,Away,58,46,200,158,27,45,5,0,12,28,5,0,31,51,0.285,0.426,0.544,0.971,86,2,8,1,0,1,0,0.347,105,176,28
First or Second Half,1st Half,80,65,277,231,34,63,13,0,13,39,4,1,30,70,0.273,0.374,0.498,0.871,115,2,9,1,3,0,0,0.331,84,145,37
First or Second Half,2nd Half,26,19,90,68,18,23,2,1,7,19,2,0,18,15,0.338,0.5,0.706,1.206,48,1,4,0,0,2,0,0.348,153,231,13
Months,April/March,26,17,79,59,11,17,6,0,2,5,0,0,13,13,0.288,0.436,0.492,0.927,29,1,4,1,2,0,0,0.326,98,167,9
Months,May,22,20,79,71,8,23,4,0,5,15,2,0,5,25,0.324,0.377,0.592,0.968,42,0,1,0,0,0,0,0.439,102,175,14
Months,June,22,18,79,68,10,16,2,0,3,14,2,1,7,22,0.235,0.321,0.397,0.718,27,1,2,0,1,0,0,0.296,52,100,11
Months,July,18,15,64,52,9,14,2,1,5,10,1,0,9,13,0.269,0.406,0.635,1.041,33,1,3,0,0,2,0,0.265,117,180,6
Months,August,18,14,66,49,14,16,1,0,5,14,1,0,14,12,0.327,0.5,0.653,1.153,32,0,3,0,0,0,0,0.344,143,219,10
Game Outcome for Team,in Wins,59,52,227,188,40,59,10,1,16,43,4,0,27,51,0.314,0.42,0.633,1.053,119,2,9,0,2,2,0,0.35,120,151,32
Game Outcome for Team,in Losses,47,32,140,111,12,27,5,0,4,15,2,1,21,34,0.243,0.38,0.396,0.776,44,1,4,1,1,0,0,0.311,67,165,18
Starter or Substitute,as Starter,84,84,340,279,48,80,15,0,18,51,6,1,43,79,0.287,0.401,0.534,0.935,149,3,12,0,3,2,0,0.335,97,161,47
Starter or Substitute,as Sub,22,0,27,20,4,6,0,1,2,7,0,0,5,6,0.3,0.462,0.7,1.162,14,0,1,1,0,0,0,0.333,143,249,3
